time,FPS
1675468911,33
1675468912,46
1675468913,28
1675468914,48
1675468915,46
1675468916,39
1675468917,44
1675468918,44
1675468919,48
1675468920,47
1675468921,46
1675468922,43
1675468923,43
1675468924,43
1675468925,45
1675468926,45
1675468927,45
1675468928,42
1675468929,43
1675468930,46
1675468931,45
1675468932,44
1675468933,46
1675468934,45
1675468935,44
1675468936,45
1675468937,44
1675468938,45
1675468939,50
1675468940,41
1675468941,45
1675468942,48
1675468943,47
1675468944,50
1675468945,43
1675468946,42
1675468947,42
1675468948,46
1675468949,41
1675468950,45
1675468951,44
1675468952,44
1675468953,42
1675468954,45
1675468955,46
1675468956,42
1675468957,50
1675468958,54
1675468959,56
1675468960,52
1675468961,54
1675468962,54
1675468963,55
1675468964,53
1675468965,54
1675468966,55
1675468967,41
1675468968,40
1675468969,44
1675468970,41
1675468971,43
1675468972,40
1675468973,48
1675468974,41
1675468975,44
1675468976,45
1675468977,45
1675468978,51
1675468979,50
1675468980,54
1675468981,50
1675468982,53
1675468983,50
1675468984,45
1675468985,55
1675468986,44
1675468987,43
1675468988,47
1675468989,42
1675468990,47
1675468991,48
1675468992,43
1675468993,44
1675468994,46
1675468995,46
1675468996,48
1675468997,44
1675468998,43
1675468999,44
1675469000,47
1675469001,50
1675469002,45
1675469003,46
1675469004,45
1675469005,47
1675469006,49
1675469007,45
1675469008,49
1675469009,46
1675469010,46
1675469011,50
1675469012,47
1675469013,47
1675469014,46
1675469015,187
1675469016,253
1675469017,249
1675469018,256
1675469019,152
1675469020,113
1675469021,113
1675469022,117
1675469023,117
1675469024,118
1675469025,114
1675469026,116
1675469027,118
1675469028,116
1675469029,116
1675469030,116
1675469031,116
1675469032,117
1675469033,116
1675469034,117
1675469035,120
1675469036,119
1675469037,118
1675469038,120
1675469039,120
1675469040,121
1675469041,122
1675469042,122
1675469043,124
1675469044,194
1675469045,256
1675469046,256
1675469047,255
1675469048,122
1675469049,158
1675469050,154
1675469051,155
1675469052,153
1675469053,157
1675469054,157
1675469055,158
1675469056,155
1675469057,152
1675469058,152
1675469059,154
1675469060,155
1675469061,158
1675469062,153
1675469063,153
1675469064,154
1675469065,154
1675469066,156
1675469067,156
1675469068,156
1675469069,157
1675469070,158
1675469071,158
1675469072,159
1675469073,244
1675469074,255
1675469075,256
1675469076,224
1675469077,123
1675469078,137
1675469079,137
1675469080,136
1675469081,135
1675469082,136
1675469083,134
1675469084,134
1675469085,136
1675469086,138
1675469087,139
1675469088,142
1675469089,146
1675469090,149
1675469091,150
1675469092,150
1675469093,151
1675469094,152
1675469095,152
1675469096,154
1675469097,154
1675469098,154
1675469099,155
1675469100,155
1675469101,174
1675469102,255
1675469103,256
1675469104,256
1675469105,255
1675469106,250
1675469107,153
1675469108,127
1675469109,132
1675469110,130
1675469111,131
1675469112,128
1675469113,128
1675469114,124
1675469115,123
1675469116,121
1675469117,125
1675469118,127
1675469119,128
1675469120,128
1675469121,128
1675469122,127
1675469123,128
1675469124,129
1675469125,127
1675469126,127
1675469127,129
1675469128,127
1675469129,130
1675469130,129
1675469131,129
1675469132,204
1675469133,256
1675469134,255
1675469135,256
1675469136,253
1675469137,256
1675469138,255
1675469139,151
1675469140,159
1675469141,159
1675469142,158
1675469143,159
1675469144,160
1675469145,161
1675469146,162
1675469147,162
1675469148,161
1675469149,161
1675469150,160
1675469151,162
1675469152,160
1675469153,160
1675469154,164
1675469155,166
1675469156,172
1675469157,171
1675469158,170
1675469159,152
1675469160,156
1675469161,160
1675469162,150
1675469163,144
1675469164,149
1675469165,153
1675469166,155
1675469167,149
1675469168,146
1675469169,145
1675469170,147
1675469171,146
1675469172,147
1675469173,152
1675469174,149
1675469175,157
1675469176,159
1675469177,155
1675469178,153
1675469179,152
1675469180,159
1675469181,162
1675469182,162
1675469183,159
1675469184,165
1675469185,159
1675469186,154
1675469187,152
1675469188,147
1675469189,152
1675469190,151
1675469191,154
1675469192,151
1675469193,150
1675469194,157
1675469195,152
1675469196,156
1675469197,153
1675469198,157
1675469199,160
1675469200,158
1675469201,152
1675469202,149
1675469203,149
1675469204,149
1675469205,151
1675469206,156
1675469207,155
1675469208,155
1675469209,152
1675469210,161
1675469211,160
1675469212,158
1675469213,156
1675469214,160
1675469215,160
1675469216,159
1675469217,157
1675469218,159
1675469219,159
1675469220,160
1675469221,162
1675469222,158
1675469223,154
1675469224,150
1675469225,147
1675469226,148
1675469227,149
1675469228,148
1675469229,149
1675469230,151
1675469231,149
1675469232,146
1675469233,146
1675469234,147
1675469235,147
1675469236,149
1675469237,163
1675469238,164
1675469239,162
1675469240,162
1675469241,161
1675469242,158
1675469243,157
1675469244,144
1675469245,139
1675469246,141
1675469247,147
1675469248,146
1675469249,145
1675469250,141
1675469251,142
1675469252,140
1675469253,139
1675469254,139
1675469255,140
1675469256,141
1675469257,145
1675469258,144
1675469259,141
1675469260,141
1675469261,135
1675469262,132
1675469263,133
1675469264,130
1675469265,128
1675469266,130
1675469267,131
1675469268,133
1675469269,140
1675469270,141
1675469271,145
1675469272,142
1675469273,139
1675469274,141
1675469275,142
1675469276,144
1675469277,144
1675469278,144
1675469279,72
