time,FPS
1679087122,13
1679087123,48
1679087124,38
1679087125,40
1679087126,46
1679087127,42
1679087128,45
1679087129,46
1679087130,50
1679087131,51
1679087132,46
1679087133,48
1679087134,47
1679087135,41
1679087136,47
1679087137,50
1679087138,48
1679087139,40
1679087140,45
1679087141,45
1679087142,44
1679087143,47
1679087144,50
1679087145,54
1679087146,54
1679087147,52
1679087148,53
1679087149,53
1679087150,54
1679087151,51
1679087152,54
1679087153,54
1679087154,53
1679087155,55
1679087156,50
1679087157,50
1679087158,54
1679087159,53
1679087160,52
1679087161,56
1679087162,54
1679087163,52
1679087164,51
1679087165,53
1679087166,54
1679087167,52
1679087168,59
1679087169,58
1679087170,56
1679087171,57
1679087172,57
1679087173,58
1679087174,57
1679087175,57
1679087176,46
1679087177,45
1679087178,45
1679087179,37
1679087180,41
1679087181,42
1679087182,47
1679087183,42
1679087184,44
1679087185,42
1679087186,45
1679087187,44
1679087188,45
1679087189,46
1679087190,48
1679087191,47
1679087192,46
1679087193,49
1679087194,51
1679087195,47
1679087196,47
1679087197,51
1679087198,48
1679087199,44
1679087200,49
1679087201,49
1679087202,53
1679087203,45
1679087204,47
1679087205,49
1679087206,45
1679087207,47
1679087208,45
1679087209,46
1679087210,48
1679087211,44
1679087212,51
1679087213,46
1679087214,43
1679087215,45
1679087216,50
1679087217,46
1679087218,46
1679087219,45
1679087220,45
1679087221,46
1679087222,41
1679087223,44
1679087224,52
1679087225,251
1679087226,256
1679087227,246
1679087228,257
1679087229,111
1679087230,111
1679087231,117
1679087232,118
1679087233,118
1679087234,118
1679087235,114
1679087236,118
1679087237,120
1679087238,119
1679087239,118
1679087240,117
1679087241,117
1679087242,117
1679087243,118
1679087244,118
1679087245,119
1679087246,116
1679087247,122
1679087248,121
1679087249,123
1679087250,123
1679087251,124
1679087252,125
1679087253,124
1679087254,245
1679087255,256
1679087256,253
1679087257,202
1679087258,130
1679087259,156
1679087260,152
1679087261,153
1679087262,155
1679087263,152
1679087264,156
1679087265,156
1679087266,156
1679087267,154
1679087268,151
1679087269,150
1679087270,157
1679087271,155
1679087272,146
1679087273,153
1679087274,154
1679087275,155
1679087276,155
1679087277,156
1679087278,157
1679087279,157
1679087280,157
1679087281,158
1679087282,187
1679087283,255
1679087284,255
1679087285,253
1679087286,153
1679087287,137
1679087288,135
1679087289,135
1679087290,134
1679087291,133
1679087292,133
1679087293,132
1679087294,135
1679087295,136
1679087296,140
1679087297,142
1679087298,146
1679087299,151
1679087300,151
1679087301,153
1679087302,153
1679087303,154
1679087304,155
1679087305,156
1679087306,156
1679087307,158
1679087308,158
1679087309,158
1679087310,158
1679087311,236
1679087312,255
1679087313,256
1679087314,254
1679087315,255
1679087316,255
1679087317,255
1679087318,207
1679087319,111
1679087320,128
1679087321,132
1679087322,130
1679087323,130
1679087324,129
1679087325,125
1679087326,124
1679087327,123
1679087328,122
1679087329,125
1679087330,123
1679087331,125
1679087332,127
1679087333,125
1679087334,127
1679087335,127
1679087336,127
1679087337,125
1679087338,126
1679087339,128
1679087340,127
1679087341,130
1679087342,129
1679087343,146
1679087344,256
1679087345,255
1679087346,255
1679087347,254
1679087348,255
1679087349,256
1679087350,255
1679087351,255
1679087352,139
1679087353,158
1679087354,161
1679087355,160
1679087356,159
1679087357,162
1679087358,160
1679087359,161
1679087360,163
1679087361,164
1679087362,165
1679087363,161
1679087364,165
1679087365,161
1679087366,163
1679087367,167
1679087368,167
1679087369,173
1679087370,173
1679087371,164
1679087372,152
1679087373,157
1679087374,154
1679087375,148
1679087376,144
1679087377,152
1679087378,156
1679087379,156
1679087380,147
1679087381,148
1679087382,145
1679087383,147
1679087384,147
1679087385,150
1679087386,152
1679087387,150
1679087388,159
1679087389,158
1679087390,153
1679087391,151
1679087392,155
1679087393,161
1679087394,165
1679087395,162
1679087396,164
1679087397,160
1679087398,158
1679087399,154
1679087400,148
1679087401,149
1679087402,152
1679087403,152
1679087404,153
1679087405,151
1679087406,156
1679087407,151
1679087408,151
1679087409,152
1679087410,153
1679087411,160
1679087412,159
1679087413,158
1679087414,153
1679087415,150
1679087416,150
1679087417,150
1679087418,153
1679087419,155
1679087420,155
1679087421,152
1679087422,156
1679087423,161
1679087424,159
1679087425,158
1679087426,157
1679087427,158
1679087428,158
1679087429,158
1679087430,160
1679087431,162
1679087432,159
1679087433,165
1679087434,156
1679087435,149
1679087436,148
1679087437,146
1679087438,148
1679087439,147
1679087440,149
1679087441,151
1679087442,154
1679087443,154
1679087444,150
1679087445,147
1679087446,148
1679087447,151
1679087448,149
1679087449,153
1679087450,169
1679087451,161
1679087452,162
1679087453,153
1679087454,159
1679087455,154
1679087456,151
1679087457,145
1679087458,143
1679087459,145
1679087460,148
1679087461,147
1679087462,142
1679087463,144
1679087464,144
1679087465,141
1679087466,142
1679087467,139
1679087468,142
1679087469,144
1679087470,147
1679087471,142
1679087472,140
1679087473,139
1679087474,135
1679087475,135
1679087476,136
1679087477,124
1679087478,130
1679087479,129
1679087480,136
1679087481,139
1679087482,142
1679087483,143
1679087484,144
1679087485,136
1679087486,137
1679087487,138
1679087488,138
1679087489,6
