time,FPS
1675725606,11
1675725607,44
1675725608,40
1675725609,26
1675725610,53
1675725611,48
1675725612,50
1675725613,53
1675725614,54
1675725615,53
1675725616,50
1675725617,51
1675725618,50
1675725619,52
1675725620,44
1675725621,43
1675725622,44
1675725623,45
1675725624,39
1675725625,42
1675725626,41
1675725627,42
1675725628,42
1675725629,50
1675725630,57
1675725631,52
1675725632,49
1675725633,52
1675725634,53
1675725635,51
1675725636,52
1675725637,52
1675725638,52
1675725639,54
1675725640,49
1675725641,51
1675725642,52
1675725643,50
1675725644,50
1675725645,49
1675725646,47
1675725647,57
1675725648,56
1675725649,57
1675725650,53
1675725651,55
1675725652,55
1675725653,54
1675725654,55
1675725655,56
1675725656,46
1675725657,45
1675725658,43
1675725659,42
1675725660,44
1675725661,46
1675725662,45
1675725663,44
1675725664,44
1675725665,44
1675725666,41
1675725667,45
1675725668,48
1675725669,48
1675725670,56
1675725671,55
1675725672,53
1675725673,55
1675725674,50
1675725675,55
1675725676,57
1675725677,57
1675725678,59
1675725679,59
1675725680,58
1675725681,57
1675725682,57
1675725683,53
1675725684,50
1675725685,52
1675725686,56
1675725687,55
1675725688,51
1675725689,54
1675725690,57
1675725691,52
1675725692,54
1675725693,57
1675725694,54
1675725695,56
1675725696,57
1675725697,53
1675725698,55
1675725699,55
1675725700,52
1675725701,55
1675725702,56
1675725703,55
1675725704,132
1675725705,248
1675725706,255
1675725707,252
1675725708,253
1675725709,135
1675725710,123
1675725711,127
1675725712,129
1675725713,129
1675725714,128
1675725715,129
1675725716,129
1675725717,126
1675725718,123
1675725719,127
1675725720,128
1675725721,126
1675725722,127
1675725723,126
1675725724,129
1675725725,128
1675725726,127
1675725727,125
1675725728,128
1675725729,130
1675725730,132
1675725731,132
1675725732,132
1675725733,128
1675725734,213
1675725735,255
1675725736,251
1675725737,256
1675725738,171
1675725739,145
1675725740,156
1675725741,157
1675725742,152
1675725743,152
1675725744,150
1675725745,154
1675725746,155
1675725747,155
1675725748,155
1675725749,154
1675725750,153
1675725751,157
1675725752,155
1675725753,153
1675725754,154
1675725755,153
1675725756,151
1675725757,149
1675725758,155
1675725759,155
1675725760,157
1675725761,156
1675725762,154
1675725763,199
1675725764,255
1675725765,254
1675725766,254
1675725767,211
1675725768,134
1675725769,121
1675725770,118
1675725771,119
1675725772,119
1675725773,119
1675725774,122
1675725775,124
1675725776,130
1675725777,135
1675725778,137
1675725779,140
1675725780,144
1675725781,148
1675725782,149
1675725783,150
1675725784,150
1675725785,152
1675725786,153
1675725787,154
1675725788,154
1675725789,155
1675725790,155
1675725791,155
1675725792,181
1675725793,255
1675725794,249
1675725795,254
1675725796,252
1675725797,254
1675725798,252
1675725799,253
1675725800,241
1675725801,76
1675725802,105
1675725803,105
1675725804,104
1675725805,104
1675725806,102
1675725807,102
1675725808,99
1675725809,97
1675725810,96
1675725811,98
1675725812,99
1675725813,99
1675725814,99
1675725815,99
1675725816,100
1675725817,99
1675725818,100
1675725819,100
1675725820,98
1675725821,101
1675725822,102
1675725823,104
1675725824,103
1675725825,106
1675725826,255
1675725827,254
1675725828,254
1675725829,255
1675725830,255
1675725831,255
1675725832,255
1675725833,255
1675725834,255
1675725835,144
1675725836,158
1675725837,156
1675725838,158
1675725839,158
1675725840,159
1675725841,162
1675725842,160
1675725843,160
1675725844,160
1675725845,160
1675725846,161
1675725847,159
1675725848,159
1675725849,162
1675725850,168
1675725851,167
1675725852,168
1675725853,161
1675725854,147
1675725855,140
1675725856,141
1675725857,140
1675725858,132
1675725859,134
1675725860,138
1675725861,142
1675725862,148
1675725863,141
1675725864,142
1675725865,146
1675725866,145
1675725867,145
1675725868,147
1675725869,148
1675725870,149
1675725871,155
1675725872,156
1675725873,153
1675725874,154
1675725875,154
1675725876,163
1675725877,165
1675725878,160
1675725879,161
1675725880,162
1675725881,157
1675725882,153
1675725883,148
1675725884,148
1675725885,154
1675725886,148
1675725887,149
1675725888,147
1675725889,150
1675725890,151
1675725891,150
1675725892,152
1675725893,151
1675725894,152
1675725895,157
1675725896,157
1675725897,147
1675725898,149
1675725899,146
1675725900,149
1675725901,151
1675725902,155
1675725903,155
1675725904,151
1675725905,156
1675725906,159
1675725907,156
1675725908,156
1675725909,158
1675725910,155
1675725911,157
1675725912,157
1675725913,155
1675725914,154
1675725915,163
1675725916,164
1675725917,149
1675725918,154
1675725919,150
1675725920,148
1675725921,146
1675725922,147
1675725923,147
1675725924,148
1675725925,149
1675725926,150
1675725927,152
1675725928,150
1675725929,146
1675725930,147
1675725931,149
1675725932,149
1675725933,151
1675725934,162
1675725935,159
1675725936,161
1675725937,150
1675725938,157
1675725939,154
1675725940,151
1675725941,145
1675725942,142
1675725943,143
1675725944,148
1675725945,146
1675725946,142
1675725947,143
1675725948,140
1675725949,140
1675725950,141
1675725951,137
1675725952,140
1675725953,142
1675725954,146
1675725955,142
1675725956,141
1675725957,140
1675725958,133
1675725959,134
1675725960,135
1675725961,125
1675725962,125
1675725963,127
1675725964,131
1675725965,132
1675725966,137
1675725967,138
1675725968,99
