time,FPS
1677178922,31
1677178923,41
1677178924,25
1677178925,49
1677178926,43
1677178927,48
1677178928,46
1677178929,44
1677178930,47
1677178931,48
1677178932,45
1677178933,44
1677178934,46
1677178935,39
1677178936,43
1677178937,43
1677178938,47
1677178939,46
1677178940,47
1677178941,45
1677178942,45
1677178943,45
1677178944,44
1677178945,45
1677178946,46
1677178947,49
1677178948,47
1677178949,45
1677178950,46
1677178951,48
1677178952,45
1677178953,45
1677178954,51
1677178955,49
1677178956,49
1677178957,48
1677178958,51
1677178959,43
1677178960,47
1677178961,46
1677178962,49
1677178963,47
1677178964,50
1677178965,47
1677178966,50
1677178967,56
1677178968,55
1677178969,51
1677178970,54
1677178971,54
1677178972,54
1677178973,53
1677178974,53
1677178975,51
1677178976,45
1677178977,43
1677178978,45
1677178979,46
1677178980,46
1677178981,46
1677178982,47
1677178983,47
1677178984,42
1677178985,46
1677178986,43
1677178987,48
1677178988,49
1677178989,51
1677178990,54
1677178991,51
1677178992,46
1677178993,50
1677178994,47
1677178995,47
1677178996,44
1677178997,42
1677178998,41
1677178999,47
1677179000,47
1677179001,44
1677179002,45
1677179003,47
1677179004,49
1677179005,49
1677179006,48
1677179007,49
1677179008,51
1677179009,45
1677179010,46
1677179011,46
1677179012,41
1677179013,44
1677179014,47
1677179015,46
1677179016,45
1677179017,45
1677179018,44
1677179019,43
1677179020,41
1677179021,43
1677179022,48
1677179023,49
1677179024,216
1677179025,252
1677179026,253
1677179027,256
1677179028,131
1677179029,125
1677179030,122
1677179031,127
1677179032,128
1677179033,128
1677179034,122
1677179035,125
1677179036,127
1677179037,126
1677179038,127
1677179039,126
1677179040,126
1677179041,127
1677179042,126
1677179043,128
1677179044,128
1677179045,126
1677179046,127
1677179047,131
1677179048,131
1677179049,132
1677179050,131
1677179051,129
1677179052,129
1677179053,224
1677179054,255
1677179055,254
1677179056,220
1677179057,122
1677179058,162
1677179059,156
1677179060,158
1677179061,157
1677179062,156
1677179063,156
1677179064,157
1677179065,156
1677179066,152
1677179067,152
1677179068,152
1677179069,158
1677179070,157
1677179071,153
1677179072,153
1677179073,153
1677179074,151
1677179075,151
1677179076,156
1677179077,157
1677179078,157
1677179079,158
1677179080,158
1677179081,178
1677179082,255
1677179083,256
1677179084,255
1677179085,151
1677179086,141
1677179087,139
1677179088,139
1677179089,138
1677179090,137
1677179091,137
1677179092,136
1677179093,136
1677179094,139
1677179095,140
1677179096,144
1677179097,149
1677179098,153
1677179099,155
1677179100,156
1677179101,155
1677179102,156
1677179103,157
1677179104,158
1677179105,159
1677179106,159
1677179107,160
1677179108,160
1677179109,160
1677179110,232
1677179111,256
1677179112,254
1677179113,255
1677179114,254
1677179115,255
1677179116,129
1677179117,128
1677179118,133
1677179119,129
1677179120,131
1677179121,129
1677179122,127
1677179123,125
1677179124,124
1677179125,123
1677179126,126
1677179127,128
1677179128,128
1677179129,129
1677179130,128
1677179131,129
1677179132,130
1677179133,128
1677179134,129
1677179135,129
1677179136,127
1677179137,129
1677179138,131
1677179139,131
1677179140,130
1677179141,222
1677179142,256
1677179143,255
1677179144,254
1677179145,254
1677179146,255
1677179147,222
1677179148,138
1677179149,160
1677179150,160
1677179151,159
1677179152,159
1677179153,161
1677179154,163
1677179155,163
1677179156,163
1677179157,162
1677179158,162
1677179159,162
1677179160,160
1677179161,162
1677179162,162
1677179163,165
1677179164,166
1677179165,171
1677179166,173
1677179167,154
1677179168,153
1677179169,159
1677179170,150
1677179171,145
1677179172,146
1677179173,150
1677179174,154
1677179175,154
1677179176,146
1677179177,146
1677179178,145
1677179179,146
1677179180,149
1677179181,151
1677179182,150
1677179183,153
1677179184,159
1677179185,157
1677179186,153
1677179187,153
1677179188,154
1677179189,165
1677179190,165
1677179191,160
1677179192,164
1677179193,163
1677179194,155
1677179195,155
1677179196,146
1677179197,148
1677179198,152
1677179199,151
1677179200,152
1677179201,150
1677179202,154
1677179203,154
1677179204,154
1677179205,151
1677179206,156
1677179207,163
1677179208,158
1677179209,159
1677179210,152
1677179211,152
1677179212,149
1677179213,150
1677179214,154
1677179215,154
1677179216,154
1677179217,151
1677179218,158
1677179219,160
1677179220,157
1677179221,156
1677179222,156
1677179223,158
1677179224,157
1677179225,158
1677179226,159
1677179227,161
1677179228,166
1677179229,162
1677179230,162
1677179231,156
1677179232,155
1677179233,148
1677179234,146
1677179235,148
1677179236,149
1677179237,149
1677179238,150
1677179239,144
1677179240,146
1677179241,146
1677179242,145
1677179243,147
1677179244,153
1677179245,167
1677179246,160
1677179247,161
1677179248,160
1677179249,159
1677179250,158
1677179251,145
1677179252,142
1677179253,142
1677179254,145
1677179255,145
1677179256,145
1677179257,141
1677179258,141
1677179259,141
1677179260,139
1677179261,139
1677179262,139
1677179263,141
1677179264,144
1677179265,144
1677179266,141
1677179267,142
1677179268,135
1677179269,133
1677179270,134
1677179271,133
1677179272,133
1677179273,134
1677179274,134
1677179275,137
1677179276,140
1677179277,145
1677179278,146
1677179279,144
1677179280,139
1677179281,140
1677179282,144
1677179283,144
1677179284,143
1677179285,144
1677179286,144
1677179287,143
1677179288,86
