time,FPS
1679594128,23
1679594129,48
1679594130,44
1679594131,23
1679594132,51
1679594133,50
1679594134,50
1679594135,50
1679594136,49
1679594137,47
1679594138,53
1679594139,50
1679594140,48
1679594141,47
1679594142,43
1679594143,44
1679594144,41
1679594145,45
1679594146,38
1679594147,43
1679594148,46
1679594149,40
1679594150,45
1679594151,49
1679594152,52
1679594153,51
1679594154,51
1679594155,51
1679594156,50
1679594157,52
1679594158,52
1679594159,53
1679594160,53
1679594161,50
1679594162,51
1679594163,52
1679594164,49
1679594165,52
1679594166,52
1679594167,46
1679594168,57
1679594169,57
1679594170,53
1679594171,56
1679594172,57
1679594173,56
1679594174,54
1679594175,55
1679594176,51
1679594177,45
1679594178,44
1679594179,45
1679594180,41
1679594181,43
1679594182,40
1679594183,48
1679594184,43
1679594185,43
1679594186,44
1679594187,47
1679594188,46
1679594189,48
1679594190,45
1679594191,55
1679594192,58
1679594193,57
1679594194,57
1679594195,58
1679594196,56
1679594197,55
1679594198,58
1679594199,58
1679594200,58
1679594201,57
1679594202,56
1679594203,60
1679594204,55
1679594205,57
1679594206,55
1679594207,57
1679594208,56
1679594209,56
1679594210,56
1679594211,57
1679594212,56
1679594213,57
1679594214,57
1679594215,55
1679594216,54
1679594217,57
1679594218,56
1679594219,57
1679594220,57
1679594221,57
1679594222,57
1679594223,59
1679594224,59
1679594225,205
1679594226,249
1679594227,253
1679594228,249
1679594229,243
1679594230,79
1679594231,100
1679594232,108
1679594233,107
1679594234,108
1679594235,107
1679594236,108
1679594237,109
1679594238,109
1679594239,105
1679594240,106
1679594241,105
1679594242,105
1679594243,104
1679594244,106
1679594245,106
1679594246,107
1679594247,107
1679594248,107
1679594249,108
1679594250,108
1679594251,109
1679594252,109
1679594253,113
1679594254,127
1679594255,255
1679594256,255
1679594257,255
1679594258,254
1679594259,114
1679594260,155
1679594261,152
1679594262,151
1679594263,151
1679594264,147
1679594265,149
1679594266,150
1679594267,148
1679594268,151
1679594269,151
1679594270,149
1679594271,151
1679594272,150
1679594273,149
1679594274,148
1679594275,149
1679594276,147
1679594277,153
1679594278,152
1679594279,151
1679594280,148
1679594281,148
1679594282,151
1679594283,149
1679594284,255
1679594285,254
1679594286,253
1679594287,256
1679594288,154
1679594289,123
1679594290,118
1679594291,118
1679594292,117
1679594293,115
1679594294,119
1679594295,119
1679594296,125
1679594297,131
1679594298,136
1679594299,141
1679594300,146
1679594301,149
1679594302,151
1679594303,152
1679594304,152
1679594305,154
1679594306,153
1679594307,155
1679594308,154
1679594309,156
1679594310,156
1679594311,157
1679594312,156
1679594313,235
1679594314,254
1679594315,256
1679594316,254
1679594317,254
1679594318,255
1679594319,256
1679594320,254
1679594321,137
1679594322,107
1679594323,111
1679594324,110
1679594325,110
1679594326,113
1679594327,112
1679594328,109
1679594329,105
1679594330,104
1679594331,105
1679594332,106
1679594333,107
1679594334,109
1679594335,109
1679594336,107
1679594337,108
1679594338,108
1679594339,108
1679594340,106
1679594341,107
1679594342,109
1679594343,112
1679594344,113
1679594345,112
1679594346,193
1679594347,254
1679594348,254
1679594349,254
1679594350,256
1679594351,254
1679594352,256
1679594353,254
1679594354,254
1679594355,249
1679594356,120
1679594357,157
1679594358,157
1679594359,156
1679594360,157
1679594361,160
1679594362,161
1679594363,160
1679594364,160
1679594365,161
1679594366,159
1679594367,158
1679594368,157
1679594369,159
1679594370,164
1679594371,164
1679594372,164
1679594373,161
1679594374,155
1679594375,141
1679594376,137
1679594377,139
1679594378,140
1679594379,133
1679594380,135
1679594381,139
1679594382,142
1679594383,143
1679594384,142
1679594385,145
1679594386,147
1679594387,147
1679594388,146
1679594389,147
1679594390,149
1679594391,147
1679594392,154
1679594393,158
1679594394,154
1679594395,152
1679594396,155
1679594397,160
1679594398,164
1679594399,160
1679594400,162
1679594401,162
1679594402,155
1679594403,153
1679594404,148
1679594405,148
1679594406,154
1679594407,148
1679594408,151
1679594409,147
1679594410,150
1679594411,152
1679594412,151
1679594413,153
1679594414,151
1679594415,152
1679594416,156
1679594417,156
1679594418,148
1679594419,149
1679594420,146
1679594421,149
1679594422,151
1679594423,154
1679594424,154
1679594425,152
1679594426,153
1679594427,158
1679594428,157
1679594429,157
1679594430,154
1679594431,156
1679594432,155
1679594433,156
1679594434,155
1679594435,153
1679594436,161
1679594437,159
1679594438,154
1679594439,149
1679594440,150
1679594441,146
1679594442,147
1679594443,147
1679594444,147
1679594445,148
1679594446,150
1679594447,151
1679594448,150
1679594449,151
1679594450,146
1679594451,147
1679594452,148
1679594453,149
1679594454,150
1679594455,163
1679594456,156
1679594457,159
1679594458,147
1679594459,158
1679594460,156
1679594461,153
1679594462,148
1679594463,143
1679594464,141
1679594465,145
1679594466,147
1679594467,145
1679594468,144
1679594469,142
1679594470,143
1679594471,140
1679594472,141
1679594473,139
1679594474,141
1679594475,145
1679594476,144
1679594477,140
1679594478,142
1679594479,137
1679594480,134
1679594481,134
1679594482,134
1679594483,130
1679594484,131
1679594485,131
1679594486,134
1679594487,137
1679594488,138
1679594489,31
