time,FPS
1679685166,11
1679685167,45
1679685168,27
1679685169,43
1679685170,51
1679685171,52
1679685172,51
1679685173,49
1679685174,49
1679685175,52
1679685176,52
1679685177,50
1679685178,50
1679685179,47
1679685180,41
1679685181,41
1679685182,39
1679685183,43
1679685184,41
1679685185,43
1679685186,38
1679685187,38
1679685188,43
1679685189,50
1679685190,55
1679685191,49
1679685192,51
1679685193,55
1679685194,51
1679685195,48
1679685196,52
1679685197,50
1679685198,53
1679685199,49
1679685200,53
1679685201,52
1679685202,52
1679685203,50
1679685204,51
1679685205,52
1679685206,51
1679685207,51
1679685208,51
1679685209,49
1679685210,58
1679685211,58
1679685212,58
1679685213,55
1679685214,58
1679685215,57
1679685216,56
1679685217,57
1679685218,55
1679685219,39
1679685220,42
1679685221,40
1679685222,42
1679685223,40
1679685224,43
1679685225,40
1679685226,43
1679685227,40
1679685228,39
1679685229,44
1679685230,40
1679685231,45
1679685232,44
1679685233,47
1679685234,46
1679685235,49
1679685236,47
1679685237,45
1679685238,46
1679685239,45
1679685240,53
1679685241,53
1679685242,45
1679685243,50
1679685244,48
1679685245,45
1679685246,52
1679685247,47
1679685248,48
1679685249,46
1679685250,46
1679685251,44
1679685252,49
1679685253,46
1679685254,42
1679685255,45
1679685256,47
1679685257,46
1679685258,44
1679685259,50
1679685260,48
1679685261,45
1679685262,45
1679685263,45
1679685264,47
1679685265,53
1679685266,48
1679685267,153
1679685268,255
1679685269,249
1679685270,255
1679685271,184
1679685272,163
1679685273,165
1679685274,166
1679685275,168
1679685276,165
1679685277,163
1679685278,156
1679685279,160
1679685280,157
1679685281,157
1679685282,159
1679685283,161
1679685284,159
1679685285,164
1679685286,167
1679685287,166
1679685288,165
1679685289,167
1679685290,165
1679685291,164
1679685292,165
1679685293,166
1679685294,166
1679685295,168
1679685296,211
1679685297,254
1679685298,255
1679685299,256
1679685300,155
1679685301,192
1679685302,189
1679685303,192
1679685304,190
1679685305,188
1679685306,190
1679685307,191
1679685308,190
1679685309,190
1679685310,190
1679685311,185
1679685312,190
1679685313,191
1679685314,187
1679685315,183
1679685316,185
1679685317,189
1679685318,187
1679685319,190
1679685320,189
1679685321,187
1679685322,187
1679685323,189
1679685324,189
1679685325,252
1679685326,254
1679685327,256
1679685328,194
1679685329,164
1679685330,143
1679685331,141
1679685332,141
1679685333,141
1679685334,141
1679685335,144
1679685336,147
1679685337,155
1679685338,165
1679685339,174
1679685340,182
1679685341,187
1679685342,191
1679685343,193
1679685344,190
1679685345,195
1679685346,193
1679685347,196
1679685348,196
1679685349,196
1679685350,197
1679685351,198
1679685352,197
1679685353,226
1679685354,255
1679685355,255
1679685356,255
1679685357,255
1679685358,255
1679685359,246
1679685360,98
1679685361,141
1679685362,141
1679685363,140
1679685364,140
1679685365,139
1679685366,137
1679685367,133
1679685368,129
1679685369,129
1679685370,132
1679685371,132
1679685372,135
1679685373,136
1679685374,135
1679685375,136
1679685376,136
1679685377,135
1679685378,135
1679685379,133
1679685380,138
1679685381,139
1679685382,142
1679685383,142
1679685384,154
1679685385,255
1679685386,255
1679685387,255
1679685388,254
1679685389,256
1679685390,252
1679685391,252
1679685392,189
1679685393,196
1679685394,194
1679685395,196
1679685396,195
1679685397,195
1679685398,199
1679685399,197
1679685400,200
1679685401,198
1679685402,199
1679685403,197
1679685404,196
1679685405,198
1679685406,201
1679685407,203
1679685408,199
1679685409,196
1679685410,189
1679685411,172
1679685412,170
1679685413,171
1679685414,174
1679685415,167
1679685416,172
1679685417,179
1679685418,184
1679685419,187
1679685420,178
1679685421,181
1679685422,186
1679685423,184
1679685424,181
1679685425,187
1679685426,188
1679685427,190
1679685428,197
1679685429,196
1679685430,195
1679685431,192
1679685432,197
1679685433,202
1679685434,202
1679685435,191
1679685436,202
1679685437,200
1679685438,197
1679685439,194
1679685440,189
1679685441,189
1679685442,187
1679685443,176
1679685444,184
1679685445,176
1679685446,179
1679685447,183
1679685448,184
1679685449,182
1679685450,182
1679685451,183
1679685452,192
1679685453,194
1679685454,184
1679685455,189
1679685456,190
1679685457,186
1679685458,191
1679685459,194
1679685460,194
1679685461,191
1679685462,187
1679685463,193
1679685464,190
1679685465,193
1679685466,194
1679685467,195
1679685468,192
1679685469,195
1679685470,197
1679685471,199
1679685472,203
1679685473,201
1679685474,201
1679685475,193
1679685476,191
1679685477,183
1679685478,184
1679685479,185
1679685480,183
1679685481,187
1679685482,186
1679685483,177
1679685484,181
1679685485,183
1679685486,183
1679685487,182
1679685488,182
1679685489,178
1679685490,202
1679685491,204
1679685492,205
1679685493,192
1679685494,206
1679685495,207
1679685496,205
1679685497,196
1679685498,179
1679685499,174
1679685500,173
1679685501,180
1679685502,177
1679685503,179
1679685504,173
1679685505,174
1679685506,172
1679685507,172
1679685508,171
1679685509,171
1679685510,172
1679685511,175
1679685512,179
1679685513,170
1679685514,178
1679685515,171
1679685516,171
1679685517,168
1679685518,169
1679685519,160
1679685520,161
1679685521,162
1679685522,166
1679685523,172
1679685524,182
1679685525,174
1679685526,175
1679685527,166
1679685528,170
1679685529,173
1679685530,176
1679685531,111
