time,FPS
1678904325,7
1678904326,44
1678904327,41
1678904328,27
1678904329,49
1678904330,41
1678904331,52
1678904332,46
1678904333,46
1678904334,47
1678904335,51
1678904336,44
1678904337,45
1678904338,45
1678904339,47
1678904340,43
1678904341,42
1678904342,45
1678904343,40
1678904344,47
1678904345,41
1678904346,43
1678904347,43
1678904348,50
1678904349,53
1678904350,55
1678904351,52
1678904352,52
1678904353,53
1678904354,49
1678904355,56
1678904356,54
1678904357,52
1678904358,55
1678904359,53
1678904360,50
1678904361,49
1678904362,51
1678904363,53
1678904364,53
1678904365,50
1678904366,52
1678904367,54
1678904368,51
1678904369,53
1678904370,54
1678904371,59
1678904372,59
1678904373,54
1678904374,57
1678904375,58
1678904376,57
1678904377,57
1678904378,56
1678904379,52
1678904380,45
1678904381,42
1678904382,43
1678904383,45
1678904384,41
1678904385,44
1678904386,44
1678904387,44
1678904388,43
1678904389,42
1678904390,46
1678904391,46
1678904392,48
1678904393,49
1678904394,48
1678904395,44
1678904396,51
1678904397,52
1678904398,49
1678904399,52
1678904400,50
1678904401,48
1678904402,50
1678904403,52
1678904404,50
1678904405,47
1678904406,49
1678904407,49
1678904408,46
1678904409,52
1678904410,52
1678904411,50
1678904412,49
1678904413,45
1678904414,47
1678904415,48
1678904416,45
1678904417,49
1678904418,48
1678904419,49
1678904420,48
1678904421,47
1678904422,44
1678904423,48
1678904424,45
1678904425,51
1678904426,46
1678904427,49
1678904428,191
1678904429,247
1678904430,248
1678904431,254
1678904432,163
1678904433,125
1678904434,123
1678904435,127
1678904436,129
1678904437,130
1678904438,129
1678904439,124
1678904440,130
1678904441,127
1678904442,128
1678904443,129
1678904444,128
1678904445,128
1678904446,127
1678904447,127
1678904448,128
1678904449,128
1678904450,126
1678904451,129
1678904452,131
1678904453,132
1678904454,132
1678904455,129
1678904456,129
1678904457,182
1678904458,254
1678904459,255
1678904460,255
1678904461,148
1678904462,149
1678904463,150
1678904464,153
1678904465,151
1678904466,156
1678904467,154
1678904468,154
1678904469,154
1678904470,154
1678904471,154
1678904472,152
1678904473,153
1678904474,156
1678904475,152
1678904476,151
1678904477,152
1678904478,153
1678904479,154
1678904480,154
1678904481,156
1678904482,156
1678904483,157
1678904484,156
1678904485,152
1678904486,221
1678904487,254
1678904488,252
1678904489,238
1678904490,139
1678904491,135
1678904492,136
1678904493,135
1678904494,135
1678904495,135
1678904496,133
1678904497,135
1678904498,136
1678904499,138
1678904500,141
1678904501,145
1678904502,149
1678904503,153
1678904504,154
1678904505,155
1678904506,154
1678904507,156
1678904508,157
1678904509,157
1678904510,159
1678904511,158
1678904512,160
1678904513,160
1678904514,172
1678904515,255
1678904516,255
1678904517,255
1678904518,254
1678904519,255
1678904520,256
1678904521,135
1678904522,126
1678904523,132
1678904524,133
1678904525,131
1678904526,130
1678904527,129
1678904528,126
1678904529,125
1678904530,124
1678904531,125
1678904532,127
1678904533,127
1678904534,128
1678904535,128
1678904536,128
1678904537,126
1678904538,129
1678904539,129
1678904540,127
1678904541,129
1678904542,130
1678904543,130
1678904544,132
1678904545,130
1678904546,203
1678904547,256
1678904548,254
1678904549,255
1678904550,255
1678904551,256
1678904552,255
1678904553,255
1678904554,254
1678904555,138
1678904556,160
1678904557,161
1678904558,160
1678904559,161
1678904560,163
1678904561,163
1678904562,164
1678904563,159
1678904564,164
1678904565,165
1678904566,161
1678904567,162
1678904568,162
1678904569,164
1678904570,165
1678904571,167
1678904572,171
1678904573,174
1678904574,165
1678904575,154
1678904576,159
1678904577,162
1678904578,152
1678904579,147
1678904580,147
1678904581,155
1678904582,157
1678904583,154
1678904584,148
1678904585,146
1678904586,145
1678904587,147
1678904588,150
1678904589,152
1678904590,149
1678904591,155
1678904592,160
1678904593,157
1678904594,152
1678904595,155
1678904596,155
1678904597,164
1678904598,165
1678904599,160
1678904600,165
1678904601,164
1678904602,157
1678904603,154
1678904604,149
1678904605,150
1678904606,155
1678904607,153
1678904608,155
1678904609,155
1678904610,157
1678904611,157
1678904612,156
1678904613,153
1678904614,156
1678904615,163
1678904616,159
1678904617,157
1678904618,150
1678904619,151
1678904620,148
1678904621,149
1678904622,152
1678904623,154
1678904624,153
1678904625,152
1678904626,157
1678904627,159
1678904628,157
1678904629,154
1678904630,156
1678904631,158
1678904632,158
1678904633,157
1678904634,158
1678904635,163
1678904636,165
1678904637,162
1678904638,158
1678904639,155
1678904640,152
1678904641,149
1678904642,150
1678904643,152
1678904644,153
1678904645,154
1678904646,155
1678904647,149
1678904648,150
1678904649,150
1678904650,151
1678904651,149
1678904652,163
1678904653,159
1678904654,158
1678904655,156
1678904656,158
1678904657,154
1678904658,153
1678904659,148
1678904660,145
1678904661,145
1678904662,148
1678904663,148
1678904664,145
1678904665,143
1678904666,144
1678904667,143
1678904668,140
1678904669,142
1678904670,142
1678904671,143
1678904672,148
1678904673,146
1678904674,143
1678904675,142
1678904676,137
1678904677,135
1678904678,135
1678904679,131
1678904680,126
1678904681,130
1678904682,129
1678904683,136
1678904684,140
1678904685,142
1678904686,142
1678904687,141
1678904688,137
1678904689,138
1678904690,140
1678904691,141
1678904692,92
