time,FPS
1679006667,36
1679006668,43
1679006669,22
1679006670,51
1679006671,45
1679006672,41
1679006673,43
1679006674,40
1679006675,42
1679006676,47
1679006677,45
1679006678,41
1679006679,45
1679006680,43
1679006681,43
1679006682,42
1679006683,39
1679006684,44
1679006685,45
1679006686,44
1679006687,40
1679006688,45
1679006689,47
1679006690,53
1679006691,52
1679006692,53
1679006693,54
1679006694,51
1679006695,52
1679006696,52
1679006697,51
1679006698,55
1679006699,52
1679006700,52
1679006701,53
1679006702,54
1679006703,56
1679006704,50
1679006705,54
1679006706,56
1679006707,51
1679006708,54
1679006709,56
1679006710,52
1679006711,51
1679006712,58
1679006713,59
1679006714,55
1679006715,58
1679006716,57
1679006717,57
1679006718,57
1679006719,56
1679006720,53
1679006721,43
1679006722,42
1679006723,45
1679006724,44
1679006725,42
1679006726,46
1679006727,44
1679006728,43
1679006729,46
1679006730,43
1679006731,44
1679006732,44
1679006733,47
1679006734,43
1679006735,47
1679006736,47
1679006737,49
1679006738,48
1679006739,45
1679006740,49
1679006741,47
1679006742,51
1679006743,47
1679006744,48
1679006745,51
1679006746,50
1679006747,49
1679006748,50
1679006749,45
1679006750,48
1679006751,50
1679006752,46
1679006753,46
1679006754,43
1679006755,49
1679006756,50
1679006757,43
1679006758,50
1679006759,47
1679006760,50
1679006761,49
1679006762,42
1679006763,47
1679006764,48
1679006765,49
1679006766,49
1679006767,48
1679006768,53
1679006769,230
1679006770,252
1679006771,249
1679006772,255
1679006773,134
1679006774,126
1679006775,126
1679006776,130
1679006777,129
1679006778,130
1679006779,127
1679006780,130
1679006781,127
1679006782,125
1679006783,128
1679006784,129
1679006785,129
1679006786,127
1679006787,127
1679006788,128
1679006789,128
1679006790,125
1679006791,124
1679006792,123
1679006793,128
1679006794,129
1679006795,127
1679006796,133
1679006797,133
1679006798,231
1679006799,255
1679006800,256
1679006801,219
1679006802,132
1679006803,157
1679006804,150
1679006805,153
1679006806,152
1679006807,153
1679006808,152
1679006809,153
1679006810,152
1679006811,153
1679006812,151
1679006813,149
1679006814,153
1679006815,151
1679006816,148
1679006817,148
1679006818,149
1679006819,151
1679006820,151
1679006821,152
1679006822,152
1679006823,153
1679006824,154
1679006825,155
1679006826,176
1679006827,256
1679006828,256
1679006829,255
1679006830,170
1679006831,142
1679006832,137
1679006833,137
1679006834,136
1679006835,137
1679006836,135
1679006837,136
1679006838,137
1679006839,140
1679006840,143
1679006841,144
1679006842,149
1679006843,154
1679006844,156
1679006845,158
1679006846,158
1679006847,158
1679006848,160
1679006849,160
1679006850,161
1679006851,161
1679006852,163
1679006853,162
1679006854,163
1679006855,221
1679006856,255
1679006857,255
1679006858,254
1679006859,255
1679006860,256
1679006861,255
1679006862,248
1679006863,95
1679006864,130
1679006865,130
1679006866,131
1679006867,128
1679006868,127
1679006869,125
1679006870,123
1679006871,121
1679006872,120
1679006873,123
1679006874,123
1679006875,125
1679006876,125
1679006877,125
1679006878,125
1679006879,125
1679006880,124
1679006881,125
1679006882,123
1679006883,125
1679006884,127
1679006885,128
1679006886,128
1679006887,130
1679006888,255
1679006889,255
1679006890,256
1679006891,255
1679006892,255
1679006893,254
1679006894,256
1679006895,252
1679006896,197
1679006897,157
1679006898,160
1679006899,161
1679006900,159
1679006901,156
1679006902,162
1679006903,163
1679006904,162
1679006905,162
1679006906,164
1679006907,165
1679006908,163
1679006909,160
1679006910,162
1679006911,164
1679006912,167
1679006913,169
1679006914,173
1679006915,170
1679006916,155
1679006917,152
1679006918,156
1679006919,150
1679006920,146
1679006921,147
1679006922,154
1679006923,155
1679006924,151
1679006925,146
1679006926,147
1679006927,149
1679006928,148
1679006929,150
1679006930,152
1679006931,151
1679006932,154
1679006933,159
1679006934,157
1679006935,151
1679006936,153
1679006937,158
1679006938,162
1679006939,160
1679006940,161
1679006941,162
1679006942,162
1679006943,156
1679006944,149
1679006945,147
1679006946,149
1679006947,154
1679006948,153
1679006949,153
1679006950,154
1679006951,156
1679006952,152
1679006953,154
1679006954,155
1679006955,156
1679006956,160
1679006957,156
1679006958,154
1679006959,149
1679006960,149
1679006961,146
1679006962,149
1679006963,154
1679006964,153
1679006965,154
1679006966,151
1679006967,157
1679006968,157
1679006969,157
1679006970,156
1679006971,156
1679006972,159
1679006973,157
1679006974,158
1679006975,161
1679006976,159
1679006977,165
1679006978,161
1679006979,156
1679006980,153
1679006981,149
1679006982,147
1679006983,150
1679006984,150
1679006985,151
1679006986,152
1679006987,151
1679006988,145
1679006989,147
1679006990,147
1679006991,148
1679006992,150
1679006993,163
1679006994,161
1679006995,159
1679006996,155
1679006997,158
1679006998,157
1679006999,155
1679007000,148
1679007001,145
1679007002,144
1679007003,149
1679007004,148
1679007005,147
1679007006,143
1679007007,144
1679007008,143
1679007009,140
1679007010,140
1679007011,142
1679007012,143
1679007013,147
1679007014,145
1679007015,141
1679007016,143
1679007017,136
1679007018,135
1679007019,134
1679007020,133
1679007021,129
1679007022,128
1679007023,133
1679007024,136
1679007025,139
1679007026,142
1679007027,142
1679007028,140
1679007029,136
1679007030,136
1679007031,140
1679007032,139
1679007033,15
