time,FPS
1677191817,25
1677191818,43
1677191819,26
1677191820,48
1677191821,43
1677191822,40
1677191823,43
1677191824,40
1677191825,49
1677191826,44
1677191827,43
1677191828,43
1677191829,46
1677191830,42
1677191831,44
1677191832,44
1677191833,41
1677191834,43
1677191835,43
1677191836,47
1677191837,44
1677191838,42
1677191839,50
1677191840,46
1677191841,42
1677191842,40
1677191843,47
1677191844,42
1677191845,47
1677191846,45
1677191847,47
1677191848,44
1677191849,45
1677191850,47
1677191851,47
1677191852,47
1677191853,48
1677191854,43
1677191855,48
1677191856,46
1677191857,44
1677191858,42
1677191859,44
1677191860,49
1677191861,47
1677191862,48
1677191863,56
1677191864,55
1677191865,53
1677191866,53
1677191867,54
1677191868,54
1677191869,52
1677191870,53
1677191871,53
1677191872,43
1677191873,46
1677191874,45
1677191875,43
1677191876,45
1677191877,44
1677191878,40
1677191879,45
1677191880,43
1677191881,41
1677191882,43
1677191883,48
1677191884,51
1677191885,49
1677191886,44
1677191887,48
1677191888,44
1677191889,49
1677191890,45
1677191891,49
1677191892,48
1677191893,48
1677191894,45
1677191895,45
1677191896,50
1677191897,44
1677191898,45
1677191899,47
1677191900,47
1677191901,42
1677191902,48
1677191903,46
1677191904,48
1677191905,47
1677191906,50
1677191907,44
1677191908,49
1677191909,48
1677191910,43
1677191911,45
1677191912,45
1677191913,50
1677191914,46
1677191915,47
1677191916,46
1677191917,45
1677191918,49
1677191919,47
1677191920,234
1677191921,255
1677191922,250
1677191923,256
1677191924,134
1677191925,122
1677191926,127
1677191927,127
1677191928,128
1677191929,127
1677191930,127
1677191931,127
1677191932,123
1677191933,126
1677191934,126
1677191935,124
1677191936,125
1677191937,125
1677191938,125
1677191939,129
1677191940,126
1677191941,128
1677191942,125
1677191943,130
1677191944,131
1677191945,132
1677191946,131
1677191947,131
1677191948,130
1677191949,229
1677191950,255
1677191951,256
1677191952,254
1677191953,109
1677191954,158
1677191955,154
1677191956,156
1677191957,154
1677191958,153
1677191959,153
1677191960,154
1677191961,154
1677191962,153
1677191963,153
1677191964,150
1677191965,152
1677191966,153
1677191967,149
1677191968,149
1677191969,150
1677191970,151
1677191971,153
1677191972,154
1677191973,151
1677191974,154
1677191975,154
1677191976,153
1677191977,154
1677191978,250
1677191979,256
1677191980,255
1677191981,205
1677191982,141
1677191983,138
1677191984,139
1677191985,137
1677191986,137
1677191987,136
1677191988,136
1677191989,135
1677191990,137
1677191991,139
1677191992,141
1677191993,146
1677191994,151
1677191995,153
1677191996,154
1677191997,155
1677191998,155
1677191999,156
1677192000,156
1677192001,158
1677192002,159
1677192003,158
1677192004,159
1677192005,159
1677192006,182
1677192007,256
1677192008,255
1677192009,256
1677192010,255
1677192011,253
1677192012,215
1677192013,115
1677192014,132
1677192015,133
1677192016,132
1677192017,131
1677192018,128
1677192019,122
1677192020,124
1677192021,123
1677192022,125
1677192023,125
1677192024,126
1677192025,128
1677192026,126
1677192027,127
1677192028,128
1677192029,129
1677192030,127
1677192031,128
1677192032,128
1677192033,128
1677192034,129
1677192035,129
1677192036,130
1677192037,154
1677192038,256
1677192039,255
1677192040,255
1677192041,254
1677192042,256
1677192043,255
1677192044,215
1677192045,150
1677192046,160
1677192047,160
1677192048,160
1677192049,157
1677192050,161
1677192051,164
1677192052,163
1677192053,162
1677192054,161
1677192055,162
1677192056,161
1677192057,159
1677192058,159
1677192059,166
1677192060,168
1677192061,172
1677192062,174
1677192063,167
1677192064,153
1677192065,157
1677192066,159
1677192067,148
1677192068,144
1677192069,151
1677192070,153
1677192071,156
1677192072,149
1677192073,147
1677192074,146
1677192075,147
1677192076,150
1677192077,149
1677192078,151
1677192079,149
1677192080,159
1677192081,155
1677192082,154
1677192083,152
1677192084,153
1677192085,160
1677192086,163
1677192087,163
1677192088,161
1677192089,163
1677192090,157
1677192091,153
1677192092,148
1677192093,147
1677192094,151
1677192095,151
1677192096,153
1677192097,150
1677192098,154
1677192099,153
1677192100,152
1677192101,155
1677192102,154
1677192103,155
1677192104,159
1677192105,155
1677192106,154
1677192107,149
1677192108,148
1677192109,147
1677192110,149
1677192111,155
1677192112,154
1677192113,154
1677192114,152
1677192115,160
1677192116,158
1677192117,160
1677192118,156
1677192119,158
1677192120,159
1677192121,158
1677192122,162
1677192123,161
1677192124,170
1677192125,161
1677192126,157
1677192127,153
1677192128,145
1677192129,145
1677192130,145
1677192131,147
1677192132,149
1677192133,149
1677192134,150
1677192135,147
1677192136,145
1677192137,145
1677192138,147
1677192139,148
1677192140,150
1677192141,168
1677192142,163
1677192143,162
1677192144,161
1677192145,159
1677192146,157
1677192147,154
1677192148,143
1677192149,142
1677192150,143
1677192151,147
1677192152,144
1677192153,142
1677192154,141
1677192155,140
1677192156,140
1677192157,140
1677192158,138
1677192159,140
1677192160,141
1677192161,145
1677192162,140
1677192163,141
1677192164,139
1677192165,133
1677192166,133
1677192167,135
1677192168,129
1677192169,132
1677192170,133
1677192171,136
1677192172,138
1677192173,142
1677192174,144
1677192175,146
1677192176,139
1677192177,142
1677192178,140
1677192179,143
1677192180,142
1677192181,143
1677192182,144
1677192183,143
1677192184,22
