time,FPS
1680109261,40
1680109262,44
1680109263,28
1680109264,50
1680109265,52
1680109266,54
1680109267,52
1680109268,51
1680109269,50
1680109270,52
1680109271,48
1680109272,50
1680109273,44
1680109274,46
1680109275,45
1680109276,45
1680109277,44
1680109278,42
1680109279,44
1680109280,45
1680109281,41
1680109282,44
1680109283,48
1680109284,52
1680109285,52
1680109286,52
1680109287,54
1680109288,49
1680109289,51
1680109290,55
1680109291,54
1680109292,55
1680109293,53
1680109294,50
1680109295,53
1680109296,53
1680109297,52
1680109298,53
1680109299,52
1680109300,52
1680109301,53
1680109302,51
1680109303,55
1680109304,52
1680109305,58
1680109306,59
1680109307,56
1680109308,58
1680109309,58
1680109310,58
1680109311,58
1680109312,57
1680109313,53
1680109314,41
1680109315,42
1680109316,41
1680109317,43
1680109318,47
1680109319,45
1680109320,41
1680109321,45
1680109322,43
1680109323,50
1680109324,47
1680109325,46
1680109326,52
1680109327,49
1680109328,52
1680109329,48
1680109330,48
1680109331,48
1680109332,47
1680109333,50
1680109334,49
1680109335,49
1680109336,53
1680109337,49
1680109338,49
1680109339,49
1680109340,41
1680109341,46
1680109342,51
1680109343,50
1680109344,51
1680109345,51
1680109346,48
1680109347,51
1680109348,52
1680109349,46
1680109350,43
1680109351,48
1680109352,48
1680109353,48
1680109354,46
1680109355,49
1680109356,48
1680109357,48
1680109358,40
1680109359,49
1680109360,46
1680109361,45
1680109362,235
1680109363,254
1680109364,250
1680109365,255
1680109366,133
1680109367,164
1680109368,165
1680109369,164
1680109370,167
1680109371,166
1680109372,167
1680109373,167
1680109374,167
1680109375,159
1680109376,163
1680109377,160
1680109378,162
1680109379,162
1680109380,165
1680109381,168
1680109382,167
1680109383,161
1680109384,164
1680109385,165
1680109386,164
1680109387,167
1680109388,166
1680109389,165
1680109390,169
1680109391,243
1680109392,251
1680109393,255
1680109394,234
1680109395,162
1680109396,193
1680109397,191
1680109398,193
1680109399,193
1680109400,189
1680109401,190
1680109402,190
1680109403,190
1680109404,190
1680109405,189
1680109406,183
1680109407,191
1680109408,191
1680109409,187
1680109410,183
1680109411,187
1680109412,188
1680109413,190
1680109414,191
1680109415,191
1680109416,190
1680109417,191
1680109418,190
1680109419,200
1680109420,254
1680109421,255
1680109422,256
1680109423,187
1680109424,161
1680109425,142
1680109426,141
1680109427,141
1680109428,140
1680109429,142
1680109430,143
1680109431,150
1680109432,158
1680109433,168
1680109434,178
1680109435,186
1680109436,192
1680109437,195
1680109438,193
1680109439,197
1680109440,193
1680109441,198
1680109442,199
1680109443,199
1680109444,200
1680109445,201
1680109446,200
1680109447,201
1680109448,233
1680109449,255
1680109450,254
1680109451,255
1680109452,255
1680109453,256
1680109454,164
1680109455,137
1680109456,143
1680109457,142
1680109458,141
1680109459,139
1680109460,138
1680109461,133
1680109462,130
1680109463,129
1680109464,129
1680109465,131
1680109466,132
1680109467,134
1680109468,134
1680109469,133
1680109470,134
1680109471,135
1680109472,134
1680109473,132
1680109474,134
1680109475,137
1680109476,139
1680109477,141
1680109478,141
1680109479,204
1680109480,255
1680109481,255
1680109482,255
1680109483,253
1680109484,255
1680109485,255
1680109486,171
1680109487,200
1680109488,198
1680109489,199
1680109490,198
1680109491,196
1680109492,200
1680109493,201
1680109494,199
1680109495,198
1680109496,199
1680109497,200
1680109498,198
1680109499,198
1680109500,199
1680109501,204
1680109502,203
1680109503,199
1680109504,196
1680109505,181
1680109506,172
1680109507,174
1680109508,172
1680109509,169
1680109510,170
1680109511,177
1680109512,181
1680109513,186
1680109514,183
1680109515,182
1680109516,183
1680109517,185
1680109518,176
1680109519,184
1680109520,190
1680109521,188
1680109522,195
1680109523,199
1680109524,197
1680109525,196
1680109526,195
1680109527,203
1680109528,204
1680109529,205
1680109530,191
1680109531,203
1680109532,201
1680109533,198
1680109534,190
1680109535,187
1680109536,189
1680109537,185
1680109538,187
1680109539,184
1680109540,187
1680109541,186
1680109542,187
1680109543,187
1680109544,189
1680109545,180
1680109546,190
1680109547,194
1680109548,186
1680109549,187
1680109550,186
1680109551,188
1680109552,190
1680109553,193
1680109554,194
1680109555,192
1680109556,186
1680109557,197
1680109558,193
1680109559,191
1680109560,195
1680109561,194
1680109562,197
1680109563,192
1680109564,197
1680109565,198
1680109566,203
1680109567,203
1680109568,201
1680109569,201
1680109570,194
1680109571,193
1680109572,188
1680109573,184
1680109574,184
1680109575,188
1680109576,189
1680109577,180
1680109578,179
1680109579,178
1680109580,180
1680109581,180
1680109582,178
1680109583,180
1680109584,175
1680109585,186
1680109586,194
1680109587,199
1680109588,197
1680109589,194
1680109590,179
1680109591,176
1680109592,178
1680109593,181
1680109594,178
1680109595,174
1680109596,174
1680109597,176
1680109598,174
1680109599,172
1680109600,169
1680109601,174
1680109602,177
1680109603,181
1680109604,177
1680109605,177
1680109606,176
1680109607,171
1680109608,171
1680109609,173
1680109610,163
1680109611,166
1680109612,165
1680109613,168
1680109614,171
1680109615,178
1680109616,178
1680109617,181
1680109618,168
1680109619,170
1680109620,171
1680109621,176
1680109622,171
1680109623,171
1680109624,171
1680109625,176
1680109626,112
