time,FPS
1677712135,39
1677712136,52
1677712137,36
1677712138,35
1677712139,53
1677712140,52
1677712141,53
1677712142,55
1677712143,53
1677712144,52
1677712145,56
1677712146,53
1677712147,57
1677712148,50
1677712149,51
1677712150,48
1677712151,53
1677712152,52
1677712153,48
1677712154,53
1677712155,57
1677712156,51
1677712157,56
1677712158,58
1677712159,58
1677712160,56
1677712161,58
1677712162,59
1677712163,58
1677712164,58
1677712165,59
1677712166,60
1677712167,56
1677712168,57
1677712169,57
1677712170,57
1677712171,57
1677712172,57
1677712173,58
1677712174,61
1677712175,51
1677712176,54
1677712177,54
1677712178,54
1677712179,50
1677712180,53
1677712181,52
1677712182,52
1677712183,52
1677712184,53
1677712185,53
1677712186,48
1677712187,52
1677712188,54
1677712189,56
1677712190,53
1677712191,54
1677712192,53
1677712193,56
1677712194,54
1677712195,55
1677712196,53
1677712197,55
1677712198,59
1677712199,54
1677712200,60
1677712201,57
1677712202,59
1677712203,60
1677712204,60
1677712205,60
1677712206,58
1677712207,60
1677712208,60
1677712209,61
1677712210,60
1677712211,57
1677712212,58
1677712213,58
1677712214,58
1677712215,57
1677712216,58
1677712217,61
1677712218,58
1677712219,58
1677712220,58
1677712221,61
1677712222,58
1677712223,60
1677712224,61
1677712225,58
1677712226,57
1677712227,59
1677712228,59
1677712229,58
1677712230,58
1677712231,59
1677712232,60
1677712233,165
1677712234,255
1677712235,255
1677712236,255
1677712237,219
1677712238,32
1677712239,42
1677712240,42
1677712241,41
1677712242,44
1677712243,44
1677712244,45
1677712245,46
1677712246,45
1677712247,46
1677712248,45
1677712249,44
1677712250,44
1677712251,44
1677712252,44
1677712253,45
1677712254,44
1677712255,46
1677712256,46
1677712257,46
1677712258,45
1677712259,47
1677712260,45
1677712261,47
1677712262,46
1677712263,239
1677712264,255
1677712265,256
1677712266,255
1677712267,105
1677712268,55
1677712269,58
1677712270,56
1677712271,56
1677712272,57
1677712273,57
1677712274,57
1677712275,55
1677712276,57
1677712277,56
1677712278,54
1677712279,53
1677712280,55
1677712281,53
1677712282,53
1677712283,52
1677712284,54
1677712285,52
1677712286,55
1677712287,51
1677712288,55
1677712289,55
1677712290,54
1677712291,54
1677712292,193
1677712293,256
1677712294,255
1677712295,255
1677712296,131
1677712297,57
1677712298,57
1677712299,56
1677712300,56
1677712301,56
1677712302,57
1677712303,56
1677712304,55
1677712305,56
1677712306,57
1677712307,57
1677712308,59
1677712309,60
1677712310,61
1677712311,61
1677712312,61
1677712313,61
1677712314,61
1677712315,61
1677712316,62
1677712317,61
1677712318,63
1677712319,62
1677712320,61
1677712321,174
1677712322,254
1677712323,254
1677712324,256
1677712325,254
1677712326,255
1677712327,255
1677712328,255
1677712329,147
1677712330,47
1677712331,52
1677712332,52
1677712333,52
1677712334,53
1677712335,54
1677712336,50
1677712337,51
1677712338,51
1677712339,51
1677712340,52
1677712341,52
1677712342,54
1677712343,54
1677712344,52
1677712345,52
1677712346,52
1677712347,53
1677712348,54
1677712349,53
1677712350,54
1677712351,53
1677712352,53
1677712353,53
1677712354,116
1677712355,255
1677712356,256
1677712357,251
1677712358,256
1677712359,254
1677712360,255
1677712361,255
1677712362,253
1677712363,254
1677712364,135
1677712365,56
1677712366,60
1677712367,59
1677712368,60
1677712369,59
1677712370,60
1677712371,60
1677712372,60
1677712373,60
1677712374,59
1677712375,60
1677712376,60
1677712377,60
1677712378,60
1677712379,58
1677712380,60
1677712381,64
1677712382,64
1677712383,66
1677712384,58
1677712385,56
1677712386,60
1677712387,54
1677712388,56
1677712389,55
1677712390,56
1677712391,56
1677712392,54
1677712393,53
1677712394,53
1677712395,52
1677712396,53
1677712397,54
1677712398,56
1677712399,55
1677712400,54
1677712401,57
1677712402,56
1677712403,54
1677712404,55
1677712405,56
1677712406,56
1677712407,58
1677712408,58
1677712409,59
1677712410,60
1677712411,57
1677712412,56
1677712413,53
1677712414,52
1677712415,53
1677712416,53
1677712417,54
1677712418,51
1677712419,52
1677712420,52
1677712421,52
1677712422,54
1677712423,52
1677712424,55
1677712425,54
1677712426,54
1677712427,51
1677712428,51
1677712429,51
1677712430,52
1677712431,54
1677712432,51
1677712433,54
1677712434,54
1677712435,52
1677712436,55
1677712437,53
1677712438,53
1677712439,53
1677712440,53
1677712441,53
1677712442,51
1677712443,52
1677712444,51
1677712445,50
1677712446,51
1677712447,53
1677712448,52
1677712449,50
1677712450,49
1677712451,48
1677712452,48
1677712453,47
1677712454,49
1677712455,49
1677712456,51
1677712457,51
1677712458,51
1677712459,49
1677712460,47
1677712461,48
1677712462,48
1677712463,49
1677712464,54
1677712465,55
1677712466,54
1677712467,54
1677712468,54
1677712469,52
1677712470,52
1677712471,51
1677712472,49
1677712473,48
1677712474,50
1677712475,50
1677712476,49
1677712477,47
1677712478,48
1677712479,48
1677712480,48
1677712481,48
1677712482,48
1677712483,48
1677712484,50
1677712485,52
1677712486,52
1677712487,51
1677712488,49
1677712489,49
1677712490,49
1677712491,48
1677712492,49
1677712493,50
1677712494,50
1677712495,53
1677712496,55
1677712497,37
