time,FPS
1676339881,40
1676339882,45
1676339883,26
1676339884,52
1676339885,46
1676339886,45
1676339887,48
1676339888,43
1676339889,47
1676339890,46
1676339891,41
1676339892,43
1676339893,44
1676339894,38
1676339895,44
1676339896,38
1676339897,45
1676339898,43
1676339899,40
1676339900,40
1676339901,37
1676339902,40
1676339903,47
1676339904,54
1676339905,50
1676339906,51
1676339907,53
1676339908,52
1676339909,50
1676339910,52
1676339911,51
1676339912,51
1676339913,50
1676339914,55
1676339915,54
1676339916,51
1676339917,49
1676339918,53
1676339919,51
1676339920,53
1676339921,54
1676339922,53
1676339923,54
1676339924,51
1676339925,49
1676339926,57
1676339927,58
1676339928,58
1676339929,54
1676339930,57
1676339931,56
1676339932,57
1676339933,56
1676339934,54
1676339935,40
1676339936,38
1676339937,41
1676339938,41
1676339939,41
1676339940,43
1676339941,40
1676339942,41
1676339943,42
1676339944,40
1676339945,42
1676339946,42
1676339947,42
1676339948,44
1676339949,48
1676339950,43
1676339951,45
1676339952,45
1676339953,49
1676339954,45
1676339955,44
1676339956,49
1676339957,45
1676339958,48
1676339959,46
1676339960,41
1676339961,40
1676339962,43
1676339963,44
1676339964,49
1676339965,48
1676339966,46
1676339967,44
1676339968,46
1676339969,43
1676339970,44
1676339971,42
1676339972,45
1676339973,44
1676339974,43
1676339975,41
1676339976,46
1676339977,39
1676339978,46
1676339979,44
1676339980,40
1676339981,43
1676339982,43
1676339983,169
1676339984,250
1676339985,251
1676339986,253
1676339987,165
1676339988,112
1676339989,113
1676339990,117
1676339991,119
1676339992,118
1676339993,114
1676339994,116
1676339995,120
1676339996,119
1676339997,118
1676339998,117
1676339999,117
1676340000,117
1676340001,118
1676340002,117
1676340003,120
1676340004,116
1676340005,121
1676340006,121
1676340007,118
1676340008,120
1676340009,120
1676340010,122
1676340011,123
1676340012,192
1676340013,255
1676340014,255
1676340015,255
1676340016,122
1676340017,154
1676340018,151
1676340019,154
1676340020,153
1676340021,149
1676340022,150
1676340023,154
1676340024,150
1676340025,153
1676340026,151
1676340027,149
1676340028,150
1676340029,155
1676340030,152
1676340031,151
1676340032,151
1676340033,152
1676340034,154
1676340035,154
1676340036,154
1676340037,155
1676340038,155
1676340039,152
1676340040,152
1676340041,239
1676340042,250
1676340043,255
1676340044,185
1676340045,142
1676340046,135
1676340047,136
1676340048,135
1676340049,133
1676340050,134
1676340051,134
1676340052,134
1676340053,136
1676340054,138
1676340055,142
1676340056,145
1676340057,150
1676340058,151
1676340059,153
1676340060,153
1676340061,154
1676340062,154
1676340063,155
1676340064,155
1676340065,157
1676340066,157
1676340067,157
1676340068,158
1676340069,196
1676340070,255
1676340071,256
1676340072,254
1676340073,255
1676340074,256
1676340075,255
1676340076,253
1676340077,82
1676340078,131
1676340079,130
1676340080,130
1676340081,128
1676340082,126
1676340083,124
1676340084,122
1676340085,119
1676340086,120
1676340087,121
1676340088,121
1676340089,123
1676340090,124
1676340091,123
1676340092,123
1676340093,124
1676340094,123
1676340095,123
1676340096,122
1676340097,125
1676340098,125
1676340099,126
1676340100,124
1676340101,125
1676340102,249
1676340103,254
1676340104,250
1676340105,255
1676340106,255
1676340107,255
1676340108,255
1676340109,255
1676340110,180
1676340111,158
1676340112,160
1676340113,161
1676340114,158
1676340115,158
1676340116,163
1676340117,163
1676340118,163
1676340119,163
1676340120,162
1676340121,162
1676340122,164
1676340123,162
1676340124,162
1676340125,166
1676340126,168
1676340127,173
1676340128,173
1676340129,168
1676340130,155
1676340131,156
1676340132,158
1676340133,150
1676340134,146
1676340135,149
1676340136,154
1676340137,156
1676340138,150
1676340139,146
1676340140,144
1676340141,145
1676340142,148
1676340143,147
1676340144,151
1676340145,149
1676340146,157
1676340147,154
1676340148,157
1676340149,154
1676340150,154
1676340151,160
1676340152,165
1676340153,165
1676340154,164
1676340155,165
1676340156,160
1676340157,152
1676340158,151
1676340159,147
1676340160,151
1676340161,152
1676340162,155
1676340163,151
1676340164,154
1676340165,155
1676340166,149
1676340167,152
1676340168,151
1676340169,152
1676340170,159
1676340171,156
1676340172,155
1676340173,150
1676340174,148
1676340175,150
1676340176,150
1676340177,156
1676340178,155
1676340179,155
1676340180,153
1676340181,163
1676340182,160
1676340183,158
1676340184,157
1676340185,158
1676340186,158
1676340187,155
1676340188,156
1676340189,164
1676340190,164
1676340191,159
1676340192,158
1676340193,160
1676340194,157
1676340195,153
1676340196,149
1676340197,148
1676340198,149
1676340199,151
1676340200,152
1676340201,153
1676340202,153
1676340203,146
1676340204,148
1676340205,149
1676340206,148
1676340207,148
1676340208,167
1676340209,163
1676340210,162
1676340211,151
1676340212,159
1676340213,155
1676340214,155
1676340215,148
1676340216,145
1676340217,144
1676340218,149
1676340219,148
1676340220,147
1676340221,143
1676340222,143
1676340223,142
1676340224,141
1676340225,142
1676340226,142
1676340227,144
1676340228,148
1676340229,146
1676340230,144
1676340231,145
1676340232,139
1676340233,136
1676340234,137
1676340235,136
1676340236,133
1676340237,135
1676340238,134
1676340239,138
1676340240,141
1676340241,138
1676340242,143
1676340243,137
1676340244,136
1676340245,138
1676340246,139
1676340247,142
1676340248,4
