time,FPS
1679957733,40
1679957734,47
1679957735,23
1679957736,41
1679957737,53
1679957738,52
1679957739,52
1679957740,52
1679957741,49
1679957742,51
1679957743,51
1679957744,52
1679957745,52
1679957746,47
1679957747,45
1679957748,43
1679957749,41
1679957750,39
1679957751,42
1679957752,41
1679957753,43
1679957754,41
1679957755,44
1679957756,52
1679957757,50
1679957758,51
1679957759,51
1679957760,53
1679957761,52
1679957762,47
1679957763,50
1679957764,50
1679957765,51
1679957766,50
1679957767,51
1679957768,48
1679957769,51
1679957770,49
1679957771,49
1679957772,47
1679957773,53
1679957774,48
1679957775,52
1679957776,54
1679957777,52
1679957778,52
1679957779,52
1679957780,52
1679957781,52
1679957782,52
1679957783,49
1679957784,42
1679957785,40
1679957786,42
1679957787,39
1679957788,43
1679957789,42
1679957790,42
1679957791,41
1679957792,43
1679957793,47
1679957794,47
1679957795,45
1679957796,42
1679957797,48
1679957798,43
1679957799,44
1679957800,44
1679957801,44
1679957802,44
1679957803,47
1679957804,44
1679957805,46
1679957806,42
1679957807,43
1679957808,43
1679957809,47
1679957810,42
1679957811,44
1679957812,42
1679957813,46
1679957814,40
1679957815,40
1679957816,42
1679957817,40
1679957818,41
1679957819,41
1679957820,40
1679957821,43
1679957822,40
1679957823,45
1679957824,41
1679957825,45
1679957826,42
1679957827,40
1679957828,42
1679957829,45
1679957830,46
1679957831,41
1679957832,220
1679957833,255
1679957834,252
1679957835,252
1679957836,213
1679957837,157
1679957838,168
1679957839,169
1679957840,171
1679957841,169
1679957842,170
1679957843,170
1679957844,169
1679957845,170
1679957846,160
1679957847,166
1679957848,164
1679957849,165
1679957850,163
1679957851,169
1679957852,164
1679957853,167
1679957854,171
1679957855,163
1679957856,169
1679957857,167
1679957858,170
1679957859,176
1679957860,169
1679957861,193
1679957862,255
1679957863,255
1679957864,253
1679957865,255
1679957866,207
1679957867,181
1679957868,201
1679957869,193
1679957870,195
1679957871,198
1679957872,189
1679957873,195
1679957874,193
1679957875,195
1679957876,194
1679957877,190
1679957878,191
1679957879,193
1679957880,191
1679957881,190
1679957882,189
1679957883,192
1679957884,193
1679957885,193
1679957886,197
1679957887,195
1679957888,194
1679957889,196
1679957890,194
1679957891,215
1679957892,255
1679957893,256
1679957894,255
1679957895,204
1679957896,173
1679957897,155
1679957898,155
1679957899,154
1679957900,153
1679957901,156
1679957902,158
1679957903,159
1679957904,168
1679957905,178
1679957906,180
1679957907,190
1679957908,193
1679957909,192
1679957910,195
1679957911,196
1679957912,197
1679957913,198
1679957914,198
1679957915,199
1679957916,201
1679957917,201
1679957918,202
1679957919,203
1679957920,220
1679957921,255
1679957922,256
1679957923,252
1679957924,255
1679957925,255
1679957926,256
1679957927,134
1679957928,154
1679957929,151
1679957930,148
1679957931,150
1679957932,146
1679957933,142
1679957934,138
1679957935,134
1679957936,133
1679957937,134
1679957938,139
1679957939,141
1679957940,144
1679957941,143
1679957942,143
1679957943,145
1679957944,144
1679957945,146
1679957946,141
1679957947,145
1679957948,149
1679957949,152
1679957950,152
1679957951,153
1679957952,232
1679957953,255
1679957954,255
1679957955,256
1679957956,255
1679957957,255
1679957958,255
1679957959,195
1679957960,199
1679957961,201
1679957962,200
1679957963,196
1679957964,202
1679957965,205
1679957966,204
1679957967,204
1679957968,204
1679957969,205
1679957970,204
1679957971,205
1679957972,200
1679957973,205
1679957974,206
1679957975,212
1679957976,213
1679957977,213
1679957978,202
1679957979,185
1679957980,186
1679957981,189
1679957982,184
1679957983,184
1679957984,186
1679957985,191
1679957986,194
1679957987,187
1679957988,184
1679957989,183
1679957990,185
1679957991,175
1679957992,185
1679957993,190
1679957994,187
1679957995,195
1679957996,197
1679957997,197
1679957998,193
1679957999,194
1679958000,201
1679958001,206
1679958002,193
1679958003,203
1679958004,207
1679958005,204
1679958006,198
1679958007,194
1679958008,185
1679958009,187
1679958010,191
1679958011,193
1679958012,190
1679958013,193
1679958014,187
1679958015,190
1679958016,194
1679958017,190
1679958018,192
1679958019,200
1679958020,198
1679958021,194
1679958022,189
1679958023,188
1679958024,187
1679958025,190
1679958026,196
1679958027,197
1679958028,196
1679958029,186
1679958030,202
1679958031,196
1679958032,195
1679958033,199
1679958034,192
1679958035,198
1679958036,195
1679958037,199
1679958038,195
1679958039,207
1679958040,202
1679958041,195
1679958042,187
1679958043,181
1679958044,181
1679958045,182
1679958046,181
1679958047,182
1679958048,187
1679958049,186
1679958050,184
1679958051,180
1679958052,179
1679958053,180
1679958054,183
1679958055,181
1679958056,185
1679958057,185
1679958058,181
1679958059,185
1679958060,182
1679958061,182
1679958062,178
1679958063,182
1679958064,180
1679958065,181
1679958066,184
1679958067,181
1679958068,179
1679958069,172
1679958070,178
1679958071,174
1679958072,173
1679958073,172
1679958074,175
1679958075,178
1679958076,182
1679958077,177
1679958078,175
1679958079,177
1679958080,172
1679958081,170
1679958082,172
1679958083,166
1679958084,165
1679958085,166
1679958086,168
1679958087,172
1679958088,178
1679958089,183
1679958090,182
1679958091,174
1679958092,175
1679958093,170
1679958094,179
1679958095,155
