time,FPS
1676416862,40
1676416863,42
1676416864,23
1676416865,48
1676416866,49
1676416867,50
1676416868,52
1676416869,52
1676416870,55
1676416871,53
1676416872,50
1676416873,48
1676416874,54
1676416875,49
1676416876,43
1676416877,47
1676416878,44
1676416879,41
1676416880,42
1676416881,40
1676416882,40
1676416883,43
1676416884,44
1676416885,53
1676416886,52
1676416887,51
1676416888,52
1676416889,53
1676416890,52
1676416891,48
1676416892,51
1676416893,52
1676416894,55
1676416895,50
1676416896,51
1676416897,52
1676416898,52
1676416899,53
1676416900,52
1676416901,53
1676416902,49
1676416903,51
1676416904,49
1676416905,56
1676416906,56
1676416907,54
1676416908,55
1676416909,55
1676416910,54
1676416911,54
1676416912,53
1676416913,53
1676416914,46
1676416915,43
1676416916,43
1676416917,45
1676416918,40
1676416919,41
1676416920,43
1676416921,41
1676416922,43
1676416923,43
1676416924,41
1676416925,44
1676416926,47
1676416927,49
1676416928,52
1676416929,54
1676416930,57
1676416931,54
1676416932,57
1676416933,58
1676416934,60
1676416935,60
1676416936,57
1676416937,61
1676416938,58
1676416939,60
1676416940,61
1676416941,57
1676416942,57
1676416943,54
1676416944,57
1676416945,57
1676416946,56
1676416947,58
1676416948,59
1676416949,60
1676416950,57
1676416951,54
1676416952,58
1676416953,59
1676416954,57
1676416955,55
1676416956,59
1676416957,57
1676416958,57
1676416959,58
1676416960,59
1676416961,57
1676416962,225
1676416963,249
1676416964,255
1676416965,249
1676416966,191
1676416967,119
1676416968,124
1676416969,127
1676416970,129
1676416971,129
1676416972,129
1676416973,124
1676416974,126
1676416975,124
1676416976,127
1676416977,127
1676416978,126
1676416979,127
1676416980,126
1676416981,128
1676416982,128
1676416983,129
1676416984,129
1676416985,130
1676416986,126
1676416987,131
1676416988,132
1676416989,132
1676416990,133
1676416991,171
1676416992,255
1676416993,255
1676416994,254
1676416995,255
1676416996,113
1676416997,153
1676416998,150
1676416999,153
1676417000,151
1676417001,149
1676417002,151
1676417003,147
1676417004,151
1676417005,152
1676417006,152
1676417007,149
1676417008,151
1676417009,151
1676417010,149
1676417011,145
1676417012,146
1676417013,147
1676417014,148
1676417015,148
1676417016,149
1676417017,150
1676417018,153
1676417019,156
1676417020,157
1676417021,255
1676417022,253
1676417023,255
1676417024,255
1676417025,149
1676417026,123
1676417027,119
1676417028,119
1676417029,118
1676417030,119
1676417031,121
1676417032,122
1676417033,125
1676417034,133
1676417035,137
1676417036,143
1676417037,147
1676417038,151
1676417039,152
1676417040,152
1676417041,154
1676417042,154
1676417043,156
1676417044,156
1676417045,157
1676417046,158
1676417047,158
1676417048,159
1676417049,158
1676417050,238
1676417051,254
1676417052,254
1676417053,255
1676417054,252
1676417055,255
1676417056,254
1676417057,253
1676417058,151
1676417059,103
1676417060,110
1676417061,108
1676417062,109
1676417063,108
1676417064,105
1676417065,103
1676417066,100
1676417067,100
1676417068,101
1676417069,103
1676417070,102
1676417071,104
1676417072,105
1676417073,104
1676417074,105
1676417075,103
1676417076,103
1676417077,102
1676417078,103
1676417079,105
1676417080,107
1676417081,107
1676417082,106
1676417083,175
1676417084,255
1676417085,255
1676417086,254
1676417087,254
1676417088,253
1676417089,253
1676417090,256
1676417091,252
1676417092,248
1676417093,135
1676417094,155
1676417095,158
1676417096,158
1676417097,159
1676417098,157
1676417099,161
1676417100,160
1676417101,161
1676417102,161
1676417103,162
1676417104,161
1676417105,156
1676417106,157
1676417107,162
1676417108,166
1676417109,163
1676417110,166
1676417111,159
1676417112,146
1676417113,138
1676417114,135
1676417115,137
1676417116,131
1676417117,132
1676417118,137
1676417119,143
1676417120,146
1676417121,144
1676417122,146
1676417123,147
1676417124,147
1676417125,148
1676417126,145
1676417127,151
1676417128,148
1676417129,157
1676417130,159
1676417131,157
1676417132,150
1676417133,153
1676417134,161
1676417135,162
1676417136,158
1676417137,159
1676417138,164
1676417139,160
1676417140,154
1676417141,149
1676417142,147
1676417143,152
1676417144,149
1676417145,153
1676417146,146
1676417147,153
1676417148,154
1676417149,151
1676417150,153
1676417151,152
1676417152,153
1676417153,153
1676417154,157
1676417155,150
1676417156,149
1676417157,148
1676417158,148
1676417159,150
1676417160,152
1676417161,152
1676417162,151
1676417163,153
1676417164,162
1676417165,157
1676417166,155
1676417167,158
1676417168,156
1676417169,157
1676417170,158
1676417171,158
1676417172,155
1676417173,160
1676417174,162
1676417175,157
1676417176,154
1676417177,151
1676417178,149
1676417179,146
1676417180,150
1676417181,148
1676417182,149
1676417183,152
1676417184,153
1676417185,153
1676417186,152
1676417187,147
1676417188,148
1676417189,149
1676417190,150
1676417191,150
1676417192,161
1676417193,157
1676417194,155
1676417195,144
1676417196,155
1676417197,155
1676417198,154
1676417199,145
1676417200,142
1676417201,142
1676417202,146
1676417203,145
1676417204,144
1676417205,141
1676417206,142
1676417207,140
1676417208,140
1676417209,139
1676417210,140
1676417211,142
1676417212,145
1676417213,143
1676417214,141
1676417215,140
1676417216,135
1676417217,134
1676417218,134
1676417219,132
1676417220,131
1676417221,131
1676417222,131
1676417223,135
1676417224,138
1676417225,140
1676417226,59
