time,FPS
1675708322,11
1675708323,47
1675708324,24
1675708325,51
1675708326,46
1675708327,45
1675708328,51
1675708329,47
1675708330,48
1675708331,44
1675708332,44
1675708333,45
1675708334,43
1675708335,44
1675708336,45
1675708337,43
1675708338,45
1675708339,45
1675708340,40
1675708341,41
1675708342,44
1675708343,46
1675708344,49
1675708345,48
1675708346,47
1675708347,48
1675708348,48
1675708349,47
1675708350,44
1675708351,46
1675708352,49
1675708353,45
1675708354,46
1675708355,49
1675708356,46
1675708357,45
1675708358,45
1675708359,48
1675708360,47
1675708361,52
1675708362,49
1675708363,45
1675708364,44
1675708365,44
1675708366,44
1675708367,48
1675708368,48
1675708369,57
1675708370,57
1675708371,57
1675708372,54
1675708373,56
1675708374,56
1675708375,55
1675708376,55
1675708377,55
1675708378,47
1675708379,44
1675708380,39
1675708381,45
1675708382,42
1675708383,42
1675708384,47
1675708385,44
1675708386,44
1675708387,42
1675708388,43
1675708389,41
1675708390,45
1675708391,44
1675708392,45
1675708393,41
1675708394,49
1675708395,43
1675708396,44
1675708397,42
1675708398,43
1675708399,40
1675708400,48
1675708401,42
1675708402,46
1675708403,41
1675708404,44
1675708405,44
1675708406,43
1675708407,45
1675708408,40
1675708409,46
1675708410,40
1675708411,43
1675708412,42
1675708413,47
1675708414,44
1675708415,43
1675708416,44
1675708417,40
1675708418,44
1675708419,44
1675708420,44
1675708421,41
1675708422,46
1675708423,42
1675708424,46
1675708425,47
1675708426,156
1675708427,255
1675708428,248
1675708429,256
1675708430,160
1675708431,112
1675708432,113
1675708433,116
1675708434,117
1675708435,117
1675708436,118
1675708437,114
1675708438,119
1675708439,118
1675708440,116
1675708441,115
1675708442,116
1675708443,116
1675708444,117
1675708445,117
1675708446,119
1675708447,117
1675708448,121
1675708449,121
1675708450,122
1675708451,122
1675708452,122
1675708453,122
1675708454,122
1675708455,191
1675708456,255
1675708457,255
1675708458,256
1675708459,169
1675708460,148
1675708461,155
1675708462,158
1675708463,157
1675708464,155
1675708465,155
1675708466,155
1675708467,156
1675708468,154
1675708469,155
1675708470,154
1675708471,153
1675708472,156
1675708473,153
1675708474,152
1675708475,152
1675708476,153
1675708477,154
1675708478,154
1675708479,153
1675708480,152
1675708481,157
1675708482,157
1675708483,159
1675708484,208
1675708485,256
1675708486,253
1675708487,255
1675708488,127
1675708489,140
1675708490,139
1675708491,140
1675708492,137
1675708493,138
1675708494,137
1675708495,136
1675708496,138
1675708497,139
1675708498,142
1675708499,145
1675708500,149
1675708501,154
1675708502,154
1675708503,156
1675708504,156
1675708505,155
1675708506,157
1675708507,157
1675708508,159
1675708509,160
1675708510,160
1675708511,160
1675708512,161
1675708513,250
1675708514,255
1675708515,254
1675708516,255
1675708517,249
1675708518,190
1675708519,122
1675708520,131
1675708521,133
1675708522,132
1675708523,129
1675708524,130
1675708525,125
1675708526,124
1675708527,123
1675708528,125
1675708529,126
1675708530,126
1675708531,125
1675708532,126
1675708533,125
1675708534,128
1675708535,128
1675708536,128
1675708537,127
1675708538,128
1675708539,129
1675708540,127
1675708541,129
1675708542,130
1675708543,166
1675708544,256
1675708545,253
1675708546,256
1675708547,255
1675708548,255
1675708549,256
1675708550,159
1675708551,160
1675708552,161
1675708553,160
1675708554,160
1675708555,161
1675708556,163
1675708557,160
1675708558,162
1675708559,163
1675708560,163
1675708561,163
1675708562,159
1675708563,160
1675708564,159
1675708565,166
1675708566,169
1675708567,173
1675708568,172
1675708569,155
1675708570,153
1675708571,161
1675708572,159
1675708573,149
1675708574,143
1675708575,144
1675708576,150
1675708577,155
1675708578,148
1675708579,146
1675708580,145
1675708581,146
1675708582,148
1675708583,148
1675708584,152
1675708585,148
1675708586,156
1675708587,159
1675708588,156
1675708589,154
1675708590,152
1675708591,159
1675708592,165
1675708593,165
1675708594,159
1675708595,164
1675708596,160
1675708597,153
1675708598,150
1675708599,147
1675708600,151
1675708601,151
1675708602,154
1675708603,151
1675708604,152
1675708605,159
1675708606,154
1675708607,157
1675708608,155
1675708609,159
1675708610,163
1675708611,158
1675708612,156
1675708613,147
1675708614,150
1675708615,148
1675708616,152
1675708617,155
1675708618,154
1675708619,154
1675708620,154
1675708621,161
1675708622,158
1675708623,155
1675708624,155
1675708625,158
1675708626,159
1675708627,158
1675708628,156
1675708629,154
1675708630,157
1675708631,156
1675708632,162
1675708633,155
1675708634,151
1675708635,147
1675708636,143
1675708637,141
1675708638,142
1675708639,144
1675708640,144
1675708641,147
1675708642,147
1675708643,144
1675708644,143
1675708645,145
1675708646,144
1675708647,142
1675708648,145
1675708649,164
1675708650,158
1675708651,156
1675708652,157
1675708653,155
1675708654,154
1675708655,153
1675708656,145
1675708657,140
1675708658,141
1675708659,143
1675708660,144
1675708661,144
1675708662,141
1675708663,141
1675708664,141
1675708665,139
1675708666,139
1675708667,138
1675708668,140
1675708669,144
1675708670,143
1675708671,139
1675708672,141
1675708673,136
1675708674,132
1675708675,132
1675708676,131
1675708677,128
1675708678,130
1675708679,130
1675708680,134
1675708681,136
1675708682,143
1675708683,145
1675708684,143
1675708685,139
1675708686,139
1675708687,142
1675708688,142
1675708689,142
1675708690,85
