time,FPS
1680627289,12
1680627290,44
1680627291,30
1680627292,39
1680627293,51
1680627294,52
1680627295,50
1680627296,52
1680627297,52
1680627298,51
1680627299,54
1680627300,52
1680627301,50
1680627302,50
1680627303,43
1680627304,47
1680627305,45
1680627306,46
1680627307,43
1680627308,50
1680627309,42
1680627310,48
1680627311,49
1680627312,54
1680627313,55
1680627314,51
1680627315,51
1680627316,52
1680627317,53
1680627318,54
1680627319,52
1680627320,53
1680627321,52
1680627322,53
1680627323,51
1680627324,53
1680627325,53
1680627326,52
1680627327,52
1680627328,53
1680627329,53
1680627330,52
1680627331,53
1680627332,53
1680627333,52
1680627334,59
1680627335,59
1680627336,56
1680627337,58
1680627338,58
1680627339,57
1680627340,57
1680627341,57
1680627342,53
1680627343,43
1680627344,45
1680627345,44
1680627346,41
1680627347,46
1680627348,43
1680627349,43
1680627350,48
1680627351,44
1680627352,43
1680627353,46
1680627354,46
1680627355,47
1680627356,45
1680627357,47
1680627358,44
1680627359,47
1680627360,50
1680627361,45
1680627362,48
1680627363,47
1680627364,46
1680627365,45
1680627366,48
1680627367,45
1680627368,49
1680627369,50
1680627370,48
1680627371,50
1680627372,46
1680627373,46
1680627374,45
1680627375,51
1680627376,45
1680627377,47
1680627378,48
1680627379,46
1680627380,48
1680627381,50
1680627382,48
1680627383,46
1680627384,48
1680627385,46
1680627386,44
1680627387,47
1680627388,48
1680627389,47
1680627390,47
1680627391,207
1680627392,255
1680627393,250
1680627394,255
1680627395,115
1680627396,72
1680627397,71
1680627398,70
1680627399,71
1680627400,70
1680627401,71
1680627402,70
1680627403,70
1680627404,71
1680627405,72
1680627406,71
1680627407,71
1680627408,71
1680627409,71
1680627410,70
1680627411,72
1680627412,72
1680627413,70
1680627414,72
1680627415,72
1680627416,74
1680627417,72
1680627418,73
1680627419,73
1680627420,194
1680627421,255
1680627422,255
1680627423,254
1680627424,77
1680627425,87
1680627426,85
1680627427,84
1680627428,83
1680627429,83
1680627430,83
1680627431,83
1680627432,82
1680627433,83
1680627434,82
1680627435,79
1680627436,81
1680627437,82
1680627438,80
1680627439,80
1680627440,79
1680627441,81
1680627442,82
1680627443,83
1680627444,82
1680627445,83
1680627446,83
1680627447,83
1680627448,83
1680627449,244
1680627450,255
1680627451,256
1680627452,148
1680627453,83
1680627454,79
1680627455,79
1680627456,80
1680627457,79
1680627458,79
1680627459,78
1680627460,78
1680627461,79
1680627462,80
1680627463,81
1680627464,83
1680627465,85
1680627466,86
1680627467,86
1680627468,87
1680627469,87
1680627470,88
1680627471,88
1680627472,89
1680627473,89
1680627474,90
1680627475,89
1680627476,90
1680627477,182
1680627478,255
1680627479,254
1680627480,254
1680627481,255
1680627482,255
1680627483,226
1680627484,60
1680627485,75
1680627486,76
1680627487,74
1680627488,74
1680627489,73
1680627490,72
1680627491,72
1680627492,71
1680627493,72
1680627494,72
1680627495,73
1680627496,72
1680627497,73
1680627498,74
1680627499,74
1680627500,75
1680627501,75
1680627502,75
1680627503,75
1680627504,75
1680627505,76
1680627506,76
1680627507,77
1680627508,83
1680627509,255
1680627510,255
1680627511,256
1680627512,255
1680627513,255
1680627514,255
1680627515,171
1680627516,87
1680627517,89
1680627518,88
1680627519,88
1680627520,86
1680627521,91
1680627522,90
1680627523,89
1680627524,88
1680627525,89
1680627526,88
1680627527,87
1680627528,88
1680627529,88
1680627530,89
1680627531,90
1680627532,93
1680627533,97
1680627534,99
1680627535,93
1680627536,83
1680627537,88
1680627538,88
1680627539,82
1680627540,80
1680627541,81
1680627542,83
1680627543,84
1680627544,81
1680627545,79
1680627546,78
1680627547,80
1680627548,80
1680627549,82
1680627550,84
1680627551,81
1680627552,82
1680627553,84
1680627554,85
1680627555,82
1680627556,82
1680627557,83
1680627558,86
1680627559,87
1680627560,87
1680627561,89
1680627562,89
1680627563,86
1680627564,84
1680627565,80
1680627566,79
1680627567,81
1680627568,81
1680627569,81
1680627570,81
1680627571,82
1680627572,80
1680627573,82
1680627574,81
1680627575,82
1680627576,86
1680627577,83
1680627578,81
1680627579,77
1680627580,78
1680627581,77
1680627582,79
1680627583,80
1680627584,81
1680627585,82
1680627586,80
1680627587,81
1680627588,83
1680627589,82
1680627590,81
1680627591,82
1680627592,82
1680627593,83
1680627594,81
1680627595,81
1680627596,79
1680627597,85
1680627598,86
1680627599,81
1680627600,79
1680627601,79
1680627602,76
1680627603,75
1680627604,75
1680627605,75
1680627606,75
1680627607,77
1680627608,77
1680627609,78
1680627610,78
1680627611,76
1680627612,74
1680627613,75
1680627614,75
1680627615,76
1680627616,83
1680627617,86
1680627618,84
1680627619,84
1680627620,83
1680627621,82
1680627622,80
1680627623,78
1680627624,76
1680627625,74
1680627626,75
1680627627,77
1680627628,75
1680627629,73
1680627630,74
1680627631,73
1680627632,74
1680627633,72
1680627634,72
1680627635,74
1680627636,76
1680627637,79
1680627638,76
1680627639,76
1680627640,74
1680627641,72
1680627642,71
1680627643,72
1680627644,71
1680627645,72
1680627646,74
1680627647,74
1680627648,79
1680627649,81
1680627650,81
1680627651,82
1680627652,75
1680627653,75
1680627654,76
1680627655,38
