time,FPS
1675715640,44
1675715641,40
1675715642,22
1675715643,54
1675715644,49
1675715645,51
1675715646,50
1675715647,50
1675715648,49
1675715649,52
1675715650,49
1675715651,49
1675715652,46
1675715653,41
1675715654,44
1675715655,40
1675715656,39
1675715657,43
1675715658,44
1675715659,45
1675715660,43
1675715661,44
1675715662,47
1675715663,53
1675715664,54
1675715665,51
1675715666,54
1675715667,51
1675715668,53
1675715669,52
1675715670,49
1675715671,53
1675715672,54
1675715673,51
1675715674,54
1675715675,53
1675715676,53
1675715677,55
1675715678,51
1675715679,54
1675715680,49
1675715681,56
1675715682,58
1675715683,54
1675715684,56
1675715685,55
1675715686,56
1675715687,54
1675715688,54
1675715689,51
1675715690,44
1675715691,46
1675715692,42
1675715693,37
1675715694,44
1675715695,44
1675715696,46
1675715697,42
1675715698,44
1675715699,43
1675715700,42
1675715701,47
1675715702,50
1675715703,49
1675715704,51
1675715705,54
1675715706,56
1675715707,55
1675715708,60
1675715709,59
1675715710,58
1675715711,52
1675715712,57
1675715713,56
1675715714,56
1675715715,58
1675715716,59
1675715717,56
1675715718,52
1675715719,59
1675715720,55
1675715721,54
1675715722,54
1675715723,57
1675715724,58
1675715725,57
1675715726,55
1675715727,58
1675715728,55
1675715729,58
1675715730,51
1675715731,53
1675715732,57
1675715733,51
1675715734,55
1675715735,55
1675715736,57
1675715737,56
1675715738,224
1675715739,254
1675715740,249
1675715741,251
1675715742,245
1675715743,92
1675715744,116
1675715745,114
1675715746,114
1675715747,115
1675715748,115
1675715749,118
1675715750,120
1675715751,123
1675715752,122
1675715753,122
1675715754,120
1675715755,119
1675715756,117
1675715757,118
1675715758,116
1675715759,119
1675715760,119
1675715761,113
1675715762,119
1675715763,119
1675715764,121
1675715765,121
1675715766,122
1675715767,123
1675715768,255
1675715769,255
1675715770,256
1675715771,255
1675715772,105
1675715773,157
1675715774,153
1675715775,155
1675715776,152
1675715777,153
1675715778,154
1675715779,155
1675715780,154
1675715781,154
1675715782,155
1675715783,152
1675715784,154
1675715785,156
1675715786,149
1675715787,147
1675715788,152
1675715789,154
1675715790,154
1675715791,154
1675715792,152
1675715793,150
1675715794,156
1675715795,153
1675715796,156
1675715797,252
1675715798,255
1675715799,254
1675715800,255
1675715801,138
1675715802,124
1675715803,123
1675715804,121
1675715805,120
1675715806,121
1675715807,121
1675715808,125
1675715809,126
1675715810,134
1675715811,137
1675715812,141
1675715813,144
1675715814,150
1675715815,151
1675715816,152
1675715817,152
1675715818,153
1675715819,155
1675715820,155
1675715821,156
1675715822,157
1675715823,157
1675715824,158
1675715825,157
1675715826,236
1675715827,254
1675715828,252
1675715829,252
1675715830,252
1675715831,255
1675715832,256
1675715833,254
1675715834,139
1675715835,109
1675715836,112
1675715837,109
1675715838,110
1675715839,108
1675715840,108
1675715841,105
1675715842,103
1675715843,101
1675715844,102
1675715845,103
1675715846,103
1675715847,107
1675715848,106
1675715849,104
1675715850,104
1675715851,104
1675715852,101
1675715853,103
1675715854,104
1675715855,106
1675715856,108
1675715857,110
1675715858,109
1675715859,202
1675715860,255
1675715861,252
1675715862,254
1675715863,256
1675715864,254
1675715865,256
1675715866,253
1675715867,248
1675715868,217
1675715869,135
1675715870,158
1675715871,158
1675715872,159
1675715873,157
1675715874,160
1675715875,162
1675715876,160
1675715877,159
1675715878,160
1675715879,159
1675715880,160
1675715881,156
1675715882,161
1675715883,165
1675715884,164
1675715885,163
1675715886,161
1675715887,148
1675715888,139
1675715889,137
1675715890,137
1675715891,135
1675715892,131
1675715893,137
1675715894,140
1675715895,143
1675715896,142
1675715897,143
1675715898,145
1675715899,146
1675715900,144
1675715901,145
1675715902,147
1675715903,149
1675715904,155
1675715905,160
1675715906,157
1675715907,152
1675715908,153
1675715909,160
1675715910,164
1675715911,163
1675715912,161
1675715913,164
1675715914,160
1675715915,156
1675715916,150
1675715917,147
1675715918,151
1675715919,151
1675715920,152
1675715921,148
1675715922,150
1675715923,154
1675715924,151
1675715925,152
1675715926,150
1675715927,152
1675715928,155
1675715929,158
1675715930,155
1675715931,151
1675715932,151
1675715933,148
1675715934,149
1675715935,155
1675715936,151
1675715937,153
1675715938,152
1675715939,161
1675715940,157
1675715941,158
1675715942,158
1675715943,155
1675715944,158
1675715945,153
1675715946,156
1675715947,163
1675715948,162
1675715949,158
1675715950,152
1675715951,154
1675715952,153
1675715953,151
1675715954,150
1675715955,147
1675715956,148
1675715957,150
1675715958,151
1675715959,152
1675715960,153
1675715961,148
1675715962,146
1675715963,148
1675715964,146
1675715965,150
1675715966,158
1675715967,161
1675715968,160
1675715969,156
1675715970,154
1675715971,156
1675715972,153
1675715973,152
1675715974,140
1675715975,140
1675715976,146
1675715977,147
1675715978,144
1675715979,142
1675715980,144
1675715981,141
1675715982,143
1675715983,142
1675715984,140
1675715985,140
1675715986,143
1675715987,147
1675715988,142
1675715989,143
1675715990,139
1675715991,136
1675715992,134
1675715993,137
1675715994,133
1675715995,134
1675715996,134
1675715997,132
1675715998,133
1675715999,140
1675716000,141
1675716001,140
1675716002,125
