time,FPS
1679335918,44
1679335919,42
1679335920,24
1679335921,48
1679335922,48
1679335923,49
1679335924,51
1679335925,50
1679335926,49
1679335927,51
1679335928,48
1679335929,49
1679335930,47
1679335931,45
1679335932,45
1679335933,43
1679335934,43
1679335935,44
1679335936,48
1679335937,46
1679335938,41
1679335939,45
1679335940,47
1679335941,51
1679335942,55
1679335943,54
1679335944,51
1679335945,54
1679335946,56
1679335947,50
1679335948,52
1679335949,56
1679335950,53
1679335951,55
1679335952,56
1679335953,52
1679335954,54
1679335955,54
1679335956,53
1679335957,53
1679335958,51
1679335959,54
1679335960,50
1679335961,58
1679335962,58
1679335963,55
1679335964,57
1679335965,58
1679335966,57
1679335967,56
1679335968,56
1679335969,53
1679335970,40
1679335971,39
1679335972,40
1679335973,40
1679335974,41
1679335975,42
1679335976,41
1679335977,46
1679335978,43
1679335979,42
1679335980,47
1679335981,43
1679335982,45
1679335983,44
1679335984,45
1679335985,45
1679335986,48
1679335987,47
1679335988,47
1679335989,48
1679335990,48
1679335991,47
1679335992,47
1679335993,47
1679335994,45
1679335995,45
1679335996,46
1679335997,45
1679335998,50
1679335999,47
1679336000,47
1679336001,46
1679336002,51
1679336003,46
1679336004,49
1679336005,46
1679336006,46
1679336007,47
1679336008,49
1679336009,46
1679336010,46
1679336011,47
1679336012,49
1679336013,47
1679336014,50
1679336015,48
1679336016,47
1679336017,48
1679336018,216
1679336019,254
1679336020,248
1679336021,255
1679336022,143
1679336023,124
1679336024,125
1679336025,128
1679336026,130
1679336027,128
1679336028,127
1679336029,124
1679336030,125
1679336031,129
1679336032,129
1679336033,128
1679336034,128
1679336035,129
1679336036,127
1679336037,125
1679336038,125
1679336039,127
1679336040,131
1679336041,130
1679336042,132
1679336043,133
1679336044,132
1679336045,134
1679336046,132
1679336047,220
1679336048,256
1679336049,255
1679336050,255
1679336051,141
1679336052,152
1679336053,152
1679336054,151
1679336055,156
1679336056,150
1679336057,155
1679336058,157
1679336059,155
1679336060,156
1679336061,156
1679336062,155
1679336063,155
1679336064,157
1679336065,154
1679336066,153
1679336067,154
1679336068,154
1679336069,155
1679336070,156
1679336071,155
1679336072,157
1679336073,151
1679336074,152
1679336075,151
1679336076,229
1679336077,255
1679336078,255
1679336079,220
1679336080,131
1679336081,136
1679336082,137
1679336083,137
1679336084,134
1679336085,135
1679336086,136
1679336087,137
1679336088,137
1679336089,139
1679336090,143
1679336091,145
1679336092,152
1679336093,152
1679336094,156
1679336095,156
1679336096,158
1679336097,159
1679336098,159
1679336099,160
1679336100,160
1679336101,162
1679336102,162
1679336103,163
1679336104,182
1679336105,255
1679336106,256
1679336107,255
1679336108,254
1679336109,254
1679336110,255
1679336111,255
1679336112,124
1679336113,127
1679336114,130
1679336115,131
1679336116,130
1679336117,128
1679336118,128
1679336119,125
1679336120,125
1679336121,124
1679336122,125
1679336123,126
1679336124,125
1679336125,128
1679336126,126
1679336127,127
1679336128,127
1679336129,127
1679336130,128
1679336131,127
1679336132,127
1679336133,127
1679336134,129
1679336135,129
1679336136,129
1679336137,214
1679336138,255
1679336139,255
1679336140,255
1679336141,256
1679336142,255
1679336143,254
1679336144,256
1679336145,225
1679336146,137
1679336147,160
1679336148,161
1679336149,161
1679336150,156
1679336151,163
1679336152,160
1679336153,164
1679336154,161
1679336155,167
1679336156,163
1679336157,164
1679336158,162
1679336159,163
1679336160,160
1679336161,169
1679336162,172
1679336163,173
1679336164,174
1679336165,158
1679336166,155
1679336167,162
1679336168,152
1679336169,149
1679336170,146
1679336171,154
1679336172,156
1679336173,155
1679336174,146
1679336175,147
1679336176,146
1679336177,144
1679336178,148
1679336179,151
1679336180,150
1679336181,154
1679336182,158
1679336183,154
1679336184,151
1679336185,154
1679336186,153
1679336187,164
1679336188,166
1679336189,166
1679336190,166
1679336191,161
1679336192,157
1679336193,155
1679336194,149
1679336195,150
1679336196,154
1679336197,154
1679336198,153
1679336199,153
1679336200,157
1679336201,152
1679336202,157
1679336203,156
1679336204,157
1679336205,164
1679336206,161
1679336207,159
1679336208,151
1679336209,148
1679336210,150
1679336211,151
1679336212,156
1679336213,156
1679336214,155
1679336215,153
1679336216,155
1679336217,161
1679336218,156
1679336219,159
1679336220,159
1679336221,161
1679336222,159
1679336223,157
1679336224,162
1679336225,160
1679336226,158
1679336227,155
1679336228,156
1679336229,155
1679336230,149
1679336231,148
1679336232,148
1679336233,148
1679336234,148
1679336235,149
1679336236,153
1679336237,152
1679336238,148
1679336239,147
1679336240,150
1679336241,150
1679336242,149
1679336243,160
1679336244,168
1679336245,161
1679336246,157
1679336247,161
1679336248,158
1679336249,148
1679336250,158
1679336251,152
1679336252,151
1679336253,145
1679336254,143
1679336255,143
1679336256,149
1679336257,145
1679336258,145
1679336259,143
1679336260,142
1679336261,143
1679336262,137
1679336263,139
1679336264,140
1679336265,141
1679336266,146
1679336267,145
1679336268,142
1679336269,142
1679336270,139
1679336271,136
1679336272,135
1679336273,136
1679336274,133
1679336275,134
1679336276,134
1679336277,136
1679336278,135
1679336279,135
1679336280,136
1679336281,140
1679336282,51
