time,FPS
1680722014,17
1680722015,47
1680722016,21
1680722017,50
1680722018,51
1680722019,52
1680722020,50
1680722021,52
1680722022,51
1680722023,51
1680722024,54
1680722025,52
1680722026,52
1680722027,45
1680722028,44
1680722029,41
1680722030,45
1680722031,41
1680722032,40
1680722033,44
1680722034,44
1680722035,45
1680722036,46
1680722037,53
1680722038,54
1680722039,55
1680722040,53
1680722041,53
1680722042,54
1680722043,55
1680722044,53
1680722045,53
1680722046,51
1680722047,52
1680722048,52
1680722049,55
1680722050,52
1680722051,51
1680722052,54
1680722053,52
1680722054,54
1680722055,53
1680722056,52
1680722057,50
1680722058,57
1680722059,58
1680722060,59
1680722061,55
1680722062,58
1680722063,58
1680722064,57
1680722065,57
1680722066,57
1680722067,51
1680722068,45
1680722069,39
1680722070,42
1680722071,45
1680722072,43
1680722073,44
1680722074,44
1680722075,42
1680722076,41
1680722077,43
1680722078,42
1680722079,43
1680722080,45
1680722081,48
1680722082,46
1680722083,46
1680722084,51
1680722085,46
1680722086,50
1680722087,46
1680722088,49
1680722089,55
1680722090,49
1680722091,47
1680722092,50
1680722093,45
1680722094,48
1680722095,48
1680722096,47
1680722097,45
1680722098,46
1680722099,47
1680722100,46
1680722101,48
1680722102,46
1680722103,50
1680722104,46
1680722105,45
1680722106,55
1680722107,49
1680722108,47
1680722109,51
1680722110,45
1680722111,50
1680722112,50
1680722113,50
1680722114,47
1680722115,125
1680722116,255
1680722117,252
1680722118,254
1680722119,170
1680722120,124
1680722121,122
1680722122,122
1680722123,124
1680722124,123
1680722125,123
1680722126,124
1680722127,125
1680722128,125
1680722129,124
1680722130,123
1680722131,124
1680722132,122
1680722133,121
1680722134,127
1680722135,127
1680722136,128
1680722137,126
1680722138,127
1680722139,128
1680722140,127
1680722141,127
1680722142,129
1680722143,129
1680722144,183
1680722145,255
1680722146,255
1680722147,253
1680722148,141
1680722149,158
1680722150,159
1680722151,158
1680722152,158
1680722153,159
1680722154,155
1680722155,158
1680722156,157
1680722157,157
1680722158,155
1680722159,150
1680722160,154
1680722161,156
1680722162,152
1680722163,150
1680722164,151
1680722165,153
1680722166,153
1680722167,155
1680722168,153
1680722169,156
1680722170,154
1680722171,154
1680722172,155
1680722173,236
1680722174,255
1680722175,256
1680722176,211
1680722177,156
1680722178,144
1680722179,143
1680722180,145
1680722181,144
1680722182,145
1680722183,146
1680722184,147
1680722185,150
1680722186,152
1680722187,155
1680722188,156
1680722189,160
1680722190,164
1680722191,164
1680722192,165
1680722193,164
1680722194,166
1680722195,165
1680722196,167
1680722197,167
1680722198,168
1680722199,167
1680722200,168
1680722201,193
1680722202,254
1680722203,254
1680722204,255
1680722205,255
1680722206,255
1680722207,144
1680722208,134
1680722209,138
1680722210,137
1680722211,136
1680722212,135
1680722213,133
1680722214,129
1680722215,128
1680722216,128
1680722217,129
1680722218,131
1680722219,131
1680722220,132
1680722221,131
1680722222,132
1680722223,133
1680722224,132
1680722225,133
1680722226,130
1680722227,134
1680722228,135
1680722229,135
1680722230,137
1680722231,134
1680722232,222
1680722233,255
1680722234,253
1680722235,255
1680722236,255
1680722237,255
1680722238,201
1680722239,162
1680722240,164
1680722241,163
1680722242,162
1680722243,165
1680722244,167
1680722245,167
1680722246,165
1680722247,166
1680722248,165
1680722249,165
1680722250,166
1680722251,162
1680722252,164
1680722253,166
1680722254,172
1680722255,177
1680722256,177
1680722257,170
1680722258,154
1680722259,160
1680722260,155
1680722261,149
1680722262,149
1680722263,149
1680722264,157
1680722265,157
1680722266,149
1680722267,146
1680722268,148
1680722269,147
1680722270,152
1680722271,153
1680722272,155
1680722273,152
1680722274,160
1680722275,157
1680722276,157
1680722277,155
1680722278,156
1680722279,163
1680722280,159
1680722281,169
1680722282,168
1680722283,170
1680722284,166
1680722285,162
1680722286,156
1680722287,151
1680722288,154
1680722289,154
1680722290,156
1680722291,149
1680722292,149
1680722293,152
1680722294,151
1680722295,155
1680722296,153
1680722297,157
1680722298,158
1680722299,157
1680722300,153
1680722301,147
1680722302,149
1680722303,150
1680722304,152
1680722305,154
1680722306,156
1680722307,153
1680722308,152
1680722309,158
1680722310,155
1680722311,152
1680722312,154
1680722313,153
1680722314,153
1680722315,153
1680722316,157
1680722317,157
1680722318,162
1680722319,159
1680722320,154
1680722321,152
1680722322,147
1680722323,144
1680722324,146
1680722325,147
1680722326,148
1680722327,149
1680722328,150
1680722329,147
1680722330,143
1680722331,143
1680722332,147
1680722333,146
1680722334,149
1680722335,162
1680722336,157
1680722337,153
1680722338,151
1680722339,154
1680722340,153
1680722341,150
1680722342,143
1680722343,142
1680722344,144
1680722345,147
1680722346,144
1680722347,140
1680722348,142
1680722349,142
1680722350,140
1680722351,139
1680722352,137
1680722353,140
1680722354,143
1680722355,147
1680722356,142
1680722357,143
1680722358,140
1680722359,137
1680722360,138
1680722361,139
1680722362,134
1680722363,134
1680722364,135
1680722365,140
1680722366,146
1680722367,150
1680722368,151
1680722369,153
1680722370,136
1680722371,139
1680722372,138
1680722373,140
1680722374,140
1680722375,141
1680722376,140
1680722377,141
1680722378,141
1680722379,141
1680722380,21
