time,FPS
1680381612,24
1680381613,43
1680381614,23
1680381615,54
1680381616,53
1680381617,50
1680381618,51
1680381619,54
1680381620,52
1680381621,51
1680381622,52
1680381623,51
1680381624,52
1680381625,43
1680381626,42
1680381627,48
1680381628,45
1680381629,46
1680381630,49
1680381631,41
1680381632,45
1680381633,45
1680381634,52
1680381635,55
1680381636,43
1680381637,54
1680381638,53
1680381639,56
1680381640,54
1680381641,52
1680381642,54
1680381643,54
1680381644,51
1680381645,55
1680381646,52
1680381647,49
1680381648,55
1680381649,55
1680381650,55
1680381651,52
1680381652,52
1680381653,53
1680381654,55
1680381655,54
1680381656,53
1680381657,59
1680381658,59
1680381659,56
1680381660,58
1680381661,59
1680381662,58
1680381663,58
1680381664,57
1680381665,52
1680381666,43
1680381667,45
1680381668,42
1680381669,46
1680381670,42
1680381671,43
1680381672,45
1680381673,42
1680381674,44
1680381675,46
1680381676,43
1680381677,44
1680381678,50
1680381679,47
1680381680,45
1680381681,42
1680381682,48
1680381683,48
1680381684,51
1680381685,49
1680381686,44
1680381687,48
1680381688,45
1680381689,46
1680381690,49
1680381691,46
1680381692,45
1680381693,48
1680381694,49
1680381695,44
1680381696,47
1680381697,49
1680381698,47
1680381699,49
1680381700,48
1680381701,49
1680381702,48
1680381703,47
1680381704,45
1680381705,51
1680381706,50
1680381707,46
1680381708,46
1680381709,47
1680381710,45
1680381711,47
1680381712,45
1680381713,47
1680381714,234
1680381715,255
1680381716,250
1680381717,256
1680381718,93
1680381719,84
1680381720,84
1680381721,87
1680381722,87
1680381723,87
1680381724,88
1680381725,88
1680381726,86
1680381727,86
1680381728,84
1680381729,85
1680381730,86
1680381731,87
1680381732,87
1680381733,90
1680381734,91
1680381735,88
1680381736,90
1680381737,91
1680381738,92
1680381739,92
1680381740,91
1680381741,92
1680381742,91
1680381743,240
1680381744,255
1680381745,255
1680381746,252
1680381747,79
1680381748,113
1680381749,113
1680381750,111
1680381751,113
1680381752,112
1680381753,112
1680381754,112
1680381755,112
1680381756,112
1680381757,111
1680381758,108
1680381759,110
1680381760,111
1680381761,107
1680381762,107
1680381763,108
1680381764,108
1680381765,110
1680381766,110
1680381767,110
1680381768,108
1680381769,110
1680381770,111
1680381771,114
1680381772,255
1680381773,255
1680381774,255
1680381775,175
1680381776,106
1680381777,102
1680381778,102
1680381779,102
1680381780,100
1680381781,101
1680381782,100
1680381783,100
1680381784,102
1680381785,102
1680381786,103
1680381787,107
1680381788,110
1680381789,111
1680381790,112
1680381791,112
1680381792,112
1680381793,113
1680381794,113
1680381795,114
1680381796,114
1680381797,114
1680381798,115
1680381799,115
1680381800,176
1680381801,255
1680381802,256
1680381803,254
1680381804,252
1680381805,242
1680381806,70
1680381807,97
1680381808,98
1680381809,98
1680381810,98
1680381811,96
1680381812,93
1680381813,92
1680381814,92
1680381815,90
1680381816,93
1680381817,93
1680381818,94
1680381819,94
1680381820,95
1680381821,94
1680381822,93
1680381823,94
1680381824,95
1680381825,95
1680381826,96
1680381827,96
1680381828,96
1680381829,96
1680381830,110
1680381831,255
1680381832,255
1680381833,251
1680381834,254
1680381835,256
1680381836,253
1680381837,199
1680381838,113
1680381839,114
1680381840,114
1680381841,114
1680381842,114
1680381843,114
1680381844,114
1680381845,115
1680381846,114
1680381847,115
1680381848,115
1680381849,115
1680381850,113
1680381851,114
1680381852,113
1680381853,118
1680381854,122
1680381855,125
1680381856,125
1680381857,110
1680381858,110
1680381859,116
1680381860,103
1680381861,105
1680381862,102
1680381863,109
1680381864,110
1680381865,105
1680381866,102
1680381867,101
1680381868,102
1680381869,103
1680381870,104
1680381871,107
1680381872,104
1680381873,104
1680381874,108
1680381875,109
1680381876,106
1680381877,105
1680381878,107
1680381879,111
1680381880,113
1680381881,112
1680381882,114
1680381883,115
1680381884,109
1680381885,109
1680381886,104
1680381887,103
1680381888,106
1680381889,105
1680381890,106
1680381891,105
1680381892,106
1680381893,103
1680381894,105
1680381895,106
1680381896,107
1680381897,110
1680381898,108
1680381899,106
1680381900,102
1680381901,100
1680381902,100
1680381903,100
1680381904,104
1680381905,104
1680381906,105
1680381907,104
1680381908,105
1680381909,109
1680381910,106
1680381911,106
1680381912,105
1680381913,106
1680381914,106
1680381915,104
1680381916,105
1680381917,104
1680381918,106
1680381919,108
1680381920,108
1680381921,101
1680381922,97
1680381923,97
1680381924,97
1680381925,96
1680381926,98
1680381927,99
1680381928,100
1680381929,102
1680381930,102
1680381931,99
1680381932,98
1680381933,98
1680381934,99
1680381935,99
1680381936,106
1680381937,115
1680381938,109
1680381939,109
1680381940,109
1680381941,107
1680381942,107
1680381943,104
1680381944,101
1680381945,99
1680381946,97
1680381947,100
1680381948,100
1680381949,99
1680381950,95
1680381951,96
1680381952,96
1680381953,95
1680381954,94
1680381955,95
1680381956,94
1680381957,95
1680381958,97
1680381959,101
1680381960,101
1680381961,99
1680381962,99
1680381963,95
1680381964,93
1680381965,94
1680381966,93
1680381967,94
1680381968,94
1680381969,95
1680381970,98
1680381971,102
1680381972,104
1680381973,103
1680381974,104
1680381975,98
1680381976,100
1680381977,98
