time,FPS
1675797544,36
1675797545,36
1675797546,33
1675797547,47
1675797548,42
1675797549,44
1675797550,46
1675797551,45
1675797552,42
1675797553,42
1675797554,43
1675797555,40
1675797556,43
1675797557,41
1675797558,46
1675797559,48
1675797560,46
1675797561,41
1675797562,42
1675797563,43
1675797564,41
1675797565,46
1675797566,45
1675797567,48
1675797568,49
1675797569,45
1675797570,42
1675797571,40
1675797572,47
1675797573,49
1675797574,42
1675797575,45
1675797576,45
1675797577,44
1675797578,42
1675797579,40
1675797580,43
1675797581,40
1675797582,45
1675797583,46
1675797584,40
1675797585,44
1675797586,44
1675797587,45
1675797588,42
1675797589,50
1675797590,54
1675797591,57
1675797592,51
1675797593,53
1675797594,54
1675797595,53
1675797596,53
1675797597,53
1675797598,47
1675797599,41
1675797600,42
1675797601,41
1675797602,38
1675797603,40
1675797604,45
1675797605,44
1675797606,44
1675797607,43
1675797608,45
1675797609,43
1675797610,45
1675797611,45
1675797612,44
1675797613,45
1675797614,45
1675797615,45
1675797616,48
1675797617,45
1675797618,48
1675797619,48
1675797620,44
1675797621,43
1675797622,41
1675797623,45
1675797624,43
1675797625,45
1675797626,42
1675797627,43
1675797628,40
1675797629,45
1675797630,43
1675797631,45
1675797632,44
1675797633,45
1675797634,43
1675797635,42
1675797636,42
1675797637,45
1675797638,45
1675797639,39
1675797640,43
1675797641,45
1675797642,39
1675797643,42
1675797644,44
1675797645,46
1675797646,61
1675797647,254
1675797648,255
1675797649,250
1675797650,255
1675797651,88
1675797652,110
1675797653,116
1675797654,117
1675797655,117
1675797656,118
1675797657,115
1675797658,116
1675797659,119
1675797660,116
1675797661,116
1675797662,115
1675797663,116
1675797664,116
1675797665,118
1675797666,117
1675797667,120
1675797668,118
1675797669,118
1675797670,121
1675797671,122
1675797672,122
1675797673,121
1675797674,122
1675797675,124
1675797676,255
1675797677,256
1675797678,256
1675797679,204
1675797680,135
1675797681,156
1675797682,153
1675797683,153
1675797684,154
1675797685,154
1675797686,154
1675797687,154
1675797688,154
1675797689,154
1675797690,153
1675797691,152
1675797692,155
1675797693,153
1675797694,152
1675797695,151
1675797696,153
1675797697,154
1675797698,155
1675797699,155
1675797700,156
1675797701,154
1675797702,151
1675797703,156
1675797704,182
1675797705,255
1675797706,256
1675797707,256
1675797708,132
1675797709,137
1675797710,137
1675797711,136
1675797712,133
1675797713,134
1675797714,134
1675797715,133
1675797716,133
1675797717,136
1675797718,137
1675797719,140
1675797720,144
1675797721,148
1675797722,150
1675797723,150
1675797724,150
1675797725,152
1675797726,152
1675797727,153
1675797728,154
1675797729,154
1675797730,155
1675797731,155
1675797732,154
1675797733,241
1675797734,256
1675797735,256
1675797736,255
1675797737,255
1675797738,203
1675797739,110
1675797740,130
1675797741,131
1675797742,131
1675797743,129
1675797744,128
1675797745,125
1675797746,123
1675797747,122
1675797748,123
1675797749,125
1675797750,123
1675797751,122
1675797752,127
1675797753,125
1675797754,126
1675797755,126
1675797756,126
1675797757,126
1675797758,126
1675797759,125
1675797760,128
1675797761,129
1675797762,126
1675797763,158
1675797764,256
1675797765,250
1675797766,256
1675797767,255
1675797768,254
1675797769,253
1675797770,256
1675797771,145
1675797772,160
1675797773,159
1675797774,159
1675797775,158
1675797776,156
1675797777,161
1675797778,162
1675797779,158
1675797780,161
1675797781,162
1675797782,160
1675797783,159
1675797784,159
1675797785,161
1675797786,166
1675797787,169
1675797788,169
1675797789,175
1675797790,156
1675797791,153
1675797792,161
1675797793,154
1675797794,147
1675797795,145
1675797796,151
1675797797,153
1675797798,154
1675797799,145
1675797800,145
1675797801,147
1675797802,145
1675797803,149
1675797804,150
1675797805,151
1675797806,152
1675797807,160
1675797808,158
1675797809,153
1675797810,153
1675797811,153
1675797812,159
1675797813,161
1675797814,158
1675797815,164
1675797816,162
1675797817,158
1675797818,154
1675797819,148
1675797820,148
1675797821,153
1675797822,151
1675797823,154
1675797824,152
1675797825,153
1675797826,154
1675797827,155
1675797828,155
1675797829,153
1675797830,160
1675797831,158
1675797832,156
1675797833,152
1675797834,151
1675797835,150
1675797836,150
1675797837,152
1675797838,156
1675797839,156
1675797840,153
1675797841,152
1675797842,163
1675797843,160
1675797844,159
1675797845,159
1675797846,158
1675797847,158
1675797848,156
1675797849,158
1675797850,163
1675797851,167
1675797852,159
1675797853,156
1675797854,149
1675797855,145
1675797856,145
1675797857,146
1675797858,148
1675797859,147
1675797860,150
1675797861,150
1675797862,145
1675797863,146
1675797864,147
1675797865,147
1675797866,147
1675797867,147
1675797868,158
1675797869,166
1675797870,165
1675797871,161
1675797872,161
1675797873,162
1675797874,147
1675797875,143
1675797876,143
1675797877,145
1675797878,148
1675797879,146
1675797880,143
1675797881,143
1675797882,142
1675797883,141
1675797884,138
1675797885,138
1675797886,140
1675797887,143
1675797888,145
1675797889,139
1675797890,142
1675797891,137
1675797892,132
1675797893,133
1675797894,133
1675797895,128
1675797896,129
1675797897,130
1675797898,135
1675797899,135
1675797900,141
1675797901,142
1675797902,144
1675797903,138
1675797904,143
1675797905,138
1675797906,143
1675797907,144
1675797908,143
1675797909,144
1675797910,131
