time,FPS
1678917734,18
1678917735,49
1678917736,36
1678917737,36
1678917738,47
1678917739,49
1678917740,46
1678917741,44
1678917742,46
1678917743,49
1678917744,45
1678917745,51
1678917746,46
1678917747,50
1678917748,46
1678917749,42
1678917750,47
1678917751,47
1678917752,42
1678917753,43
1678917754,41
1678917755,47
1678917756,47
1678917757,48
1678917758,53
1678917759,54
1678917760,51
1678917761,55
1678917762,51
1678917763,52
1678917764,49
1678917765,54
1678917766,54
1678917767,52
1678917768,53
1678917769,51
1678917770,54
1678917771,52
1678917772,53
1678917773,51
1678917774,55
1678917775,56
1678917776,53
1678917777,53
1678917778,50
1678917779,58
1678917780,58
1678917781,59
1678917782,55
1678917783,58
1678917784,58
1678917785,57
1678917786,56
1678917787,58
1678917788,44
1678917789,40
1678917790,41
1678917791,40
1678917792,42
1678917793,44
1678917794,45
1678917795,43
1678917796,41
1678917797,45
1678917798,45
1678917799,46
1678917800,47
1678917801,53
1678917802,51
1678917803,50
1678917804,49
1678917805,51
1678917806,47
1678917807,51
1678917808,53
1678917809,49
1678917810,49
1678917811,48
1678917812,45
1678917813,45
1678917814,48
1678917815,47
1678917816,49
1678917817,49
1678917818,48
1678917819,47
1678917820,47
1678917821,49
1678917822,48
1678917823,49
1678917824,49
1678917825,49
1678917826,50
1678917827,48
1678917828,43
1678917829,50
1678917830,49
1678917831,50
1678917832,48
1678917833,46
1678917834,48
1678917835,48
1678917836,110
1678917837,252
1678917838,253
1678917839,252
1678917840,202
1678917841,116
1678917842,123
1678917843,130
1678917844,130
1678917845,131
1678917846,127
1678917847,127
1678917848,127
1678917849,127
1678917850,124
1678917851,129
1678917852,128
1678917853,128
1678917854,127
1678917855,128
1678917856,129
1678917857,129
1678917858,129
1678917859,130
1678917860,129
1678917861,132
1678917862,129
1678917863,128
1678917864,130
1678917865,161
1678917866,256
1678917867,252
1678917868,255
1678917869,153
1678917870,148
1678917871,151
1678917872,152
1678917873,152
1678917874,153
1678917875,151
1678917876,152
1678917877,151
1678917878,153
1678917879,149
1678917880,151
1678917881,148
1678917882,154
1678917883,150
1678917884,149
1678917885,150
1678917886,151
1678917887,151
1678917888,149
1678917889,152
1678917890,151
1678917891,149
1678917892,155
1678917893,155
1678917894,220
1678917895,255
1678917896,255
1678917897,217
1678917898,140
1678917899,136
1678917900,137
1678917901,136
1678917902,135
1678917903,135
1678917904,135
1678917905,136
1678917906,137
1678917907,140
1678917908,143
1678917909,147
1678917910,151
1678917911,154
1678917912,155
1678917913,156
1678917914,156
1678917915,158
1678917916,158
1678917917,160
1678917918,159
1678917919,161
1678917920,161
1678917921,160
1678917922,184
1678917923,256
1678917924,250
1678917925,255
1678917926,253
1678917927,254
1678917928,256
1678917929,255
1678917930,118
1678917931,126
1678917932,131
1678917933,131
1678917934,129
1678917935,126
1678917936,126
1678917937,122
1678917938,119
1678917939,120
1678917940,120
1678917941,122
1678917942,121
1678917943,123
1678917944,123
1678917945,123
1678917946,124
1678917947,124
1678917948,123
1678917949,123
1678917950,124
1678917951,125
1678917952,126
1678917953,126
1678917954,126
1678917955,208
1678917956,256
1678917957,255
1678917958,255
1678917959,255
1678917960,255
1678917961,255
1678917962,254
1678917963,231
1678917964,124
1678917965,160
1678917966,160
1678917967,159
1678917968,160
1678917969,162
1678917970,164
1678917971,163
1678917972,162
1678917973,163
1678917974,164
1678917975,163
1678917976,162
1678917977,162
1678917978,163
1678917979,165
1678917980,168
1678917981,173
1678917982,169
1678917983,156
1678917984,155
1678917985,160
1678917986,151
1678917987,146
1678917988,148
1678917989,154
1678917990,157
1678917991,152
1678917992,147
1678917993,146
1678917994,144
1678917995,147
1678917996,149
1678917997,152
1678917998,151
1678917999,154
1678918000,159
1678918001,157
1678918002,151
1678918003,152
1678918004,157
1678918005,160
1678918006,161
1678918007,160
1678918008,162
1678918009,160
1678918010,152
1678918011,151
1678918012,148
1678918013,150
1678918014,154
1678918015,153
1678918016,152
1678918017,154
1678918018,156
1678918019,153
1678918020,158
1678918021,155
1678918022,157
1678918023,162
1678918024,156
1678918025,155
1678918026,149
1678918027,151
1678918028,150
1678918029,150
1678918030,156
1678918031,155
1678918032,156
1678918033,152
1678918034,161
1678918035,161
1678918036,159
1678918037,158
1678918038,158
1678918039,159
1678918040,156
1678918041,158
1678918042,157
1678918043,165
1678918044,166
1678918045,164
1678918046,163
1678918047,159
1678918048,155
1678918049,151
1678918050,149
1678918051,149
1678918052,151
1678918053,151
1678918054,151
1678918055,144
1678918056,147
1678918057,148
1678918058,148
1678918059,149
1678918060,164
1678918061,161
1678918062,162
1678918063,154
1678918064,159
1678918065,156
1678918066,156
1678918067,144
1678918068,143
1678918069,143
1678918070,148
1678918071,148
1678918072,143
1678918073,141
1678918074,143
1678918075,143
1678918076,141
1678918077,139
1678918078,141
1678918079,140
1678918080,145
1678918081,146
1678918082,140
1678918083,142
1678918084,137
1678918085,134
1678918086,134
1678918087,132
1678918088,131
1678918089,131
1678918090,130
1678918091,134
1678918092,138
1678918093,141
1678918094,140
1678918095,141
1678918096,135
1678918097,141
1678918098,137
1678918099,139
1678918100,86
