time,FPS
1680031516,28
1680031517,46
1680031518,33
1680031519,38
1680031520,49
1680031521,43
1680031522,43
1680031523,47
1680031524,46
1680031525,47
1680031526,48
1680031527,50
1680031528,47
1680031529,45
1680031530,42
1680031531,43
1680031532,44
1680031533,45
1680031534,49
1680031535,49
1680031536,45
1680031537,46
1680031538,44
1680031539,56
1680031540,54
1680031541,51
1680031542,53
1680031543,53
1680031544,52
1680031545,52
1680031546,52
1680031547,53
1680031548,52
1680031549,55
1680031550,51
1680031551,50
1680031552,52
1680031553,56
1680031554,52
1680031555,57
1680031556,52
1680031557,52
1680031558,53
1680031559,55
1680031560,59
1680031561,58
1680031562,55
1680031563,56
1680031564,57
1680031565,57
1680031566,57
1680031567,57
1680031568,46
1680031569,42
1680031570,41
1680031571,45
1680031572,44
1680031573,47
1680031574,47
1680031575,42
1680031576,44
1680031577,43
1680031578,46
1680031579,46
1680031580,41
1680031581,49
1680031582,45
1680031583,45
1680031584,50
1680031585,45
1680031586,45
1680031587,45
1680031588,45
1680031589,47
1680031590,48
1680031591,50
1680031592,45
1680031593,48
1680031594,50
1680031595,48
1680031596,41
1680031597,42
1680031598,44
1680031599,44
1680031600,49
1680031601,48
1680031602,46
1680031603,45
1680031604,40
1680031605,42
1680031606,44
1680031607,47
1680031608,48
1680031609,43
1680031610,41
1680031611,46
1680031612,46
1680031613,43
1680031614,50
1680031615,48
1680031616,107
1680031617,251
1680031618,252
1680031619,253
1680031620,212
1680031621,114
1680031622,124
1680031623,128
1680031624,129
1680031625,129
1680031626,130
1680031627,128
1680031628,128
1680031629,121
1680031630,127
1680031631,128
1680031632,128
1680031633,125
1680031634,124
1680031635,125
1680031636,126
1680031637,128
1680031638,125
1680031639,127
1680031640,129
1680031641,128
1680031642,128
1680031643,127
1680031644,132
1680031645,152
1680031646,256
1680031647,255
1680031648,255
1680031649,167
1680031650,140
1680031651,151
1680031652,153
1680031653,155
1680031654,156
1680031655,155
1680031656,156
1680031657,156
1680031658,150
1680031659,150
1680031660,153
1680031661,149
1680031662,151
1680031663,151
1680031664,150
1680031665,151
1680031666,151
1680031667,151
1680031668,149
1680031669,152
1680031670,150
1680031671,157
1680031672,156
1680031673,158
1680031674,207
1680031675,255
1680031676,256
1680031677,255
1680031678,129
1680031679,134
1680031680,134
1680031681,135
1680031682,133
1680031683,133
1680031684,132
1680031685,133
1680031686,135
1680031687,137
1680031688,137
1680031689,142
1680031690,147
1680031691,150
1680031692,151
1680031693,152
1680031694,152
1680031695,153
1680031696,154
1680031697,154
1680031698,156
1680031699,155
1680031700,156
1680031701,156
1680031702,156
1680031703,248
1680031704,254
1680031705,256
1680031706,252
1680031707,256
1680031708,256
1680031709,255
1680031710,163
1680031711,122
1680031712,131
1680031713,132
1680031714,131
1680031715,130
1680031716,127
1680031717,125
1680031718,122
1680031719,122
1680031720,123
1680031721,124
1680031722,123
1680031723,126
1680031724,126
1680031725,125
1680031726,126
1680031727,125
1680031728,125
1680031729,125
1680031730,125
1680031731,127
1680031732,128
1680031733,129
1680031734,127
1680031735,179
1680031736,255
1680031737,254
1680031738,254
1680031739,255
1680031740,255
1680031741,256
1680031742,255
1680031743,254
1680031744,125
1680031745,160
1680031746,161
1680031747,161
1680031748,158
1680031749,161
1680031750,163
1680031751,164
1680031752,160
1680031753,162
1680031754,163
1680031755,162
1680031756,162
1680031757,162
1680031758,164
1680031759,168
1680031760,172
1680031761,173
1680031762,171
1680031763,156
1680031764,155
1680031765,160
1680031766,151
1680031767,146
1680031768,146
1680031769,153
1680031770,157
1680031771,153
1680031772,146
1680031773,148
1680031774,145
1680031775,145
1680031776,148
1680031777,150
1680031778,149
1680031779,155
1680031780,160
1680031781,159
1680031782,149
1680031783,154
1680031784,154
1680031785,164
1680031786,165
1680031787,165
1680031788,166
1680031789,165
1680031790,157
1680031791,155
1680031792,148
1680031793,151
1680031794,154
1680031795,152
1680031796,152
1680031797,155
1680031798,159
1680031799,152
1680031800,158
1680031801,157
1680031802,158
1680031803,163
1680031804,160
1680031805,158
1680031806,153
1680031807,151
1680031808,148
1680031809,150
1680031810,155
1680031811,156
1680031812,157
1680031813,153
1680031814,160
1680031815,163
1680031816,159
1680031817,159
1680031818,160
1680031819,161
1680031820,158
1680031821,159
1680031822,160
1680031823,166
1680031824,163
1680031825,157
1680031826,154
1680031827,149
1680031828,149
1680031829,150
1680031830,150
1680031831,151
1680031832,152
1680031833,154
1680031834,153
1680031835,147
1680031836,147
1680031837,148
1680031838,150
1680031839,149
1680031840,167
1680031841,162
1680031842,161
1680031843,156
1680031844,157
1680031845,156
1680031846,150
1680031847,139
1680031848,142
1680031849,144
1680031850,146
1680031851,144
1680031852,141
1680031853,140
1680031854,140
1680031855,139
1680031856,140
1680031857,138
1680031858,141
1680031859,143
1680031860,144
1680031861,140
1680031862,141
1680031863,137
1680031864,134
1680031865,133
1680031866,135
1680031867,130
1680031868,132
1680031869,133
1680031870,134
1680031871,134
1680031872,137
1680031873,141
1680031874,143
1680031875,134
1680031876,138
1680031877,139
1680031878,140
1680031879,140
1680031880,82
