time,FPS
1677703347,10
1677703348,54
1677703349,49
1677703350,26
1677703351,51
1677703352,49
1677703353,52
1677703354,56
1677703355,50
1677703356,50
1677703357,50
1677703358,52
1677703359,53
1677703360,48
1677703361,46
1677703362,43
1677703363,44
1677703364,41
1677703365,42
1677703366,42
1677703367,44
1677703368,40
1677703369,43
1677703370,49
1677703371,50
1677703372,50
1677703373,49
1677703374,52
1677703375,50
1677703376,50
1677703377,49
1677703378,49
1677703379,52
1677703380,49
1677703381,49
1677703382,48
1677703383,51
1677703384,49
1677703385,46
1677703386,51
1677703387,50
1677703388,51
1677703389,49
1677703390,47
1677703391,49
1677703392,48
1677703393,57
1677703394,57
1677703395,54
1677703396,57
1677703397,56
1677703398,56
1677703399,55
1677703400,54
1677703401,53
1677703402,39
1677703403,40
1677703404,42
1677703405,41
1677703406,43
1677703407,43
1677703408,41
1677703409,43
1677703410,42
1677703411,41
1677703412,45
1677703413,42
1677703414,41
1677703415,40
1677703416,47
1677703417,43
1677703418,45
1677703419,41
1677703420,40
1677703421,44
1677703422,44
1677703423,45
1677703424,43
1677703425,42
1677703426,49
1677703427,44
1677703428,46
1677703429,39
1677703430,42
1677703431,44
1677703432,45
1677703433,46
1677703434,45
1677703435,43
1677703436,43
1677703437,40
1677703438,45
1677703439,40
1677703440,44
1677703441,40
1677703442,41
1677703443,41
1677703444,44
1677703445,42
1677703446,45
1677703447,42
1677703448,47
1677703449,46
1677703450,202
1677703451,256
1677703452,254
1677703453,254
1677703454,132
1677703455,113
1677703456,117
1677703457,119
1677703458,120
1677703459,120
1677703460,122
1677703461,122
1677703462,124
1677703463,119
1677703464,119
1677703465,121
1677703466,122
1677703467,124
1677703468,125
1677703469,128
1677703470,127
1677703471,127
1677703472,124
1677703473,123
1677703474,125
1677703475,128
1677703476,127
1677703477,127
1677703478,127
1677703479,220
1677703480,252
1677703481,253
1677703482,253
1677703483,114
1677703484,145
1677703485,143
1677703486,146
1677703487,144
1677703488,144
1677703489,144
1677703490,145
1677703491,145
1677703492,145
1677703493,143
1677703494,134
1677703495,140
1677703496,138
1677703497,136
1677703498,133
1677703499,135
1677703500,139
1677703501,140
1677703502,141
1677703503,141
1677703504,141
1677703505,140
1677703506,140
1677703507,141
1677703508,255
1677703509,255
1677703510,256
1677703511,173
1677703512,140
1677703513,135
1677703514,134
1677703515,135
1677703516,135
1677703517,136
1677703518,136
1677703519,140
1677703520,142
1677703521,145
1677703522,145
1677703523,148
1677703524,150
1677703525,151
1677703526,152
1677703527,153
1677703528,152
1677703529,153
1677703530,154
1677703531,153
1677703532,154
1677703533,155
1677703534,154
1677703535,154
1677703536,213
1677703537,256
1677703538,254
1677703539,255
1677703540,254
1677703541,256
1677703542,148
1677703543,121
1677703544,127
1677703545,125
1677703546,123
1677703547,124
1677703548,124
1677703549,121
1677703550,118
1677703551,119
1677703552,118
1677703553,121
1677703554,120
1677703555,122
1677703556,124
1677703557,123
1677703558,125
1677703559,123
1677703560,126
1677703561,123
1677703562,125
1677703563,126
1677703564,126
1677703565,127
1677703566,126
1677703567,211
1677703568,255
1677703569,247
1677703570,255
1677703571,255
1677703572,255
1677703573,255
1677703574,252
1677703575,228
1677703576,127
1677703577,145
1677703578,145
1677703579,145
1677703580,144
1677703581,146
1677703582,147
1677703583,147
1677703584,146
1677703585,145
1677703586,144
1677703587,146
1677703588,146
1677703589,147
1677703590,145
1677703591,149
1677703592,154
1677703593,156
1677703594,148
1677703595,135
1677703596,140
1677703597,138
1677703598,135
1677703599,134
1677703600,131
1677703601,136
1677703602,133
1677703603,133
1677703604,127
1677703605,128
1677703606,128
1677703607,127
1677703608,132
1677703609,136
1677703610,132
1677703611,136
1677703612,137
1677703613,130
1677703614,135
1677703615,135
1677703616,143
1677703617,145
1677703618,147
1677703619,149
1677703620,149
1677703621,149
1677703622,142
1677703623,140
1677703624,130
1677703625,125
1677703626,132
1677703627,138
1677703628,126
1677703629,133
1677703630,132
1677703631,134
1677703632,133
1677703633,133
1677703634,132
1677703635,139
1677703636,139
1677703637,135
1677703638,129
1677703639,131
1677703640,132
1677703641,130
1677703642,128
1677703643,134
1677703644,136
1677703645,134
1677703646,135
1677703647,135
1677703648,135
1677703649,133
1677703650,136
1677703651,136
1677703652,137
1677703653,134
1677703654,134
1677703655,138
1677703656,139
1677703657,134
1677703658,135
1677703659,133
1677703660,132
1677703661,130
1677703662,129
1677703663,127
1677703664,129
1677703665,131
1677703666,132
1677703667,134
1677703668,133
1677703669,128
1677703670,126
1677703671,127
1677703672,129
1677703673,130
1677703674,136
1677703675,141
1677703676,142
1677703677,130
1677703678,135
1677703679,132
1677703680,132
1677703681,129
1677703682,127
1677703683,125
1677703684,126
1677703685,126
1677703686,123
1677703687,121
1677703688,120
1677703689,122
1677703690,121
1677703691,119
1677703692,118
1677703693,120
1677703694,124
1677703695,127
1677703696,124
1677703697,125
1677703698,123
1677703699,121
1677703700,121
1677703701,120
1677703702,116
1677703703,119
1677703704,120
1677703705,130
1677703706,133
1677703707,141
1677703708,140
1677703709,140
1677703710,121
1677703711,127
1677703712,122
1677703713,126
1677703714,32
