time,FPS
1675881987,37
1675881988,48
1675881989,25
1675881990,49
1675881991,46
1675881992,41
1675881993,40
1675881994,46
1675881995,47
1675881996,44
1675881997,45
1675881998,42
1675881999,42
1675882000,42
1675882001,43
1675882002,42
1675882003,43
1675882004,45
1675882005,43
1675882006,45
1675882007,44
1675882008,47
1675882009,46
1675882010,49
1675882011,44
1675882012,46
1675882013,44
1675882014,46
1675882015,43
1675882016,45
1675882017,46
1675882018,46
1675882019,47
1675882020,47
1675882021,45
1675882022,44
1675882023,44
1675882024,44
1675882025,44
1675882026,44
1675882027,41
1675882028,45
1675882029,42
1675882030,49
1675882031,45
1675882032,45
1675882033,55
1675882034,56
1675882035,52
1675882036,55
1675882037,53
1675882038,54
1675882039,51
1675882040,53
1675882041,53
1675882042,44
1675882043,41
1675882044,46
1675882045,44
1675882046,43
1675882047,42
1675882048,46
1675882049,41
1675882050,46
1675882051,46
1675882052,47
1675882053,46
1675882054,53
1675882055,42
1675882056,46
1675882057,48
1675882058,48
1675882059,47
1675882060,47
1675882061,47
1675882062,45
1675882063,51
1675882064,47
1675882065,47
1675882066,48
1675882067,48
1675882068,47
1675882069,45
1675882070,46
1675882071,47
1675882072,47
1675882073,47
1675882074,43
1675882075,43
1675882076,46
1675882077,44
1675882078,43
1675882079,43
1675882080,42
1675882081,44
1675882082,47
1675882083,41
1675882084,49
1675882085,43
1675882086,48
1675882087,47
1675882088,48
1675882089,51
1675882090,191
1675882091,256
1675882092,253
1675882093,256
1675882094,152
1675882095,126
1675882096,123
1675882097,130
1675882098,130
1675882099,130
1675882100,129
1675882101,124
1675882102,127
1675882103,127
1675882104,126
1675882105,128
1675882106,128
1675882107,128
1675882108,127
1675882109,128
1675882110,125
1675882111,126
1675882112,129
1675882113,130
1675882114,131
1675882115,132
1675882116,131
1675882117,132
1675882118,132
1675882119,206
1675882120,255
1675882121,256
1675882122,255
1675882123,109
1675882124,158
1675882125,153
1675882126,155
1675882127,156
1675882128,152
1675882129,155
1675882130,156
1675882131,156
1675882132,154
1675882133,153
1675882134,150
1675882135,152
1675882136,155
1675882137,152
1675882138,147
1675882139,153
1675882140,154
1675882141,155
1675882142,154
1675882143,153
1675882144,153
1675882145,157
1675882146,157
1675882147,158
1675882148,253
1675882149,250
1675882150,256
1675882151,186
1675882152,142
1675882153,137
1675882154,138
1675882155,136
1675882156,135
1675882157,134
1675882158,135
1675882159,134
1675882160,136
1675882161,137
1675882162,140
1675882163,144
1675882164,148
1675882165,150
1675882166,151
1675882167,152
1675882168,153
1675882169,153
1675882170,154
1675882171,155
1675882172,156
1675882173,156
1675882174,156
1675882175,156
1675882176,194
1675882177,256
1675882178,255
1675882179,254
1675882180,255
1675882181,255
1675882182,124
1675882183,130
1675882184,133
1675882185,129
1675882186,132
1675882187,130
1675882188,128
1675882189,125
1675882190,123
1675882191,123
1675882192,124
1675882193,125
1675882194,125
1675882195,126
1675882196,125
1675882197,125
1675882198,127
1675882199,128
1675882200,127
1675882201,124
1675882202,127
1675882203,129
1675882204,127
1675882205,128
1675882206,128
1675882207,235
1675882208,255
1675882209,256
1675882210,255
1675882211,254
1675882212,255
1675882213,255
1675882214,180
1675882215,159
1675882216,159
1675882217,160
1675882218,160
1675882219,160
1675882220,161
1675882221,163
1675882222,159
1675882223,162
1675882224,161
1675882225,161
1675882226,162
1675882227,159
1675882228,158
1675882229,164
1675882230,168
1675882231,170
1675882232,173
1675882233,173
1675882234,152
1675882235,153
1675882236,160
1675882237,150
1675882238,145
1675882239,143
1675882240,155
1675882241,155
1675882242,152
1675882243,146
1675882244,143
1675882245,145
1675882246,147
1675882247,147
1675882248,149
1675882249,147
1675882250,154
1675882251,159
1675882252,155
1675882253,153
1675882254,153
1675882255,156
1675882256,161
1675882257,163
1675882258,160
1675882259,165
1675882260,162
1675882261,154
1675882262,154
1675882263,146
1675882264,148
1675882265,151
1675882266,152
1675882267,152
1675882268,153
1675882269,155
1675882270,152
1675882271,155
1675882272,152
1675882273,154
1675882274,158
1675882275,158
1675882276,156
1675882277,150
1675882278,149
1675882279,148
1675882280,148
1675882281,153
1675882282,154
1675882283,155
1675882284,152
1675882285,158
1675882286,160
1675882287,156
1675882288,156
1675882289,158
1675882290,157
1675882291,156
1675882292,155
1675882293,158
1675882294,161
1675882295,158
1675882296,154
1675882297,154
1675882298,153
1675882299,149
1675882300,146
1675882301,146
1675882302,147
1675882303,148
1675882304,148
1675882305,150
1675882306,149
1675882307,145
1675882308,144
1675882309,145
1675882310,146
1675882311,146
1675882312,160
1675882313,163
1675882314,158
1675882315,159
1675882316,157
1675882317,156
1675882318,155
1675882319,147
1675882320,141
1675882321,141
1675882322,144
1675882323,147
1675882324,145
1675882325,141
1675882326,141
1675882327,142
1675882328,140
1675882329,138
1675882330,138
1675882331,139
1675882332,143
1675882333,144
1675882334,140
1675882335,141
1675882336,136
1675882337,133
1675882338,133
1675882339,132
1675882340,128
1675882341,129
1675882342,131
1675882343,134
1675882344,135
1675882345,141
1675882346,145
1675882347,145
1675882348,138
1675882349,140
1675882350,143
1675882351,143
1675882352,140
1675882353,139
1675882354,55
