time,FPS
1679962486,22
1679962487,41
1679962488,22
1679962489,50
1679962490,47
1679962491,48
1679962492,49
1679962493,50
1679962494,46
1679962495,51
1679962496,44
1679962497,47
1679962498,50
1679962499,48
1679962500,44
1679962501,43
1679962502,50
1679962503,43
1679962504,43
1679962505,43
1679962506,49
1679962507,44
1679962508,48
1679962509,55
1679962510,52
1679962511,49
1679962512,54
1679962513,53
1679962514,52
1679962515,56
1679962516,54
1679962517,50
1679962518,53
1679962519,53
1679962520,52
1679962521,50
1679962522,54
1679962523,53
1679962524,54
1679962525,52
1679962526,55
1679962527,53
1679962528,49
1679962529,58
1679962530,59
1679962531,57
1679962532,55
1679962533,58
1679962534,58
1679962535,57
1679962536,57
1679962537,55
1679962538,38
1679962539,47
1679962540,50
1679962541,42
1679962542,49
1679962543,44
1679962544,48
1679962545,46
1679962546,42
1679962547,43
1679962548,41
1679962549,46
1679962550,44
1679962551,46
1679962552,49
1679962553,51
1679962554,48
1679962555,52
1679962556,48
1679962557,45
1679962558,47
1679962559,46
1679962560,51
1679962561,46
1679962562,46
1679962563,46
1679962564,46
1679962565,47
1679962566,42
1679962567,47
1679962568,53
1679962569,46
1679962570,49
1679962571,51
1679962572,46
1679962573,47
1679962574,46
1679962575,43
1679962576,51
1679962577,49
1679962578,49
1679962579,44
1679962580,50
1679962581,44
1679962582,51
1679962583,49
1679962584,50
1679962585,45
1679962586,173
1679962587,252
1679962588,249
1679962589,251
1679962590,176
1679962591,112
1679962592,112
1679962593,115
1679962594,117
1679962595,117
1679962596,116
1679962597,115
1679962598,118
1679962599,118
1679962600,116
1679962601,116
1679962602,114
1679962603,116
1679962604,117
1679962605,117
1679962606,119
1679962607,116
1679962608,121
1679962609,121
1679962610,123
1679962611,123
1679962612,123
1679962613,124
1679962614,123
1679962615,171
1679962616,255
1679962617,255
1679962618,255
1679962619,157
1679962620,148
1679962621,152
1679962622,154
1679962623,154
1679962624,153
1679962625,150
1679962626,151
1679962627,151
1679962628,154
1679962629,154
1679962630,152
1679962631,153
1679962632,156
1679962633,152
1679962634,149
1679962635,147
1679962636,150
1679962637,150
1679962638,153
1679962639,156
1679962640,152
1679962641,153
1679962642,152
1679962643,157
1679962644,224
1679962645,255
1679962646,255
1679962647,256
1679962648,116
1679962649,133
1679962650,135
1679962651,135
1679962652,134
1679962653,133
1679962654,134
1679962655,133
1679962656,137
1679962657,135
1679962658,141
1679962659,143
1679962660,148
1679962661,152
1679962662,152
1679962663,153
1679962664,153
1679962665,154
1679962666,155
1679962667,156
1679962668,157
1679962669,158
1679962670,158
1679962671,158
1679962672,163
1679962673,255
1679962674,256
1679962675,255
1679962676,254
1679962677,255
1679962678,255
1679962679,254
1679962680,146
1679962681,124
1679962682,130
1679962683,129
1679962684,130
1679962685,126
1679962686,125
1679962687,122
1679962688,120
1679962689,120
1679962690,120
1679962691,122
1679962692,122
1679962693,123
1679962694,123
1679962695,122
1679962696,123
1679962697,123
1679962698,123
1679962699,121
1679962700,124
1679962701,124
1679962702,123
1679962703,126
1679962704,125
1679962705,191
1679962706,256
1679962707,255
1679962708,256
1679962709,255
1679962710,254
1679962711,256
1679962712,255
1679962713,242
1679962714,137
1679962715,160
1679962716,161
1679962717,160
1679962718,160
1679962719,161
1679962720,160
1679962721,163
1679962722,163
1679962723,162
1679962724,161
1679962725,166
1679962726,158
1679962727,162
1679962728,165
1679962729,168
1679962730,172
1679962731,173
1679962732,168
1679962733,155
1679962734,156
1679962735,159
1679962736,149
1679962737,146
1679962738,148
1679962739,154
1679962740,157
1679962741,152
1679962742,148
1679962743,144
1679962744,144
1679962745,147
1679962746,148
1679962747,151
1679962748,148
1679962749,156
1679962750,156
1679962751,154
1679962752,151
1679962753,153
1679962754,157
1679962755,161
1679962756,162
1679962757,164
1679962758,163
1679962759,161
1679962760,156
1679962761,154
1679962762,149
1679962763,151
1679962764,153
1679962765,155
1679962766,152
1679962767,155
1679962768,156
1679962769,152
1679962770,156
1679962771,154
1679962772,155
1679962773,161
1679962774,154
1679962775,151
1679962776,147
1679962777,148
1679962778,146
1679962779,147
1679962780,153
1679962781,153
1679962782,153
1679962783,151
1679962784,161
1679962785,156
1679962786,158
1679962787,156
1679962788,160
1679962789,159
1679962790,159
1679962791,160
1679962792,158
1679962793,158
1679962794,165
1679962795,162
1679962796,156
1679962797,157
1679962798,155
1679962799,150
1679962800,149
1679962801,149
1679962802,148
1679962803,150
1679962804,150
1679962805,150
1679962806,151
1679962807,152
1679962808,145
1679962809,145
1679962810,146
1679962811,148
1679962812,148
1679962813,163
1679962814,162
1679962815,158
1679962816,149
1679962817,157
1679962818,155
1679962819,153
1679962820,147
1679962821,142
1679962822,144
1679962823,148
1679962824,147
1679962825,145
1679962826,143
1679962827,143
1679962828,142
1679962829,140
1679962830,140
1679962831,141
1679962832,142
1679962833,145
1679962834,143
1679962835,142
1679962836,141
1679962837,135
1679962838,134
1679962839,134
1679962840,132
1679962841,128
1679962842,129
1679962843,132
1679962844,135
1679962845,138
1679962846,140
1679962847,141
1679962848,138
1679962849,138
1679962850,32
