time,FPS
1680108860,16
1680108861,43
1680108862,25
1680108863,48
1680108864,49
1680108865,51
1680108866,51
1680108867,54
1680108868,51
1680108869,51
1680108870,53
1680108871,52
1680108872,53
1680108873,48
1680108874,45
1680108875,44
1680108876,49
1680108877,44
1680108878,45
1680108879,41
1680108880,45
1680108881,42
1680108882,49
1680108883,58
1680108884,54
1680108885,52
1680108886,54
1680108887,54
1680108888,55
1680108889,50
1680108890,54
1680108891,51
1680108892,52
1680108893,52
1680108894,51
1680108895,52
1680108896,52
1680108897,51
1680108898,54
1680108899,54
1680108900,52
1680108901,53
1680108902,54
1680108903,50
1680108904,53
1680108905,59
1680108906,59
1680108907,56
1680108908,57
1680108909,58
1680108910,58
1680108911,58
1680108912,57
1680108913,45
1680108914,39
1680108915,38
1680108916,44
1680108917,45
1680108918,41
1680108919,43
1680108920,46
1680108921,46
1680108922,40
1680108923,45
1680108924,45
1680108925,43
1680108926,41
1680108927,48
1680108928,46
1680108929,48
1680108930,51
1680108931,50
1680108932,48
1680108933,48
1680108934,51
1680108935,46
1680108936,52
1680108937,50
1680108938,49
1680108939,47
1680108940,46
1680108941,45
1680108942,50
1680108943,52
1680108944,47
1680108945,50
1680108946,50
1680108947,46
1680108948,47
1680108949,47
1680108950,51
1680108951,44
1680108952,49
1680108953,51
1680108954,48
1680108955,47
1680108956,47
1680108957,48
1680108958,48
1680108959,47
1680108960,52
1680108961,94
1680108962,254
1680108963,241
1680108964,251
1680108965,229
1680108966,135
1680108967,149
1680108968,153
1680108969,156
1680108970,156
1680108971,157
1680108972,154
1680108973,156
1680108974,154
1680108975,153
1680108976,150
1680108977,154
1680108978,150
1680108979,154
1680108980,154
1680108981,161
1680108982,160
1680108983,157
1680108984,160
1680108985,161
1680108986,161
1680108987,162
1680108988,162
1680108989,161
1680108990,177
1680108991,256
1680108992,255
1680108993,254
1680108994,188
1680108995,185
1680108996,191
1680108997,190
1680108998,191
1680108999,189
1680109000,188
1680109001,191
1680109002,191
1680109003,189
1680109004,191
1680109005,187
1680109006,186
1680109007,192
1680109008,188
1680109009,186
1680109010,186
1680109011,185
1680109012,190
1680109013,189
1680109014,188
1680109015,188
1680109016,190
1680109017,188
1680109018,186
1680109019,222
1680109020,255
1680109021,254
1680109022,242
1680109023,160
1680109024,140
1680109025,140
1680109026,141
1680109027,140
1680109028,141
1680109029,141
1680109030,146
1680109031,153
1680109032,162
1680109033,172
1680109034,182
1680109035,191
1680109036,193
1680109037,196
1680109038,194
1680109039,195
1680109040,197
1680109041,195
1680109042,197
1680109043,198
1680109044,199
1680109045,200
1680109046,199
1680109047,207
1680109048,255
1680109049,255
1680109050,253
1680109051,254
1680109052,256
1680109053,256
1680109054,137
1680109055,142
1680109056,145
1680109057,142
1680109058,145
1680109059,142
1680109060,139
1680109061,136
1680109062,132
1680109063,133
1680109064,134
1680109065,137
1680109066,137
1680109067,139
1680109068,137
1680109069,139
1680109070,140
1680109071,137
1680109072,138
1680109073,135
1680109074,138
1680109075,140
1680109076,146
1680109077,144
1680109078,145
1680109079,233
1680109080,256
1680109081,255
1680109082,253
1680109083,256
1680109084,254
1680109085,256
1680109086,254
1680109087,162
1680109088,199
1680109089,199
1680109090,199
1680109091,200
1680109092,200
1680109093,199
1680109094,203
1680109095,200
1680109096,199
1680109097,201
1680109098,201
1680109099,197
1680109100,201
1680109101,202
1680109102,204
1680109103,200
1680109104,196
1680109105,186
1680109106,178
1680109107,171
1680109108,172
1680109109,168
1680109110,170
1680109111,174
1680109112,179
1680109113,184
1680109114,184
1680109115,182
1680109116,180
1680109117,184
1680109118,181
1680109119,175
1680109120,186
1680109121,187
1680109122,193
1680109123,195
1680109124,197
1680109125,193
1680109126,194
1680109127,200
1680109128,205
1680109129,206
1680109130,187
1680109131,202
1680109132,198
1680109133,198
1680109134,195
1680109135,188
1680109136,190
1680109137,187
1680109138,175
1680109139,185
1680109140,181
1680109141,181
1680109142,186
1680109143,189
1680109144,182
1680109145,186
1680109146,188
1680109147,193
1680109148,186
1680109149,184
1680109150,187
1680109151,186
1680109152,190
1680109153,194
1680109154,190
1680109155,193
1680109156,184
1680109157,195
1680109158,190
1680109159,194
1680109160,196
1680109161,196
1680109162,197
1680109163,191
1680109164,195
1680109165,196
1680109166,201
1680109167,198
1680109168,194
1680109169,190
1680109170,184
1680109171,182
1680109172,181
1680109173,181
1680109174,186
1680109175,187
1680109176,189
1680109177,185
1680109178,183
1680109179,183
1680109180,185
1680109181,185
1680109182,182
1680109183,187
1680109184,204
1680109185,199
1680109186,182
1680109187,197
1680109188,195
1680109189,193
1680109190,177
1680109191,176
1680109192,176
1680109193,180
1680109194,179
1680109195,172
1680109196,172
1680109197,172
1680109198,171
1680109199,170
1680109200,172
1680109201,171
1680109202,172
1680109203,179
1680109204,177
1680109205,172
1680109206,174
1680109207,171
1680109208,171
1680109209,170
1680109210,164
1680109211,161
1680109212,168
1680109213,166
1680109214,175
1680109215,176
1680109216,181
1680109217,180
1680109218,170
1680109219,170
1680109220,168
1680109221,170
1680109222,171
1680109223,171
1680109224,171
1680109225,171
1680109226,47
