time,FPS
1676340281,32
1676340282,43
1676340283,26
1676340284,47
1676340285,49
1676340286,47
1676340287,47
1676340288,46
1676340289,44
1676340290,44
1676340291,42
1676340292,50
1676340293,46
1676340294,47
1676340295,44
1676340296,46
1676340297,43
1676340298,47
1676340299,45
1676340300,44
1676340301,43
1676340302,43
1676340303,43
1676340304,53
1676340305,51
1676340306,54
1676340307,53
1676340308,53
1676340309,53
1676340310,51
1676340311,53
1676340312,53
1676340313,54
1676340314,53
1676340315,56
1676340316,52
1676340317,52
1676340318,53
1676340319,52
1676340320,51
1676340321,52
1676340322,54
1676340323,53
1676340324,53
1676340325,48
1676340326,58
1676340327,59
1676340328,58
1676340329,56
1676340330,57
1676340331,58
1676340332,57
1676340333,57
1676340334,57
1676340335,44
1676340336,39
1676340337,41
1676340338,44
1676340339,44
1676340340,40
1676340341,42
1676340342,48
1676340343,41
1676340344,46
1676340345,45
1676340346,45
1676340347,42
1676340348,50
1676340349,52
1676340350,45
1676340351,48
1676340352,47
1676340353,46
1676340354,50
1676340355,47
1676340356,50
1676340357,51
1676340358,51
1676340359,48
1676340360,51
1676340361,51
1676340362,49
1676340363,51
1676340364,50
1676340365,47
1676340366,45
1676340367,47
1676340368,47
1676340369,45
1676340370,47
1676340371,43
1676340372,45
1676340373,47
1676340374,47
1676340375,45
1676340376,44
1676340377,45
1676340378,46
1676340379,47
1676340380,47
1676340381,45
1676340382,45
1676340383,138
1676340384,247
1676340385,252
1676340386,253
1676340387,196
1676340388,112
1676340389,110
1676340390,116
1676340391,118
1676340392,117
1676340393,114
1676340394,115
1676340395,118
1676340396,117
1676340397,116
1676340398,115
1676340399,115
1676340400,115
1676340401,115
1676340402,115
1676340403,119
1676340404,118
1676340405,116
1676340406,119
1676340407,119
1676340408,120
1676340409,121
1676340410,121
1676340411,123
1676340412,160
1676340413,254
1676340414,255
1676340415,256
1676340416,155
1676340417,146
1676340418,156
1676340419,154
1676340420,150
1676340421,153
1676340422,154
1676340423,154
1676340424,153
1676340425,154
1676340426,154
1676340427,152
1676340428,153
1676340429,155
1676340430,152
1676340431,151
1676340432,151
1676340433,153
1676340434,152
1676340435,153
1676340436,153
1676340437,154
1676340438,151
1676340439,148
1676340440,155
1676340441,214
1676340442,256
1676340443,254
1676340444,256
1676340445,145
1676340446,134
1676340447,136
1676340448,133
1676340449,134
1676340450,134
1676340451,132
1676340452,133
1676340453,133
1676340454,137
1676340455,138
1676340456,142
1676340457,146
1676340458,149
1676340459,151
1676340460,152
1676340461,152
1676340462,153
1676340463,154
1676340464,154
1676340465,155
1676340466,156
1676340467,156
1676340468,157
1676340469,155
1676340470,242
1676340471,256
1676340472,255
1676340473,252
1676340474,253
1676340475,256
1676340476,255
1676340477,190
1676340478,120
1676340479,130
1676340480,131
1676340481,130
1676340482,128
1676340483,126
1676340484,123
1676340485,120
1676340486,120
1676340487,120
1676340488,120
1676340489,121
1676340490,122
1676340491,124
1676340492,121
1676340493,123
1676340494,122
1676340495,123
1676340496,122
1676340497,120
1676340498,124
1676340499,124
1676340500,125
1676340501,125
1676340502,155
1676340503,255
1676340504,255
1676340505,255
1676340506,252
1676340507,256
1676340508,255
1676340509,256
1676340510,254
1676340511,150
1676340512,160
1676340513,159
1676340514,158
1676340515,159
1676340516,159
1676340517,157
1676340518,161
1676340519,161
1676340520,162
1676340521,161
1676340522,164
1676340523,162
1676340524,160
1676340525,163
1676340526,164
1676340527,166
1676340528,170
1676340529,173
1676340530,160
1676340531,153
1676340532,160
1676340533,153
1676340534,147
1676340535,145
1676340536,153
1676340537,156
1676340538,154
1676340539,149
1676340540,147
1676340541,146
1676340542,146
1676340543,150
1676340544,148
1676340545,149
1676340546,148
1676340547,158
1676340548,157
1676340549,151
1676340550,153
1676340551,152
1676340552,158
1676340553,165
1676340554,159
1676340555,164
1676340556,163
1676340557,157
1676340558,153
1676340559,149
1676340560,149
1676340561,153
1676340562,153
1676340563,153
1676340564,154
1676340565,156
1676340566,152
1676340567,153
1676340568,155
1676340569,153
1676340570,160
1676340571,158
1676340572,157
1676340573,150
1676340574,146
1676340575,147
1676340576,147
1676340577,150
1676340578,151
1676340579,151
1676340580,149
1676340581,155
1676340582,159
1676340583,155
1676340584,156
1676340585,153
1676340586,154
1676340587,155
1676340588,154
1676340589,157
1676340590,159
1676340591,157
1676340592,151
1676340593,156
1676340594,154
1676340595,153
1676340596,148
1676340597,148
1676340598,148
1676340599,150
1676340600,150
1676340601,152
1676340602,152
1676340603,146
1676340604,147
1676340605,149
1676340606,149
1676340607,150
1676340608,150
1676340609,158
1676340610,162
1676340611,159
1676340612,154
1676340613,159
1676340614,158
1676340615,158
1676340616,156
1676340617,145
1676340618,143
1676340619,144
1676340620,146
1676340621,146
1676340622,143
1676340623,141
1676340624,141
1676340625,139
1676340626,139
1676340627,138
1676340628,137
1676340629,140
1676340630,142
1676340631,143
1676340632,140
1676340633,141
1676340634,135
1676340635,133
1676340636,133
1676340637,134
1676340638,129
1676340639,130
1676340640,131
1676340641,134
1676340642,133
1676340643,138
1676340644,139
1676340645,139
1676340646,135
1676340647,54
