time,FPS
1675457946,7
1675457947,49
1675457948,30
1675457949,43
1675457950,48
1675457951,50
1675457952,44
1675457953,50
1675457954,48
1675457955,52
1675457956,47
1675457957,49
1675457958,51
1675457959,46
1675457960,43
1675457961,44
1675457962,41
1675457963,43
1675457964,42
1675457965,44
1675457966,45
1675457967,44
1675457968,48
1675457969,54
1675457970,52
1675457971,53
1675457972,53
1675457973,53
1675457974,53
1675457975,53
1675457976,50
1675457977,53
1675457978,52
1675457979,52
1675457980,52
1675457981,53
1675457982,55
1675457983,51
1675457984,52
1675457985,52
1675457986,53
1675457987,56
1675457988,54
1675457989,52
1675457990,58
1675457991,59
1675457992,56
1675457993,57
1675457994,57
1675457995,57
1675457996,57
1675457997,57
1675457998,54
1675457999,43
1675458000,44
1675458001,41
1675458002,40
1675458003,42
1675458004,43
1675458005,47
1675458006,41
1675458007,47
1675458008,52
1675458009,49
1675458010,47
1675458011,50
1675458012,52
1675458013,50
1675458014,48
1675458015,52
1675458016,50
1675458017,46
1675458018,49
1675458019,51
1675458020,47
1675458021,53
1675458022,53
1675458023,46
1675458024,46
1675458025,50
1675458026,51
1675458027,41
1675458028,49
1675458029,49
1675458030,47
1675458031,48
1675458032,49
1675458033,47
1675458034,50
1675458035,48
1675458036,50
1675458037,51
1675458038,46
1675458039,46
1675458040,52
1675458041,52
1675458042,51
1675458043,50
1675458044,46
1675458045,49
1675458046,46
1675458047,201
1675458048,251
1675458049,252
1675458050,254
1675458051,163
1675458052,123
1675458053,123
1675458054,128
1675458055,129
1675458056,130
1675458057,130
1675458058,128
1675458059,130
1675458060,123
1675458061,127
1675458062,129
1675458063,128
1675458064,128
1675458065,127
1675458066,130
1675458067,129
1675458068,129
1675458069,127
1675458070,125
1675458071,131
1675458072,132
1675458073,132
1675458074,132
1675458075,132
1675458076,201
1675458077,254
1675458078,255
1675458079,255
1675458080,113
1675458081,159
1675458082,154
1675458083,157
1675458084,155
1675458085,153
1675458086,152
1675458087,152
1675458088,149
1675458089,156
1675458090,155
1675458091,153
1675458092,152
1675458093,153
1675458094,149
1675458095,151
1675458096,149
1675458097,154
1675458098,155
1675458099,156
1675458100,154
1675458101,155
1675458102,154
1675458103,157
1675458104,158
1675458105,249
1675458106,256
1675458107,254
1675458108,172
1675458109,141
1675458110,136
1675458111,135
1675458112,135
1675458113,134
1675458114,134
1675458115,134
1675458116,135
1675458117,136
1675458118,139
1675458119,142
1675458120,147
1675458121,150
1675458122,152
1675458123,153
1675458124,153
1675458125,153
1675458126,154
1675458127,155
1675458128,156
1675458129,157
1675458130,157
1675458131,157
1675458132,158
1675458133,211
1675458134,255
1675458135,255
1675458136,254
1675458137,255
1675458138,256
1675458139,255
1675458140,98
1675458141,130
1675458142,131
1675458143,131
1675458144,129
1675458145,128
1675458146,126
1675458147,123
1675458148,122
1675458149,122
1675458150,122
1675458151,124
1675458152,124
1675458153,126
1675458154,125
1675458155,125
1675458156,126
1675458157,126
1675458158,126
1675458159,125
1675458160,127
1675458161,128
1675458162,128
1675458163,128
1675458164,129
1675458165,248
1675458166,255
1675458167,256
1675458168,254
1675458169,254
1675458170,255
1675458171,254
1675458172,255
1675458173,186
1675458174,160
1675458175,161
1675458176,161
1675458177,158
1675458178,159
1675458179,163
1675458180,163
1675458181,163
1675458182,162
1675458183,165
1675458184,162
1675458185,165
1675458186,162
1675458187,161
1675458188,164
1675458189,170
1675458190,171
1675458191,173
1675458192,168
1675458193,156
1675458194,156
1675458195,159
1675458196,151
1675458197,146
1675458198,151
1675458199,155
1675458200,155
1675458201,150
1675458202,147
1675458203,145
1675458204,145
1675458205,149
1675458206,149
1675458207,152
1675458208,149
1675458209,157
1675458210,160
1675458211,156
1675458212,151
1675458213,154
1675458214,159
1675458215,162
1675458216,166
1675458217,162
1675458218,161
1675458219,162
1675458220,155
1675458221,153
1675458222,148
1675458223,151
1675458224,153
1675458225,155
1675458226,153
1675458227,152
1675458228,155
1675458229,154
1675458230,153
1675458231,154
1675458232,156
1675458233,162
1675458234,160
1675458235,154
1675458236,150
1675458237,149
1675458238,148
1675458239,152
1675458240,156
1675458241,157
1675458242,155
1675458243,154
1675458244,162
1675458245,161
1675458246,158
1675458247,159
1675458248,156
1675458249,158
1675458250,158
1675458251,166
1675458252,161
1675458253,162
1675458254,160
1675458255,161
1675458256,154
1675458257,155
1675458258,150
1675458259,148
1675458260,150
1675458261,152
1675458262,152
1675458263,154
1675458264,153
1675458265,149
1675458266,150
1675458267,151
1675458268,150
1675458269,149
1675458270,165
1675458271,160
1675458272,159
1675458273,158
1675458274,159
1675458275,155
1675458276,154
1675458277,146
1675458278,142
1675458279,144
1675458280,148
1675458281,147
1675458282,144
1675458283,144
1675458284,145
1675458285,143
1675458286,143
1675458287,141
1675458288,142
1675458289,145
1675458290,146
1675458291,145
1675458292,143
1675458293,142
1675458294,136
1675458295,134
1675458296,136
1675458297,128
1675458298,126
1675458299,131
1675458300,130
1675458301,138
1675458302,143
1675458303,143
1675458304,145
1675458305,138
1675458306,140
1675458307,136
1675458308,142
1675458309,142
1675458310,142
1675458311,81
