time,FPS
1679693025,11
1679693026,39
1679693027,30
1679693028,42
1679693029,51
1679693030,45
1679693031,45
1679693032,50
1679693033,45
1679693034,47
1679693035,46
1679693036,47
1679693037,51
1679693038,45
1679693039,40
1679693040,41
1679693041,43
1679693042,43
1679693043,43
1679693044,43
1679693045,44
1679693046,45
1679693047,46
1679693048,46
1679693049,46
1679693050,46
1679693051,47
1679693052,43
1679693053,44
1679693054,45
1679693055,50
1679693056,43
1679693057,41
1679693058,46
1679693059,44
1679693060,45
1679693061,49
1679693062,45
1679693063,48
1679693064,41
1679693065,48
1679693066,44
1679693067,43
1679693068,38
1679693069,45
1679693070,55
1679693071,53
1679693072,53
1679693073,51
1679693074,53
1679693075,53
1679693076,54
1679693077,54
1679693078,54
1679693079,42
1679693080,44
1679693081,40
1679693082,39
1679693083,43
1679693084,42
1679693085,40
1679693086,43
1679693087,44
1679693088,43
1679693089,43
1679693090,41
1679693091,46
1679693092,47
1679693093,48
1679693094,43
1679693095,43
1679693096,43
1679693097,45
1679693098,43
1679693099,44
1679693100,44
1679693101,46
1679693102,47
1679693103,44
1679693104,45
1679693105,48
1679693106,51
1679693107,43
1679693108,43
1679693109,47
1679693110,46
1679693111,44
1679693112,44
1679693113,44
1679693114,42
1679693115,44
1679693116,46
1679693117,41
1679693118,48
1679693119,44
1679693120,43
1679693121,41
1679693122,43
1679693123,47
1679693124,45
1679693125,43
1679693126,47
1679693127,135
1679693128,255
1679693129,251
1679693130,253
1679693131,237
1679693132,144
1679693133,168
1679693134,170
1679693135,172
1679693136,171
1679693137,170
1679693138,169
1679693139,160
1679693140,162
1679693141,163
1679693142,163
1679693143,161
1679693144,161
1679693145,164
1679693146,165
1679693147,168
1679693148,166
1679693149,175
1679693150,168
1679693151,169
1679693152,170
1679693153,171
1679693154,172
1679693155,176
1679693156,185
1679693157,256
1679693158,253
1679693159,253
1679693160,235
1679693161,159
1679693162,196
1679693163,197
1679693164,197
1679693165,194
1679693166,195
1679693167,192
1679693168,200
1679693169,199
1679693170,196
1679693171,190
1679693172,191
1679693173,196
1679693174,194
1679693175,187
1679693176,190
1679693177,193
1679693178,190
1679693179,195
1679693180,195
1679693181,195
1679693182,199
1679693183,191
1679693184,196
1679693185,209
1679693186,256
1679693187,255
1679693188,255
1679693189,188
1679693190,169
1679693191,180
1679693192,179
1679693193,179
1679693194,180
1679693195,181
1679693196,180
1679693197,182
1679693198,184
1679693199,186
1679693200,188
1679693201,189
1679693202,194
1679693203,197
1679693204,199
1679693205,199
1679693206,198
1679693207,201
1679693208,200
1679693209,202
1679693210,202
1679693211,203
1679693212,202
1679693213,179
1679693214,225
1679693215,256
1679693216,255
1679693217,256
1679693218,254
1679693219,256
1679693220,255
1679693221,140
1679693222,166
1679693223,166
1679693224,166
1679693225,166
1679693226,164
1679693227,161
1679693228,158
1679693229,158
1679693230,160
1679693231,160
1679693232,162
1679693233,162
1679693234,164
1679693235,163
1679693236,164
1679693237,159
1679693238,165
1679693239,166
1679693240,163
1679693241,167
1679693242,165
1679693243,168
1679693244,168
1679693245,168
1679693246,249
1679693247,254
1679693248,255
1679693249,256
1679693250,256
1679693251,255
1679693252,194
1679693253,199
1679693254,202
1679693255,202
1679693256,201
1679693257,203
1679693258,206
1679693259,205
1679693260,206
1679693261,204
1679693262,204
1679693263,206
1679693264,205
1679693265,205
1679693266,205
1679693267,207
1679693268,212
1679693269,219
1679693270,219
1679693271,210
1679693272,194
1679693273,196
1679693274,195
1679693275,182
1679693276,188
1679693277,192
1679693278,193
1679693279,195
1679693280,189
1679693281,185
1679693282,182
1679693283,186
1679693284,184
1679693285,188
1679693286,192
1679693287,187
1679693288,196
1679693289,197
1679693290,197
1679693291,195
1679693292,194
1679693293,203
1679693294,197
1679693295,210
1679693296,211
1679693297,211
1679693298,206
1679693299,198
1679693300,196
1679693301,186
1679693302,189
1679693303,191
1679693304,192
1679693305,190
1679693306,188
1679693307,197
1679693308,195
1679693309,199
1679693310,193
1679693311,193
1679693312,202
1679693313,198
1679693314,196
1679693315,188
1679693316,189
1679693317,190
1679693318,188
1679693319,193
1679693320,197
1679693321,196
1679693322,190
1679693323,200
1679693324,199
1679693325,196
1679693326,197
1679693327,195
1679693328,197
1679693329,196
1679693330,197
1679693331,199
1679693332,207
1679693333,200
1679693334,195
1679693335,188
1679693336,184
1679693337,180
1679693338,183
1679693339,180
1679693340,186
1679693341,188
1679693342,189
1679693343,190
1679693344,180
1679693345,182
1679693346,183
1679693347,184
1679693348,182
1679693349,193
1679693350,206
1679693351,205
1679693352,201
1679693353,200
1679693354,199
1679693355,198
1679693356,185
1679693357,180
1679693358,176
1679693359,182
1679693360,184
1679693361,180
1679693362,174
1679693363,177
1679693364,175
1679693365,176
1679693366,174
1679693367,173
1679693368,174
1679693369,180
1679693370,178
1679693371,171
1679693372,175
1679693373,174
1679693374,170
1679693375,173
1679693376,171
1679693377,165
1679693378,165
1679693379,167
1679693380,170
1679693381,177
1679693382,178
1679693383,182
1679693384,182
1679693385,173
1679693386,174
1679693387,174
1679693388,176
1679693389,173
1679693390,176
1679693391,130
