time,FPS
1679094964,30
1679094965,41
1679094966,24
1679094967,53
1679094968,41
1679094969,41
1679094970,40
1679094971,46
1679094972,49
1679094973,46
1679094974,47
1679094975,47
1679094976,48
1679094977,41
1679094978,42
1679094979,44
1679094980,40
1679094981,40
1679094982,43
1679094983,40
1679094984,40
1679094985,38
1679094986,50
1679094987,51
1679094988,51
1679094989,55
1679094990,49
1679094991,52
1679094992,51
1679094993,50
1679094994,52
1679094995,52
1679094996,50
1679094997,53
1679094998,52
1679094999,51
1679095000,51
1679095001,50
1679095002,51
1679095003,51
1679095004,50
1679095005,50
1679095006,51
1679095007,51
1679095008,48
1679095009,59
1679095010,58
1679095011,58
1679095012,55
1679095013,57
1679095014,57
1679095015,56
1679095016,57
1679095017,56
1679095018,44
1679095019,40
1679095020,39
1679095021,40
1679095022,41
1679095023,42
1679095024,43
1679095025,45
1679095026,39
1679095027,42
1679095028,39
1679095029,42
1679095030,42
1679095031,45
1679095032,49
1679095033,46
1679095034,47
1679095035,49
1679095036,50
1679095037,47
1679095038,46
1679095039,49
1679095040,49
1679095041,48
1679095042,45
1679095043,44
1679095044,46
1679095045,44
1679095046,43
1679095047,47
1679095048,40
1679095049,43
1679095050,44
1679095051,42
1679095052,42
1679095053,44
1679095054,44
1679095055,42
1679095056,43
1679095057,45
1679095058,44
1679095059,48
1679095060,45
1679095061,42
1679095062,42
1679095063,44
1679095064,45
1679095065,44
1679095066,151
1679095067,252
1679095068,251
1679095069,253
1679095070,192
1679095071,112
1679095072,110
1679095073,115
1679095074,118
1679095075,117
1679095076,118
1679095077,118
1679095078,118
1679095079,115
1679095080,116
1679095081,114
1679095082,113
1679095083,113
1679095084,115
1679095085,118
1679095086,119
1679095087,118
1679095088,120
1679095089,122
1679095090,120
1679095091,122
1679095092,119
1679095093,120
1679095094,119
1679095095,166
1679095096,254
1679095097,254
1679095098,254
1679095099,138
1679095100,153
1679095101,156
1679095102,155
1679095103,154
1679095104,151
1679095105,150
1679095106,151
1679095107,154
1679095108,156
1679095109,156
1679095110,153
1679095111,156
1679095112,157
1679095113,155
1679095114,153
1679095115,153
1679095116,154
1679095117,155
1679095118,156
1679095119,156
1679095120,157
1679095121,157
1679095122,158
1679095123,157
1679095124,227
1679095125,255
1679095126,254
1679095127,233
1679095128,123
1679095129,135
1679095130,135
1679095131,133
1679095132,133
1679095133,133
1679095134,134
1679095135,133
1679095136,134
1679095137,137
1679095138,140
1679095139,145
1679095140,148
1679095141,151
1679095142,153
1679095143,152
1679095144,153
1679095145,154
1679095146,154
1679095147,155
1679095148,156
1679095149,157
1679095150,157
1679095151,157
1679095152,171
1679095153,255
1679095154,255
1679095155,255
1679095156,254
1679095157,255
1679095158,256
1679095159,254
1679095160,127
1679095161,126
1679095162,132
1679095163,130
1679095164,130
1679095165,127
1679095166,127
1679095167,123
1679095168,122
1679095169,121
1679095170,123
1679095171,123
1679095172,124
1679095173,125
1679095174,125
1679095175,124
1679095176,125
1679095177,125
1679095178,126
1679095179,124
1679095180,125
1679095181,126
1679095182,129
1679095183,128
1679095184,127
1679095185,209
1679095186,255
1679095187,255
1679095188,255
1679095189,255
1679095190,256
1679095191,255
1679095192,256
1679095193,195
1679095194,155
1679095195,159
1679095196,161
1679095197,160
1679095198,161
1679095199,162
1679095200,160
1679095201,161
1679095202,164
1679095203,163
1679095204,163
1679095205,159
1679095206,160
1679095207,160
1679095208,167
1679095209,166
1679095210,172
1679095211,172
1679095212,165
1679095213,152
1679095214,155
1679095215,159
1679095216,149
1679095217,144
1679095218,150
1679095219,154
1679095220,156
1679095221,150
1679095222,146
1679095223,146
1679095224,146
1679095225,147
1679095226,148
1679095227,150
1679095228,149
1679095229,158
1679095230,158
1679095231,153
1679095232,153
1679095233,154
1679095234,161
1679095235,167
1679095236,165
1679095237,164
1679095238,165
1679095239,157
1679095240,154
1679095241,151
1679095242,148
1679095243,152
1679095244,153
1679095245,155
1679095246,152
1679095247,156
1679095248,156
1679095249,151
1679095250,155
1679095251,155
1679095252,156
1679095253,160
1679095254,158
1679095255,154
1679095256,150
1679095257,148
1679095258,149
1679095259,152
1679095260,156
1679095261,157
1679095262,154
1679095263,154
1679095264,163
1679095265,158
1679095266,158
1679095267,159
1679095268,159
1679095269,160
1679095270,156
1679095271,159
1679095272,157
1679095273,169
1679095274,164
1679095275,158
1679095276,153
1679095277,148
1679095278,145
1679095279,146
1679095280,148
1679095281,148
1679095282,149
1679095283,150
1679095284,150
1679095285,144
1679095286,143
1679095287,145
1679095288,147
1679095289,148
1679095290,161
1679095291,167
1679095292,160
1679095293,160
1679095294,161
1679095295,157
1679095296,152
1679095297,143
1679095298,143
1679095299,144
1679095300,147
1679095301,147
1679095302,145
1679095303,144
1679095304,144
1679095305,143
1679095306,142
1679095307,140
1679095308,141
1679095309,144
1679095310,147
1679095311,141
1679095312,143
1679095313,141
1679095314,136
1679095315,136
1679095316,138
1679095317,133
1679095318,134
1679095319,135
1679095320,137
1679095321,139
1679095322,142
1679095323,138
1679095324,140
1679095325,136
1679095326,139
1679095327,137
1679095328,140
1679095329,140
1679095330,126
