time,FPS
1677786010,29
1677786011,49
1677786012,51
1677786013,50
1677786014,54
1677786015,54
1677786016,51
1677786017,52
1677786018,47
1677786019,47
1677786020,51
1677786021,51
1677786022,50
1677786023,48
1677786024,47
1677786025,49
1677786026,52
1677786027,49
1677786028,53
1677786029,52
1677786030,56
1677786031,55
1677786032,59
1677786033,58
1677786034,58
1677786035,57
1677786036,58
1677786037,59
1677786038,59
1677786039,55
1677786040,59
1677786041,60
1677786042,60
1677786043,59
1677786044,56
1677786045,58
1677786046,53
1677786047,56
1677786048,59
1677786049,58
1677786050,55
1677786051,58
1677786052,57
1677786053,58
1677786054,55
1677786055,53
1677786056,60
1677786057,59
1677786058,59
1677786059,55
1677786060,57
1677786061,59
1677786062,57
1677786063,58
1677786064,86
1677786065,253
1677786066,249
1677786067,247
1677786068,255
1677786069,99
1677786070,75
1677786071,74
1677786072,75
1677786073,73
1677786074,75
1677786075,76
1677786076,77
1677786077,76
1677786078,77
1677786079,75
1677786080,76
1677786081,77
1677786082,78
1677786083,78
1677786084,80
1677786085,80
1677786086,82
1677786087,80
1677786088,80
1677786089,80
1677786090,80
1677786091,79
1677786092,80
1677786093,79
1677786094,229
1677786095,255
1677786096,252
1677786097,252
1677786098,63
1677786099,88
1677786100,90
1677786101,90
1677786102,88
1677786103,88
1677786104,87
1677786105,86
1677786106,88
1677786107,86
1677786108,84
1677786109,80
1677786110,82
1677786111,85
1677786112,79
1677786113,80
1677786114,81
1677786115,82
1677786116,83
1677786117,85
1677786118,83
1677786119,82
1677786120,84
1677786121,84
1677786122,90
1677786123,256
1677786124,254
1677786125,251
1677786126,216
1677786127,84
1677786128,89
1677786129,88
1677786130,91
1677786131,88
1677786132,92
1677786133,91
1677786134,91
1677786135,93
1677786136,93
1677786137,93
1677786138,95
1677786139,93
1677786140,96
1677786141,98
1677786142,97
1677786143,99
1677786144,98
1677786145,99
1677786146,98
1677786147,100
1677786148,98
1677786149,99
1677786150,100
1677786151,131
1677786152,254
1677786153,244
1677786154,254
1677786155,250
1677786156,253
1677786157,246
1677786158,245
1677786159,153
1677786160,62
1677786161,74
1677786162,71
1677786163,76
1677786164,73
1677786165,74
1677786166,74
1677786167,74
1677786168,72
1677786169,73
1677786170,75
1677786171,74
1677786172,77
1677786173,76
1677786174,76
1677786175,77
1677786176,75
1677786177,81
1677786178,79
1677786179,77
1677786180,79
1677786181,80
1677786182,79
1677786183,79
1677786184,139
1677786185,254
1677786186,254
1677786187,255
1677786188,254
1677786189,250
1677786190,247
1677786191,253
1677786192,250
1677786193,251
1677786194,237
1677786195,244
1677786196,63
1677786197,85
1677786198,85
1677786199,85
1677786200,84
1677786201,84
1677786202,89
1677786203,88
1677786204,89
1677786205,89
1677786206,87
1677786207,87
1677786208,86
1677786209,86
1677786210,85
1677786211,86
1677786212,91
1677786213,92
1677786214,96
1677786215,85
1677786216,78
1677786217,86
1677786218,84
1677786219,80
1677786220,79
1677786221,80
1677786222,83
1677786223,78
1677786224,78
1677786225,74
1677786226,76
1677786227,73
1677786228,79
1677786229,77
1677786230,79
1677786231,77
1677786232,79
1677786233,82
1677786234,83
1677786235,78
1677786236,80
1677786237,83
1677786238,84
1677786239,86
1677786240,87
1677786241,86
1677786242,86
1677786243,83
1677786244,82
1677786245,77
1677786246,80
1677786247,76
1677786248,80
1677786249,74
1677786250,77
1677786251,76
1677786252,79
1677786253,78
1677786254,79
1677786255,78
1677786256,83
1677786257,82
1677786258,79
1677786259,76
1677786260,78
1677786261,75
1677786262,79
1677786263,80
1677786264,80
1677786265,80
1677786266,80
1677786267,80
1677786268,79
1677786269,76
1677786270,80
1677786271,80
1677786272,81
1677786273,79
1677786274,80
1677786275,79
1677786276,79
1677786277,80
1677786278,81
1677786279,79
1677786280,78
1677786281,76
1677786282,75
1677786283,74
1677786284,76
1677786285,77
1677786286,77
1677786287,78
1677786288,72
1677786289,73
1677786290,74
1677786291,75
1677786292,74
1677786293,80
1677786294,81
1677786295,83
1677786296,80
1677786297,78
1677786298,78
1677786299,77
1677786300,75
1677786301,74
1677786302,73
1677786303,74
1677786304,73
1677786305,71
1677786306,72
1677786307,73
1677786308,71
1677786309,70
1677786310,70
1677786311,72
1677786312,73
1677786313,76
1677786314,77
1677786315,76
1677786316,75
1677786317,74
1677786318,74
1677786319,73
1677786320,74
1677786321,73
1677786322,72
1677786323,75
1677786324,77
1677786325,82
1677786326,84
1677786327,82
1677786328,86
1677786329,74
1677786330,76
1677786331,75
1677786332,76
1677786333,75
1677786334,75
1677786335,73
1677786336,75
1677786337,74
1677786338,75
1677786339,75
1677786340,77
1677786341,76
1677786342,74
1677786343,76
1677786344,76
1677786345,76
1677786346,75
1677786347,77
1677786348,77
1677786349,78
1677786350,77
1677786351,76
1677786352,78
1677786353,76
1677786354,78
1677786355,77
1677786356,77
1677786357,76
1677786358,78
1677786359,76
1677786360,77
1677786361,78
1677786362,65
1677786363,39
