time,FPS
1675874088,26
1675874089,41
1675874090,21
1675874091,51
1675874092,49
1675874093,49
1675874094,51
1675874095,50
1675874096,49
1675874097,52
1675874098,53
1675874099,52
1675874100,54
1675874101,47
1675874102,44
1675874103,44
1675874104,43
1675874105,42
1675874106,41
1675874107,38
1675874108,40
1675874109,41
1675874110,50
1675874111,53
1675874112,57
1675874113,52
1675874114,54
1675874115,54
1675874116,51
1675874117,52
1675874118,53
1675874119,50
1675874120,54
1675874121,54
1675874122,51
1675874123,52
1675874124,50
1675874125,51
1675874126,53
1675874127,53
1675874128,52
1675874129,47
1675874130,56
1675874131,57
1675874132,54
1675874133,55
1675874134,56
1675874135,55
1675874136,56
1675874137,54
1675874138,56
1675874139,42
1675874140,45
1675874141,44
1675874142,48
1675874143,46
1675874144,44
1675874145,45
1675874146,42
1675874147,49
1675874148,44
1675874149,41
1675874150,49
1675874151,47
1675874152,50
1675874153,55
1675874154,56
1675874155,56
1675874156,54
1675874157,49
1675874158,53
1675874159,54
1675874160,56
1675874161,54
1675874162,53
1675874163,49
1675874164,55
1675874165,51
1675874166,50
1675874167,50
1675874168,49
1675874169,49
1675874170,55
1675874171,54
1675874172,50
1675874173,54
1675874174,49
1675874175,50
1675874176,52
1675874177,55
1675874178,54
1675874179,51
1675874180,53
1675874181,51
1675874182,53
1675874183,50
1675874184,55
1675874185,55
1675874186,51
1675874187,179
1675874188,254
1675874189,254
1675874190,250
1675874191,256
1675874192,56
1675874193,41
1675874194,40
1675874195,40
1675874196,38
1675874197,41
1675874198,41
1675874199,41
1675874200,42
1675874201,41
1675874202,42
1675874203,42
1675874204,42
1675874205,41
1675874206,42
1675874207,42
1675874208,42
1675874209,42
1675874210,43
1675874211,42
1675874212,44
1675874213,42
1675874214,43
1675874215,43
1675874216,43
1675874217,215
1675874218,255
1675874219,252
1675874220,256
1675874221,98
1675874222,47
1675874223,49
1675874224,50
1675874225,50
1675874226,50
1675874227,49
1675874228,49
1675874229,49
1675874230,49
1675874231,49
1675874232,48
1675874233,47
1675874234,48
1675874235,48
1675874236,46
1675874237,47
1675874238,48
1675874239,48
1675874240,48
1675874241,48
1675874242,49
1675874243,49
1675874244,49
1675874245,50
1675874246,185
1675874247,250
1675874248,256
1675874249,237
1675874250,140
1675874251,47
1675874252,44
1675874253,44
1675874254,45
1675874255,45
1675874256,44
1675874257,44
1675874258,44
1675874259,45
1675874260,45
1675874261,46
1675874262,47
1675874263,49
1675874264,49
1675874265,49
1675874266,49
1675874267,50
1675874268,49
1675874269,50
1675874270,51
1675874271,50
1675874272,51
1675874273,51
1675874274,51
1675874275,147
1675874276,255
1675874277,239
1675874278,255
1675874279,252
1675874280,256
1675874281,256
1675874282,254
1675874283,195
1675874284,40
1675874285,44
1675874286,44
1675874287,45
1675874288,44
1675874289,45
1675874290,43
1675874291,43
1675874292,43
1675874293,43
1675874294,44
1675874295,44
1675874296,43
1675874297,44
1675874298,43
1675874299,43
1675874300,43
1675874301,43
1675874302,43
1675874303,43
1675874304,44
1675874305,43
1675874306,45
1675874307,43
1675874308,90
1675874309,255
1675874310,250
1675874311,254
1675874312,255
1675874313,255
1675874314,256
1675874315,255
1675874316,255
1675874317,256
1675874318,172
1675874319,50
1675874320,51
1675874321,52
1675874322,52
1675874323,51
1675874324,53
1675874325,53
1675874326,52
1675874327,52
1675874328,53
1675874329,52
1675874330,53
1675874331,52
1675874332,52
1675874333,51
1675874334,51
1675874335,55
1675874336,55
1675874337,57
1675874338,53
1675874339,50
1675874340,52
1675874341,51
1675874342,48
1675874343,46
1675874344,49
1675874345,49
1675874346,49
1675874347,47
1675874348,46
1675874349,47
1675874350,48
1675874351,49
1675874352,49
1675874353,50
1675874354,48
1675874355,50
1675874356,52
1675874357,51
1675874358,49
1675874359,49
1675874360,50
1675874361,52
1675874362,52
1675874363,52
1675874364,54
1675874365,52
1675874366,50
1675874367,49
1675874368,48
1675874369,48
1675874370,48
1675874371,50
1675874372,47
1675874373,49
1675874374,50
1675874375,48
1675874376,49
1675874377,49
1675874378,49
1675874379,51
1675874380,50
1675874381,49
1675874382,46
1675874383,47
1675874384,46
1675874385,47
1675874386,48
1675874387,48
1675874388,49
1675874389,47
1675874390,49
1675874391,50
1675874392,50
1675874393,49
1675874394,49
1675874395,49
1675874396,49
1675874397,49
1675874398,51
1675874399,49
1675874400,50
1675874401,49
1675874402,47
1675874403,47
1675874404,45
1675874405,45
1675874406,46
1675874407,45
1675874408,46
1675874409,47
1675874410,47
1675874411,46
1675874412,45
1675874413,46
1675874414,46
1675874415,46
1675874416,50
1675874417,51
1675874418,50
1675874419,50
1675874420,50
1675874421,49
1675874422,49
1675874423,46
1675874424,44
1675874425,44
1675874426,44
1675874427,44
1675874428,45
1675874429,43
1675874430,43
1675874431,43
1675874432,43
1675874433,43
1675874434,44
1675874435,44
1675874436,45
1675874437,47
1675874438,45
1675874439,45
1675874440,43
1675874441,42
1675874442,41
1675874443,42
1675874444,41
1675874445,41
1675874446,42
1675874447,43
1675874448,44
1675874449,45
1675874450,46
1675874451,37
