time,FPS
1677179336,3
1677179337,45
1677179338,31
1677179339,39
1677179340,47
1677179341,45
1677179342,44
1677179343,42
1677179344,50
1677179345,46
1677179346,43
1677179347,42
1677179348,44
1677179349,44
1677179350,43
1677179351,43
1677179352,44
1677179353,47
1677179354,42
1677179355,48
1677179356,43
1677179357,46
1677179358,44
1677179359,48
1677179360,50
1677179361,48
1677179362,49
1677179363,52
1677179364,44
1677179365,47
1677179366,48
1677179367,45
1677179368,44
1677179369,50
1677179370,49
1677179371,46
1677179372,46
1677179373,48
1677179374,50
1677179375,52
1677179376,48
1677179377,45
1677179378,47
1677179379,49
1677179380,48
1677179381,48
1677179382,56
1677179383,55
1677179384,53
1677179385,53
1677179386,53
1677179387,55
1677179388,53
1677179389,53
1677179390,54
1677179391,42
1677179392,41
1677179393,45
1677179394,45
1677179395,43
1677179396,43
1677179397,45
1677179398,45
1677179399,43
1677179400,49
1677179401,46
1677179402,51
1677179403,47
1677179404,51
1677179405,52
1677179406,41
1677179407,50
1677179408,44
1677179409,46
1677179410,48
1677179411,47
1677179412,50
1677179413,46
1677179414,48
1677179415,44
1677179416,45
1677179417,47
1677179418,48
1677179419,47
1677179420,45
1677179421,46
1677179422,44
1677179423,44
1677179424,44
1677179425,47
1677179426,49
1677179427,48
1677179428,44
1677179429,45
1677179430,48
1677179431,45
1677179432,46
1677179433,49
1677179434,47
1677179435,50
1677179436,46
1677179437,45
1677179438,41
1677179439,170
1677179440,256
1677179441,251
1677179442,256
1677179443,163
1677179444,127
1677179445,124
1677179446,129
1677179447,130
1677179448,130
1677179449,129
1677179450,123
1677179451,127
1677179452,127
1677179453,126
1677179454,126
1677179455,126
1677179456,126
1677179457,125
1677179458,126
1677179459,129
1677179460,126
1677179461,130
1677179462,131
1677179463,131
1677179464,132
1677179465,132
1677179466,133
1677179467,133
1677179468,193
1677179469,255
1677179470,256
1677179471,255
1677179472,129
1677179473,155
1677179474,158
1677179475,155
1677179476,156
1677179477,155
1677179478,154
1677179479,153
1677179480,158
1677179481,158
1677179482,159
1677179483,156
1677179484,157
1677179485,159
1677179486,156
1677179487,155
1677179488,155
1677179489,156
1677179490,157
1677179491,157
1677179492,158
1677179493,158
1677179494,159
1677179495,158
1677179496,160
1677179497,235
1677179498,256
1677179499,255
1677179500,190
1677179501,142
1677179502,138
1677179503,138
1677179504,138
1677179505,137
1677179506,137
1677179507,135
1677179508,136
1677179509,137
1677179510,139
1677179511,141
1677179512,145
1677179513,150
1677179514,152
1677179515,153
1677179516,154
1677179517,154
1677179518,154
1677179519,155
1677179520,156
1677179521,157
1677179522,157
1677179523,158
1677179524,157
1677179525,192
1677179526,256
1677179527,256
1677179528,256
1677179529,253
1677179530,256
1677179531,125
1677179532,130
1677179533,133
1677179534,133
1677179535,132
1677179536,129
1677179537,127
1677179538,123
1677179539,123
1677179540,124
1677179541,121
1677179542,125
1677179543,127
1677179544,128
1677179545,127
1677179546,127
1677179547,127
1677179548,127
1677179549,125
1677179550,127
1677179551,126
1677179552,128
1677179553,128
1677179554,129
1677179555,129
1677179556,232
1677179557,255
1677179558,251
1677179559,256
1677179560,253
1677179561,255
1677179562,254
1677179563,124
1677179564,160
1677179565,161
1677179566,160
1677179567,157
1677179568,163
1677179569,160
1677179570,162
1677179571,164
1677179572,164
1677179573,163
1677179574,163
1677179575,160
1677179576,162
1677179577,163
1677179578,164
1677179579,171
1677179580,174
1677179581,176
1677179582,159
1677179583,152
1677179584,161
1677179585,152
1677179586,149
1677179587,138
1677179588,152
1677179589,154
1677179590,154
1677179591,145
1677179592,146
1677179593,148
1677179594,145
1677179595,148
1677179596,148
1677179597,150
1677179598,151
1677179599,160
1677179600,158
1677179601,155
1677179602,154
1677179603,156
1677179604,165
1677179605,166
1677179606,161
1677179607,165
1677179608,165
1677179609,157
1677179610,157
1677179611,148
1677179612,148
1677179613,153
1677179614,151
1677179615,152
1677179616,153
1677179617,157
1677179618,152
1677179619,156
1677179620,155
1677179621,156
1677179622,163
1677179623,160
1677179624,161
1677179625,152
1677179626,150
1677179627,151
1677179628,150
1677179629,153
1677179630,156
1677179631,156
1677179632,154
1677179633,157
1677179634,164
1677179635,161
1677179636,159
1677179637,159
1677179638,161
1677179639,160
1677179640,157
1677179641,155
1677179642,157
1677179643,164
1677179644,162
1677179645,158
1677179646,151
1677179647,149
1677179648,147
1677179649,147
1677179650,146
1677179651,147
1677179652,148
1677179653,150
1677179654,150
1677179655,143
1677179656,143
1677179657,146
1677179658,146
1677179659,147
1677179660,162
1677179661,161
1677179662,160
1677179663,158
1677179664,157
1677179665,158
1677179666,155
1677179667,146
1677179668,141
1677179669,142
1677179670,145
1677179671,145
1677179672,145
1677179673,141
1677179674,142
1677179675,140
1677179676,139
1677179677,139
1677179678,139
1677179679,141
1677179680,144
1677179681,144
1677179682,140
1677179683,141
1677179684,134
1677179685,133
1677179686,134
1677179687,133
1677179688,129
1677179689,136
1677179690,132
1677179691,136
1677179692,141
1677179693,145
1677179694,146
1677179695,144
1677179696,141
1677179697,140
1677179698,144
1677179699,144
1677179700,144
1677179701,144
1677179702,145
1677179703,84
