time,FPS
1674853003,44
1674853004,46
1674853005,28
1674853006,48
1674853007,45
1674853008,47
1674853009,47
1674853010,44
1674853011,42
1674853012,45
1674853013,46
1674853014,44
1674853015,47
1674853016,43
1674853017,39
1674853018,46
1674853019,45
1674853020,45
1674853021,44
1674853022,45
1674853023,42
1674853024,43
1674853025,46
1674853026,44
1674853027,46
1674853028,46
1674853029,40
1674853030,47
1674853031,47
1674853032,49
1674853033,48
1674853034,44
1674853035,42
1674853036,41
1674853037,41
1674853038,45
1674853039,42
1674853040,44
1674853041,46
1674853042,41
1674853043,42
1674853044,47
1674853045,44
1674853046,44
1674853047,44
1674853048,48
1674853049,56
1674853050,55
1674853051,53
1674853052,54
1674853053,53
1674853054,53
1674853055,53
1674853056,53
1674853057,51
1674853058,41
1674853059,43
1674853060,42
1674853061,44
1674853062,47
1674853063,44
1674853064,44
1674853065,45
1674853066,44
1674853067,44
1674853068,43
1674853069,44
1674853070,51
1674853071,54
1674853072,48
1674853073,47
1674853074,48
1674853075,51
1674853076,48
1674853077,46
1674853078,45
1674853079,47
1674853080,46
1674853081,46
1674853082,44
1674853083,46
1674853084,41
1674853085,47
1674853086,43
1674853087,44
1674853088,45
1674853089,44
1674853090,46
1674853091,43
1674853092,45
1674853093,40
1674853094,51
1674853095,41
1674853096,46
1674853097,50
1674853098,49
1674853099,46
1674853100,45
1674853101,46
1674853102,46
1674853103,43
1674853104,44
1674853105,45
1674853106,243
1674853107,256
1674853108,252
1674853109,256
1674853110,129
1674853111,123
1674853112,129
1674853113,131
1674853114,130
1674853115,130
1674853116,126
1674853117,130
1674853118,130
1674853119,128
1674853120,129
1674853121,129
1674853122,128
1674853123,128
1674853124,126
1674853125,128
1674853126,128
1674853127,125
1674853128,129
1674853129,129
1674853130,131
1674853131,133
1674853132,132
1674853133,131
1674853134,132
1674853135,228
1674853136,256
1674853137,255
1674853138,253
1674853139,120
1674853140,158
1674853141,153
1674853142,153
1674853143,153
1674853144,152
1674853145,155
1674853146,156
1674853147,155
1674853148,156
1674853149,155
1674853150,152
1674853151,155
1674853152,156
1674853153,153
1674853154,152
1674853155,152
1674853156,154
1674853157,155
1674853158,155
1674853159,156
1674853160,157
1674853161,154
1674853162,155
1674853163,152
1674853164,245
1674853165,256
1674853166,255
1674853167,183
1674853168,143
1674853169,137
1674853170,137
1674853171,134
1674853172,135
1674853173,135
1674853174,133
1674853175,134
1674853176,136
1674853177,137
1674853178,140
1674853179,143
1674853180,148
1674853181,150
1674853182,151
1674853183,152
1674853184,152
1674853185,154
1674853186,154
1674853187,155
1674853188,155
1674853189,157
1674853190,156
1674853191,157
1674853192,202
1674853193,256
1674853194,254
1674853195,255
1674853196,254
1674853197,256
1674853198,145
1674853199,126
1674853200,132
1674853201,132
1674853202,131
1674853203,129
1674853204,127
1674853205,123
1674853206,122
1674853207,122
1674853208,124
1674853209,125
1674853210,125
1674853211,127
1674853212,125
1674853213,126
1674853214,127
1674853215,128
1674853216,127
1674853217,123
1674853218,128
1674853219,127
1674853220,127
1674853221,128
1674853222,128
1674853223,198
1674853224,256
1674853225,255
1674853226,255
1674853227,255
1674853228,256
1674853229,254
1674853230,163
1674853231,160
1674853232,160
1674853233,160
1674853234,160
1674853235,157
1674853236,162
1674853237,161
1674853238,160
1674853239,162
1674853240,162
1674853241,161
1674853242,161
1674853243,159
1674853244,158
1674853245,167
1674853246,167
1674853247,173
1674853248,174
1674853249,164
1674853250,151
1674853251,157
1674853252,156
1674853253,148
1674853254,144
1674853255,150
1674853256,154
1674853257,155
1674853258,148
1674853259,147
1674853260,142
1674853261,148
1674853262,149
1674853263,148
1674853264,153
1674853265,150
1674853266,158
1674853267,157
1674853268,156
1674853269,152
1674853270,152
1674853271,158
1674853272,165
1674853273,165
1674853274,162
1674853275,165
1674853276,158
1674853277,155
1674853278,151
1674853279,147
1674853280,151
1674853281,150
1674853282,152
1674853283,150
1674853284,154
1674853285,155
1674853286,151
1674853287,154
1674853288,152
1674853289,156
1674853290,159
1674853291,157
1674853292,154
1674853293,150
1674853294,151
1674853295,150
1674853296,152
1674853297,155
1674853298,156
1674853299,154
1674853300,153
1674853301,158
1674853302,159
1674853303,156
1674853304,156
1674853305,156
1674853306,157
1674853307,158
1674853308,164
1674853309,161
1674853310,160
1674853311,155
1674853312,149
1674853313,147
1674853314,144
1674853315,144
1674853316,144
1674853317,146
1674853318,147
1674853319,150
1674853320,151
1674853321,148
1674853322,145
1674853323,146
1674853324,147
1674853325,145
1674853326,148
1674853327,165
1674853328,162
1674853329,159
1674853330,159
1674853331,156
1674853332,160
1674853333,158
1674853334,154
1674853335,146
1674853336,142
1674853337,145
1674853338,147
1674853339,145
1674853340,142
1674853341,139
1674853342,140
1674853343,138
1674853344,138
1674853345,139
1674853346,139
1674853347,141
1674853348,146
1674853349,142
1674853350,141
1674853351,140
1674853352,134
1674853353,132
1674853354,134
1674853355,133
1674853356,133
1674853357,134
1674853358,136
1674853359,137
1674853360,141
1674853361,144
1674853362,146
1674853363,143
1674853364,140
1674853365,141
1674853366,141
1674853367,145
1674853368,144
1674853369,145
1674853370,19
