time,FPS
1680631075,38
1680631076,42
1680631077,25
1680631078,50
1680631079,52
1680631080,50
1680631081,53
1680631082,54
1680631083,49
1680631084,51
1680631085,51
1680631086,52
1680631087,50
1680631088,40
1680631089,41
1680631090,46
1680631091,44
1680631092,48
1680631093,51
1680631094,43
1680631095,45
1680631096,45
1680631097,48
1680631098,54
1680631099,54
1680631100,55
1680631101,55
1680631102,53
1680631103,54
1680631104,55
1680631105,55
1680631106,54
1680631107,54
1680631108,51
1680631109,53
1680631110,52
1680631111,54
1680631112,51
1680631113,52
1680631114,54
1680631115,52
1680631116,53
1680631117,51
1680631118,52
1680631119,49
1680631120,58
1680631121,58
1680631122,59
1680631123,56
1680631124,58
1680631125,58
1680631126,58
1680631127,57
1680631128,58
1680631129,43
1680631130,43
1680631131,39
1680631132,42
1680631133,43
1680631134,49
1680631135,42
1680631136,42
1680631137,41
1680631138,43
1680631139,44
1680631140,43
1680631141,45
1680631142,43
1680631143,47
1680631144,47
1680631145,43
1680631146,42
1680631147,47
1680631148,44
1680631149,50
1680631150,43
1680631151,47
1680631152,50
1680631153,45
1680631154,48
1680631155,46
1680631156,52
1680631157,46
1680631158,47
1680631159,47
1680631160,48
1680631161,47
1680631162,46
1680631163,47
1680631164,50
1680631165,52
1680631166,48
1680631167,47
1680631168,46
1680631169,47
1680631170,46
1680631171,43
1680631172,46
1680631173,51
1680631174,50
1680631175,50
1680631176,46
1680631177,115
1680631178,255
1680631179,253
1680631180,255
1680631181,178
1680631182,49
1680631183,50
1680631184,48
1680631185,50
1680631186,50
1680631187,51
1680631188,51
1680631189,52
1680631190,52
1680631191,52
1680631192,51
1680631193,52
1680631194,53
1680631195,52
1680631196,53
1680631197,52
1680631198,53
1680631199,53
1680631200,53
1680631201,53
1680631202,53
1680631203,52
1680631204,52
1680631205,52
1680631206,88
1680631207,255
1680631208,255
1680631209,254
1680631210,188
1680631211,56
1680631212,60
1680631213,61
1680631214,59
1680631215,59
1680631216,59
1680631217,60
1680631218,59
1680631219,59
1680631220,59
1680631221,57
1680631222,56
1680631223,57
1680631224,56
1680631225,54
1680631226,54
1680631227,54
1680631228,56
1680631229,56
1680631230,57
1680631231,56
1680631232,57
1680631233,57
1680631234,57
1680631235,112
1680631236,255
1680631237,256
1680631238,254
1680631239,91
1680631240,59
1680631241,58
1680631242,58
1680631243,59
1680631244,59
1680631245,57
1680631246,59
1680631247,58
1680631248,58
1680631249,58
1680631250,60
1680631251,61
1680631252,61
1680631253,62
1680631254,62
1680631255,61
1680631256,63
1680631257,62
1680631258,63
1680631259,63
1680631260,63
1680631261,63
1680631262,64
1680631263,63
1680631264,222
1680631265,255
1680631266,254
1680631267,255
1680631268,255
1680631269,256
1680631270,86
1680631271,52
1680631272,54
1680631273,53
1680631274,53
1680631275,53
1680631276,53
1680631277,52
1680631278,51
1680631279,51
1680631280,52
1680631281,52
1680631282,53
1680631283,53
1680631284,52
1680631285,53
1680631286,53
1680631287,55
1680631288,54
1680631289,54
1680631290,54
1680631291,54
1680631292,54
1680631293,54
1680631294,54
1680631295,197
1680631296,255
1680631297,255
1680631298,256
1680631299,255
1680631300,254
1680631301,178
1680631302,59
1680631303,60
1680631304,60
1680631305,60
1680631306,61
1680631307,61
1680631308,61
1680631309,61
1680631310,61
1680631311,61
1680631312,61
1680631313,61
1680631314,59
1680631315,60
1680631316,58
1680631317,61
1680631318,64
1680631319,65
1680631320,66
1680631321,56
1680631322,55
1680631323,59
1680631324,56
1680631325,54
1680631326,54
1680631327,55
1680631328,55
1680631329,53
1680631330,49
1680631331,51
1680631332,51
1680631333,52
1680631334,52
1680631335,54
1680631336,53
1680631337,53
1680631338,55
1680631339,55
1680631340,54
1680631341,54
1680631342,56
1680631343,56
1680631344,57
1680631345,59
1680631346,59
1680631347,59
1680631348,57
1680631349,55
1680631350,52
1680631351,52
1680631352,52
1680631353,53
1680631354,51
1680631355,51
1680631356,52
1680631357,51
1680631358,53
1680631359,52
1680631360,53
1680631361,55
1680631362,54
1680631363,53
1680631364,51
1680631365,50
1680631366,52
1680631367,51
1680631368,52
1680631369,53
1680631370,53
1680631371,52
1680631372,53
1680631373,53
1680631374,52
1680631375,53
1680631376,53
1680631377,53
1680631378,52
1680631379,51
1680631380,51
1680631381,50
1680631382,52
1680631383,51
1680631384,52
1680631385,49
1680631386,48
1680631387,47
1680631388,47
1680631389,48
1680631390,48
1680631391,48
1680631392,49
1680631393,50
1680631394,50
1680631395,50
1680631396,47
1680631397,48
1680631398,48
1680631399,48
1680631400,51
1680631401,55
1680631402,53
1680631403,54
1680631404,54
1680631405,52
1680631406,52
1680631407,51
1680631408,49
1680631409,49
1680631410,49
1680631411,49
1680631412,49
1680631413,48
1680631414,47
1680631415,48
1680631416,48
1680631417,47
1680631418,46
1680631419,48
1680631420,48
1680631421,51
1680631422,52
1680631423,51
1680631424,50
1680631425,49
1680631426,49
1680631427,48
1680631428,49
1680631429,49
1680631430,50
1680631431,51
1680631432,53
1680631433,56
1680631434,57
1680631435,57
1680631436,57
1680631437,50
1680631438,52
1680631439,51
1680631440,52
1680631441,7
