time,FPS
1680556515,14
1680556516,39
1680556517,23
1680556518,50
1680556519,51
1680556520,53
1680556521,53
1680556522,51
1680556523,54
1680556524,52
1680556525,54
1680556526,51
1680556527,53
1680556528,44
1680556529,43
1680556530,40
1680556531,38
1680556532,39
1680556533,45
1680556534,44
1680556535,43
1680556536,47
1680556537,44
1680556538,45
1680556539,49
1680556540,48
1680556541,47
1680556542,48
1680556543,49
1680556544,46
1680556545,47
1680556546,47
1680556547,42
1680556548,50
1680556549,46
1680556550,56
1680556551,50
1680556552,49
1680556553,46
1680556554,45
1680556555,50
1680556556,45
1680556557,47
1680556558,49
1680556559,47
1680556560,56
1680556561,58
1680556562,58
1680556563,54
1680556564,58
1680556565,57
1680556566,57
1680556567,57
1680556568,57
1680556569,47
1680556570,41
1680556571,40
1680556572,44
1680556573,37
1680556574,42
1680556575,46
1680556576,42
1680556577,41
1680556578,47
1680556579,44
1680556580,48
1680556581,41
1680556582,43
1680556583,40
1680556584,44
1680556585,46
1680556586,48
1680556587,44
1680556588,44
1680556589,44
1680556590,46
1680556591,46
1680556592,52
1680556593,46
1680556594,47
1680556595,45
1680556596,46
1680556597,46
1680556598,48
1680556599,50
1680556600,45
1680556601,48
1680556602,46
1680556603,45
1680556604,48
1680556605,50
1680556606,46
1680556607,48
1680556608,43
1680556609,51
1680556610,46
1680556611,44
1680556612,43
1680556613,48
1680556614,46
1680556615,47
1680556616,44
1680556617,56
1680556618,255
1680556619,253
1680556620,254
1680556621,225
1680556622,128
1680556623,127
1680556624,127
1680556625,127
1680556626,127
1680556627,127
1680556628,128
1680556629,127
1680556630,125
1680556631,122
1680556632,122
1680556633,123
1680556634,123
1680556635,123
1680556636,123
1680556637,123
1680556638,123
1680556639,125
1680556640,123
1680556641,123
1680556642,124
1680556643,125
1680556644,125
1680556645,124
1680556646,160
1680556647,254
1680556648,255
1680556649,254
1680556650,167
1680556651,155
1680556652,154
1680556653,154
1680556654,152
1680556655,152
1680556656,151
1680556657,150
1680556658,151
1680556659,150
1680556660,149
1680556661,141
1680556662,144
1680556663,143
1680556664,141
1680556665,138
1680556666,140
1680556667,142
1680556668,144
1680556669,144
1680556670,144
1680556671,144
1680556672,144
1680556673,144
1680556674,144
1680556675,250
1680556676,254
1680556677,255
1680556678,166
1680556679,150
1680556680,150
1680556681,149
1680556682,148
1680556683,149
1680556684,147
1680556685,148
1680556686,147
1680556687,148
1680556688,148
1680556689,149
1680556690,149
1680556691,151
1680556692,151
1680556693,152
1680556694,153
1680556695,153
1680556696,153
1680556697,154
1680556698,152
1680556699,154
1680556700,153
1680556701,152
1680556702,154
1680556703,242
1680556704,253
1680556705,255
1680556706,255
1680556707,255
1680556708,179
1680556709,130
1680556710,130
1680556711,130
1680556712,131
1680556713,134
1680556714,132
1680556715,127
1680556716,125
1680556717,125
1680556718,126
1680556719,128
1680556720,127
1680556721,127
1680556722,129
1680556723,128
1680556724,129
1680556725,129
1680556726,125
1680556727,124
1680556728,126
1680556729,125
1680556730,128
1680556731,127
1680556732,127
1680556733,210
1680556734,256
1680556735,253
1680556736,255
1680556737,255
1680556738,195
1680556739,142
1680556740,142
1680556741,141
1680556742,141
1680556743,141
1680556744,144
1680556745,144
1680556746,144
1680556747,144
1680556748,144
1680556749,144
1680556750,144
1680556751,142
1680556752,142
1680556753,147
1680556754,151
1680556755,150
1680556756,152
1680556757,151
1680556758,135
1680556759,128
1680556760,130
1680556761,128
1680556762,125
1680556763,127
1680556764,132
1680556765,135
1680556766,132
1680556767,131
1680556768,132
1680556769,131
1680556770,132
1680556771,133
1680556772,137
1680556773,137
1680556774,135
1680556775,138
1680556776,141
1680556777,138
1680556778,138
1680556779,142
1680556780,145
1680556781,151
1680556782,149
1680556783,149
1680556784,146
1680556785,145
1680556786,145
1680556787,138
1680556788,138
1680556789,136
1680556790,132
1680556791,135
1680556792,133
1680556793,134
1680556794,133
1680556795,134
1680556796,132
1680556797,134
1680556798,139
1680556799,144
1680556800,143
1680556801,139
1680556802,140
1680556803,144
1680556804,141
1680556805,143
1680556806,144
1680556807,150
1680556808,146
1680556809,147
1680556810,135
1680556811,132
1680556812,131
1680556813,131
1680556814,133
1680556815,133
1680556816,131
1680556817,130
1680556818,134
1680556819,141
1680556820,141
1680556821,144
1680556822,138
1680556823,137
1680556824,137
1680556825,136
1680556826,136
1680556827,137
1680556828,139
1680556829,139
1680556830,141
1680556831,142
1680556832,140
1680556833,136
1680556834,134
1680556835,136
1680556836,137
1680556837,137
1680556838,143
1680556839,133
1680556840,133
1680556841,129
1680556842,131
1680556843,130
1680556844,133
1680556845,131
1680556846,132
1680556847,130
1680556848,133
1680556849,133
1680556850,133
1680556851,132
1680556852,131
1680556853,130
1680556854,128
1680556855,126
1680556856,125
1680556857,126
1680556858,128
1680556859,126
1680556860,126
1680556861,124
1680556862,123
1680556863,125
1680556864,126
1680556865,122
1680556866,125
1680556867,126
1680556868,127
1680556869,129
1680556870,137
1680556871,138
1680556872,138
1680556873,127
1680556874,127
1680556875,126
1680556876,127
1680556877,127
1680556878,127
1680556879,127
1680556880,128
1680556881,127
1680556882,74
