time,FPS
1680301953,36
1680301954,43
1680301955,30
1680301956,52
1680301957,49
1680301958,48
1680301959,45
1680301960,47
1680301961,48
1680301962,50
1680301963,45
1680301964,47
1680301965,49
1680301966,49
1680301967,43
1680301968,44
1680301969,40
1680301970,43
1680301971,46
1680301972,44
1680301973,40
1680301974,46
1680301975,48
1680301976,52
1680301977,50
1680301978,48
1680301979,48
1680301980,50
1680301981,52
1680301982,51
1680301983,53
1680301984,50
1680301985,51
1680301986,49
1680301987,48
1680301988,46
1680301989,51
1680301990,50
1680301991,50
1680301992,51
1680301993,50
1680301994,51
1680301995,50
1680301996,52
1680301997,57
1680301998,57
1680301999,55
1680302000,56
1680302001,56
1680302002,55
1680302003,55
1680302004,56
1680302005,44
1680302006,40
1680302007,44
1680302008,40
1680302009,46
1680302010,42
1680302011,45
1680302012,44
1680302013,43
1680302014,50
1680302015,46
1680302016,45
1680302017,44
1680302018,48
1680302019,47
1680302020,44
1680302021,47
1680302022,48
1680302023,47
1680302024,42
1680302025,48
1680302026,45
1680302027,46
1680302028,50
1680302029,48
1680302030,43
1680302031,47
1680302032,46
1680302033,44
1680302034,44
1680302035,45
1680302036,46
1680302037,46
1680302038,46
1680302039,47
1680302040,50
1680302041,49
1680302042,48
1680302043,49
1680302044,46
1680302045,47
1680302046,50
1680302047,47
1680302048,48
1680302049,47
1680302050,46
1680302051,50
1680302052,49
1680302053,84
1680302054,255
1680302055,252
1680302056,251
1680302057,229
1680302058,139
1680302059,155
1680302060,158
1680302061,157
1680302062,155
1680302063,160
1680302064,160
1680302065,163
1680302066,163
1680302067,163
1680302068,163
1680302069,167
1680302070,165
1680302071,165
1680302072,165
1680302073,166
1680302074,164
1680302075,164
1680302076,164
1680302077,163
1680302078,168
1680302079,171
1680302080,172
1680302081,174
1680302082,189
1680302083,255
1680302084,255
1680302085,254
1680302086,193
1680302087,212
1680302088,216
1680302089,216
1680302090,214
1680302091,214
1680302092,213
1680302093,214
1680302094,212
1680302095,212
1680302096,214
1680302097,213
1680302098,213
1680302099,215
1680302100,212
1680302101,212
1680302102,213
1680302103,215
1680302104,213
1680302105,215
1680302106,214
1680302107,214
1680302108,212
1680302109,214
1680302110,216
1680302111,239
1680302112,250
1680302113,255
1680302114,254
1680302115,181
1680302116,148
1680302117,141
1680302118,144
1680302119,142
1680302120,143
1680302121,143
1680302122,146
1680302123,152
1680302124,162
1680302125,173
1680302126,183
1680302127,195
1680302128,208
1680302129,211
1680302130,212
1680302131,211
1680302132,212
1680302133,213
1680302134,214
1680302135,214
1680302136,213
1680302137,215
1680302138,215
1680302139,213
1680302140,250
1680302141,255
1680302142,252
1680302143,254
1680302144,256
1680302145,198
1680302146,126
1680302147,143
1680302148,140
1680302149,140
1680302150,138
1680302151,139
1680302152,132
1680302153,129
1680302154,129
1680302155,130
1680302156,131
1680302157,133
1680302158,133
1680302159,134
1680302160,131
1680302161,133
1680302162,131
1680302163,131
1680302164,130
1680302165,128
1680302166,131
1680302167,135
1680302168,137
1680302169,138
1680302170,175
1680302171,255
1680302172,255
1680302173,255
1680302174,255
1680302175,255
1680302176,255
1680302177,255
1680302178,171
1680302179,185
1680302180,183
1680302181,185
1680302182,184
1680302183,183
1680302184,182
1680302185,185
1680302186,185
1680302187,186
1680302188,184
1680302189,185
1680302190,184
1680302191,181
1680302192,181
1680302193,192
1680302194,184
1680302195,179
1680302196,174
1680302197,163
1680302198,149
1680302199,154
1680302200,154
1680302201,151
1680302202,147
1680302203,151
1680302204,151
1680302205,154
1680302206,151
1680302207,159
1680302208,163
1680302209,163
1680302210,159
1680302211,160
1680302212,166
1680302213,173
1680302214,169
1680302215,173
1680302216,180
1680302217,179
1680302218,180
1680302219,188
1680302220,183
1680302221,186
1680302222,178
1680302223,180
1680302224,181
1680302225,181
1680302226,176
1680302227,183
1680302228,183
1680302229,174
1680302230,164
1680302231,164
1680302232,163
1680302233,166
1680302234,168
1680302235,165
1680302236,167
1680302237,168
1680302238,170
1680302239,179
1680302240,175
1680302241,181
1680302242,186
1680302243,177
1680302244,181
1680302245,182
1680302246,186
1680302247,188
1680302248,186
1680302249,192
1680302250,178
1680302251,180
1680302252,186
1680302253,190
1680302254,184
1680302255,179
1680302256,185
1680302257,193
1680302258,194
1680302259,196
1680302260,192
1680302261,182
1680302262,187
1680302263,191
1680302264,199
1680302265,199
1680302266,198
1680302267,200
1680302268,205
1680302269,206
1680302270,196
1680302271,206
1680302272,211
1680302273,212
1680302274,207
1680302275,207
1680302276,198
1680302277,204
1680302278,193
1680302279,206
1680302280,200
1680302281,194
1680302282,196
1680302283,191
1680302284,200
1680302285,197
1680302286,198
1680302287,197
1680302288,199
1680302289,200
1680302290,196
1680302291,197
1680302292,194
1680302293,194
1680302294,199
1680302295,197
1680302296,199
1680302297,202
1680302298,204
1680302299,194
1680302300,201
1680302301,201
1680302302,199
1680302303,198
1680302304,199
1680302305,190
1680302306,188
1680302307,192
1680302308,194
1680302309,196
1680302310,199
1680302311,202
1680302312,201
1680302313,196
1680302314,198
1680302315,200
1680302316,200
1680302317,201
1680302318,131
